"County","FIPS.Code","Population","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smarphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","Alc.Establisments.per.100k","Percent.Days.Good.Air.Quality","Toxic.Sites.Insufficient.Data","Toxic.Sites.Under.Control","Toxic.Sites.Not.Under.Control","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate.Year","Diabetes.Rate.LocationName","Diabetes.Rate.Data_Value","Binge.Drinking.Rate","Smoking.Rate.Year","Smoking.Rate.LocationName","Smoking.Rate.Data_Value","Depression.Rate.Year","Depression.Rate.LocationName","Depression.Rate.Data_Value","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Traffic.Fatalities.per.100k","Traffic.Fatalities.BAC.08.per.100k","Opioid.Dispensing.Rate.per.100","PCPs.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","LBSWs.per.100k","LMSWs.per.100k","Dentists.per.1k","Nurse.Practitioners.per.1k","Physician.Assistants.per.1k","Mental.Health.Providers.per.100k","Percent.Clinicians.Accpeting.Medicaid","Dentist.Shortage.Code","Mental.Healthcare.Shortage.Code","Primary.Care.Shortage.Code","Urgent.Care.Orgs.per.1k","Health.Centers.per.1k","Community.Mental.Health.Centers.per.1k","Rural.Health.Clinics.per.1k","Home.Health.Agencies.per.1k","Hospices.per.1k","Nursing.Facilities.per.1k","Nursing.Facility.Beds.per.1k","Skilled.Nursing.Facilities.per.1k","Skilled.Nursing.Facility.Beds.per.1k","Nursing.Home.Occupancy.Rate","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Average.Rehospitalization.Rate","Average.Successful.Discharge.Rate","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Syringe.Exchange.Programs.per.1k","Substance.Abuse.Facilities.per.1k","Substance.Abuse.Facilities.Accepting.Medicare.per.1k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Anderson","48001","57917","0.5731","0.4466","0.0711","0.5099","0.9486","39.3","19.17","14.47","0.6","20.92","17.89","71.25","2.14","7.54","5","13.11","14.15","22.49","38.58","32.84","22.87","5.72","5","","","0","0","0","0.44","5.6","45847","46416","33985","42729","50412","14.09","8.38","26.76","15.98","10.85","12.47","110000","829","17.5","39.03","32.16","7.18","4.12","15.56","7.1","5.76","14.54","39.9","2020","Anderson","13.5","18.9","2020","Anderson","22.4","2020","Anderson","20.9","20","5","21","1","4","652.92","56.04","23.52","32.86","5.53","","4.5","16.95","12.086261","5.179826","36.4","60.1","12","49.8","5.2","24.1","22.3","0.43","0.57","0.19","43.3","98.33","2","1","2","0.02","0","0.02","0.07","0.09","0","0.19","17.87","0.02","0.21","89.46","75","75","0.21","0.22","80.56","19.44","0","0","0","0","0.0346","0.0346","6.73","6.33","6.56","6.68","58.75","6.68","4.52","43.67"
"Andrews","48003","18227","0.4743","0.5059","0.5178","0.7747","0.2451","32.3","30.68","9.84","0.31","2.29","56.86","81.25","7.4","5.15","5","7.2","13.21","9.84","56.21","8.78","22.77","12.24","3.13","","","0","0","0","0.46","8.2","75147","","","61563","82470","11.22","0","0","17.36","3.33","8.59","153200","1095","23.29","33.41","28.37","10.91","4.02","12.72","4.2","2.52","20.14","38.2","2020","Andrews","11.9","19.1","2020","Andrews","18.2","2020","Andrews","21.4","15","2","15","1","1","436.36","51.54","28.51","15.35","","","","12.06","16.459099","5.486366","11.6","40.4","4.5","13.5","0","4.5","4.5","0.21","0.69","0","16.04","95.92","2","1","1","0","0","0","0.05","0.11","0","0.16","12.73","0","0","","","","0.2","0","37.5","25","37.5","0","0","0","0.053","0.053","32.71","1.16","1.16","1.16","94.08","1.16","1.16","33.68"
"Angelina","48005","87119","0.9091","0.8538","0.8814","0.4664","0.9368","37.6","25.48","16.17","1.11","15.14","22.29","77.44","2.37","8.85","5","9.46","10.96","12.7","48.31","32.96","12.67","6.06","5.59","3.443566","","0","0","0","0.44","7.6","49684","145217","32037","51238","53668","17.35","9.09","24.16","25.37","12.9","19.33","110500","826","16.99","30.76","34.07","12.48","5.71","19.04","6.34","5.38","18.58","40.3","2020","Angelina","14.9","16","2020","Angelina","21.2","2020","Angelina","23.2","20","5","19","2","1","455.79","51.81","19.26","13.98","5.04","","4.81","13.76","11.478552","3.443566","58.3","92.9","19.9","67.5","13.3","64.1","29.9","0.54","0.92","0.22","136.08","98.12","1","2","2","0.01","0.01","0.02","0","0.09","0.03","0.13","10.8","0.02","0.53","63.1","66.67","33.33","0.18","0.5","75","22.06","2.94","0","0","0.0346","0.0115","0.0115","5.41","4.43","4.43","4.43","4.62","4.43","4.75","23.65"
"Aransas","48007","24220","0.7549","0.8024","0.4269","0.3399","0.917","50","20.09","27.08","1.14","0.33","27.99","87.87","2.62","10.54","3","8.75","10.62","12.43","45.29","29.51","19.8","5.4","5.83","24.772915","","0","0","0","0.52","8.5","47924","37885","","33715","55341","22.84","4.36","57.89","35.02","15.7","14.81","183200","826","12.89","29.11","34.83","15.73","7.43","16.07","7.39","8.81","17.73","35","2020","Aransas","16.8","15.5","2020","Aransas","18.9","2020","Aransas","21.8","16","3","16","1","2","438.6","87.41","20.42","38.4","","","10.62","20.42","4.128819","0","17","28.9","7.2","54.2","14.4","14.4","3.6","0.29","0.46","0.17","80.82","97.62","1","1","1","0","0","0.04","0.08","0","0.08","0.08","3.72","0","0","72.83","100","100","0.09","0.33","66.67","33.33","0","0","0","0","0","0","30.47","11.47","11.47","22.4","28.56","20.04","2.29","11.47"
"Archer","48009","8754","0.0277","0.1225","0.1186","0.0119","0.0158","44.2","21.84","20.28","0.17","1.1","8.21","94.46","1.76","7.66","4","11.33","13.75","15.68","34.1","50.34","12.69","2.87","3.33","","","0","0","0","0.47","5.3","63958","","","41250","66912","11.59","0","2.25","11.77","11.86","8.17","152000","659","9.51","36.55","31.64","14.41","7.9","9.44","6.34","6.13","15.12","35.2","2020","Archer","12.4","17.4","2020","Archer","18.1","2020","Archer","22.5","19","3","22","1","4","","75.72","25.24","27.53","","","","","45.693397","11.423349","0.5","0","36","83.9","0","71.9","47.9","0","0","0","","0","0","1","1","0","0","0","0.34","0","0","0.11","5.25","0","0","","","","","","50","25","25","0","0","0","0","0","16.98","3.87","16.94","16.94","61.71","16.94","4.23","17.05"
"Armstrong","48011","1950","0.0119","0.004","0.0316","0.0079","0.2727","41.7","23.38","20.92","0","0.72","8.46","91.59","0.56","11.69","3","10","8.75","13.89","28.12","21.27","46.94","3.67","6.53","","","0","0","0","0.36","4.3","69386","","","68821","72946","7.27","","","8.13","6.66","2.5","156100","938","8.89","23.77","41.63","17.34","8.37","7.05","7.37","4.4","7","33.3","2020","Armstrong","11.9","17.5","2020","Armstrong","15.9","2020","Armstrong","21.9","15","2","22","0","1","","","","","","","","","51.282051","51.282051","20.3","0","0","51.3","0","51.3","0","0","0","0","","0","1","1","1","0","0","0","0.51","0","0","0.51","27.69","0","0","68.18","100","100","0.33","1","50","50","0","0","0","0","0","0","27.92","30.56","28.09","30.6","30.6","30.59","2.14","30.59"
"Atascosa","48013","50194","0.7075","0.6008","0.6443","0.8379","0.7036","36","27.07","14.77","0.5","1.08","64.73","84.75","7.39","8.71","2","10.61","20.14","14.6","24.21","26.04","39.63","10.12","5.26","","83.64","0","0","0","0.44","8.4","59251","91198","27632","53030","67107","11.01","0","2.71","12.17","8.29","13.59","106000","863","21.04","39.67","23.98","11.37","3.94","14.84","4.95","5.11","18.67","38.1","2020","Atascosa","14.2","17.5","2020","Atascosa","16.7","2020","Atascosa","20.3","21","4","18","0","2","682.45","51.4","21.12","15.54","4.78","","3.98","11.56","17.93043","5.97681","20","34.7","15.4","25.1","3.9","3.9","13.5","0.43","0.41","0.12","39.1","99.43","2","1","1","0.02","0.02","0","0.22","0.02","0","0.12","7.37","0","0","74.89","66.67","100","0.16","0.36","75","16.67","8.33","0","0","0","0.0193","0.0193","7.21","8.69","8.69","20.72","27.2","8.69","3.65","21.76"
"Austin","48015","29892","0.4545","0.3241","0.6798","0.4308","0.4506","40.9","23.87","19.47","0.55","8.77","27.23","75.52","2.72","5.2","2","9.89","12.5","17.27","31.63","27.89","27.67","12.81","4.17","","","0","0","0","0.43","6.6","64468","","31395","51482","77296","11.72","0","39.27","16.48","4.99","9","197200","822","12.42","33.44","31.19","16.03","6.92","12.51","7.96","4.67","14.56","36.1","2020","Austin","13.9","16.3","2020","Austin","17","2020","Austin","21.6","16","2","13","1","1","523.08","66.87","26.08","23.41","","","","11.37","30.10839","10.03613","20.3","26.3","3.3","36.2","0","3.3","6.6","0.43","0.47","0.1","39.96","97.92","0","1","1","0.07","0","0","0.17","0.07","0","0.2","15.66","0","0","64.56","100","0","0.08","0.42","58.82","29.41","11.76","0","0","0","0","0","6.44","3.05","6.75","12.31","48","6.75","2.71","6.75"
"Bailey","48017","6916","0.6957","0.4229","0.7233","0.8498","0.7628","33.7","28.44","13.42","0.68","0.29","65.76","93.16","11.48","2.47","6","15.95","17.66","26.95","62.67","11.52","18.12","7.69","10.36","","","0","0","0","0.43","4.8","55038","","","49224","68453","11.36","100","","13.35","5.53","12.94","75200","543","22.06","40.17","20.39","11.62","5.76","20.89","5.9","4.54","32.34","37.7","2020","Bailey","13.6","17.1","2020","Bailey","16.1","2020","Bailey","19.8","12","2","14","1","1","681.82","105.77","54.31","","","","","","28.91845","28.91845","23.2","26","13","52","0","0","0","0.45","0.6","0.3","28.57","90","2","1","2","0","0.14","0","0.58","0.14","0","0.43","24.73","0","0","44.59","0","0","0","0.5","33.33","22.22","44.44","0","0","0","0","0","30.93","1.18","30.92","29.54","65.6","1.18","1.18","63.94"
"Bandera","48019","22770","0.2688","0.3123","0.3834","0.1502","0.3874","53.1","16.71","27.21","0.34","0.75","19.28","89.04","1.79","14.12","2","7.77","9.08","13.53","18.86","17.03","39.48","24.64","1.07","21.958718","","0","0","0","0.44","5.8","60361","","41875","56008","62526","13.83","0","51.3","13.89","14.02","7.63","202000","884","10.27","31.9","35.4","15.3","7.12","12.33","6.18","12.8","17.1","35.2","2020","Bandera","15.3","15.4","2020","Bandera","16.9","2020","Bandera","21.3","16","2","17","0","3","468.75","69.34","22.82","27.21","","","","16.68","21.958718","4.391744","9.6","37.7","37.7","75.3","14.1","0","18.8","0.25","0.38","0.25","86.54","96.43","0","1","1","0","0","0","0.13","0.04","0","0.13","8.78","0","0","59.68","100","100","0.08","0.3","75","25","0","0","0","0","0","0","17.61","19.13","21.16","26.66","27.48","20.81","8.62","19.13"
