"County","name","value"
"Anderson","State","Texas"
"Anderson","FIPS.Code","48001"
"Anderson","Population","57917"
"Anderson","Economic.Region","Upper East"
"Anderson","Overall.Social.Vulnerability","0.5731"
"Anderson","Socioeconomic.Social.Vulnerability","0.4466"
"Anderson","Household.Characteristics.Social.Vulnerability","0.0711"
"Anderson","Race.Ethnicity.Social.Vulnerability","0.5099"
"Anderson","Housing.Transport.Social.Vulnerability","0.9486"
"Anderson","Median.Age","39.3"
"Anderson","Percent.Age.0.to.17","19.17"
"Anderson","Percent.Age.Over.65","14.47"
"Anderson","Percent.Asian","0.6"
"Anderson","Percent.Black","20.92"
"Anderson","Percent.Hispanic","17.89"
"Anderson","Percent.White","58.09"
"Anderson","Percent.Households_Limited_English","2.14"
"Anderson","Percent.Veteran","7.54"
"Anderson","NCHS.Rural.Urban.Code","5"
"Anderson","Percent.Households.No.Computer.Device","13.11"
"Anderson","Percent.Households.Smartphone.Only","14.15"
"Anderson","Percent.Households.No.Internet","22.49"
"Anderson","Percent.Commute.Less.than.15min","38.58"
"Anderson","Percent.Commute.15min.to.29min","32.84"
"Anderson","Percent.Commute.30min.to.59min","22.87"
"Anderson","Percent.Commute.60min.or.More","5.72"
"Anderson","Percent.Housing.Units.No.Vehicle","5"
"Anderson","GINI.Index","0.44"
"Anderson","Percent.Unemployed","3.4"
"Anderson","Median.Household.Income","45847"
"Anderson","Median.Household.Income.Asian","46416"
"Anderson","Median.Household.Income.Black","33985"
"Anderson","Median.Household.Income.Hispanic","42729"
"Anderson","Median.Household.Income.White","50412"
"Anderson","Percent.in.Poverty","14.09"
"Anderson","Percent.in.Poverty.Asian","8.38"
"Anderson","Percent.in.Poverty.Black","26.76"
"Anderson","Percent.in.Poverty.Hispanic","15.98"
"Anderson","Percent.in.Poverty.White","10.85"
"Anderson","Percent.Households.Food.Stamps","12.47"
"Anderson","Median.Home.Value","110000"
"Anderson","Median.Rent","829"
"Anderson","Percent.Less.than.Highschool","17.5"
"Anderson","Percent.Highschool.Graduate","39.03"
"Anderson","Percent.with.Associate.Degree","32.16"
"Anderson","Percent.with.Bachelor.Degree","7.18"
"Anderson","Percent.with.Graduate.Degree","4.12"
"Anderson","Percent.Medicaid","15.56"
"Anderson","Percent.Medicare.Only","7.1"
"Anderson","Percent.Health.Insurance.Other","5.76"
"Anderson","Percent.No.Health.Insurance","14.54"
"Anderson","Obesity.Rate","39.9"
"Anderson","Diabetes.Rate","13.5"
"Anderson","Binge.Drinking.Rate","18.9"
"Anderson","Smoking.Rate","22.4"
"Anderson","Depression.Rate","20.9"
"Anderson","Anxiety.Disorders.Rate.Medicare","20"
"Anderson","Bipolar.Disorder.Rate.Medicare","5"
"Anderson","Depressive.Disorders.Rate.Medicare","21"
"Anderson","Personality.Disorders.Rate.Medicare","1"
"Anderson","Opioid.Overuse.Disorder.Rate.Medicare","4"
"Anderson","Birth.Defects.per.10k","652.92"
"Anderson","Deaths.from.Injury.per.100k","56.04"
"Anderson","Deaths.from.Transport.Accident.per.100k","23.52"
"Anderson","Deaths.from.Suicide.per.100k","32.86"
"Anderson","Deaths.from.Assault.per.100k","5.53"
"Anderson","Accidental.Deaths.by.Benzodiazepines.per.100k","0"
"Anderson","Accidental.Deaths.by.Cannabis.per.100k",""
"Anderson","Accidental.Deaths.by.Cocaine.per.100k",""
"Anderson","Accidental.Deaths.by.Heroin.per.100k","0"
"Anderson","Accidental.Deaths.by.Methadone.per.100k","0"
"Anderson","Accidental.Deaths.by.Opioids.per.100k","0"
"Anderson","Accidental.Deaths.by.Other.Narcotics.per.100k","0"
"Anderson","Accidental.Deaths.by.Other.Opioids.per.100k","0"
"Anderson","Accidental.Deaths.by.Psychostimulants.per.100k",""
"Anderson","Accidental.Deaths.by.Pyschotropics.per.100k",""
"Anderson","Accidental.Deaths.by.Synthetics.per.100k",""
"Anderson","Maternal.Deaths.per.100k",""
"Anderson","Opioid.Overdose.Deaths.per.100k","4.5"
"Anderson","Drug.Poisoning.Deaths.per.100k","16.95"
"Anderson","Opioid.Dispensing.Rate.per.100","36.4"
"Anderson","HPSA.Primary.Care.Score",""
"Anderson","HPSA.Primary.Care.FTE.Short",""
"Anderson","HPSA.Mental.FTE.Short","1.26"
"Anderson","HPSA.Mental.Score","15"
"Anderson","PCPs.per.100k","55.1"
"Anderson","Nurse.Practitioners.per.100k","57"
"Anderson","Physician.Assistants.per.100k","19"
"Anderson","Dentists.per.100k","32.7"
"Anderson","LCDCs.per.100k","6.9"
"Anderson","LPCs.per.100k","32.7"
"Anderson","LCSWs.per.100k","12"
"Anderson","Psychiatrists.per.100k","6.9"
"Anderson","Mental.Health.Providers.per.100k","43.3"
"Anderson","Urgent.Care.Orgs.per.100k","2"
"Anderson","Health.Centers.per.100k","0"
"Anderson","Community.Mental.Health.Centers.per.100k","2"
"Anderson","Rural.Health.Clinics.per.100k","7"
"Anderson","Home.Health.Agencies.per.100k","9"
"Anderson","Hospices.per.100k","0"
"Anderson","Nursing.Facilities.per.100k","19"
"Anderson","Nursing.Facility.Beds.per.100k","1787"
"Anderson","Skilled.Nursing.Facilities.per.100k","2"
"Anderson","Skilled.Nursing.Facility.Beds.per.100k","21"
"Anderson","Mental.Health.Facilities.per.1k","3.46"
"Anderson","Mental.Health.Facilities.Accepting.Medicare.per.1k","3.46"
"Anderson","Percent.Clinicians.Accepting.Medicaid","98.33"
"Anderson","Percent.Nursing.Homes.For.Profit","75"
"Anderson","Percent.Nursing.Homes.Chain","75"
"Anderson","Percent.Hospitals.Private.For.Profit","80.56"
"Anderson","Percent.Hospitals.Non.Profit","19.44"
"Anderson","Percent.Hospitals.Government","0"
"Anderson","Nursing.Home.Occupancy.Rate","89.46"
"Anderson","Median.Distance.to.Urgent.Care","6.73"
"Anderson","Median.Distance.to.Emergency.Department","6.33"
"Anderson","Median.Distance.to.Medical.Surgical.ICU","6.56"
"Anderson","Median.Distance.to.Trauma.Center","6.68"
"Anderson","Median.Distance.to.Pediatric.ICU","58.75"
"Anderson","Median.Distance.to.Obstetrics.Department","6.68"
"Anderson","Median.Distance.to.Health.Clinic","4.52"
"Anderson","Median.Distance.to.Alcohol.Drug.Incare","43.67"
"Andrews","State","Texas"
"Andrews","FIPS.Code","48003"
"Andrews","Population","18227"
"Andrews","Economic.Region","West Texas"
"Andrews","Overall.Social.Vulnerability","0.4743"
"Andrews","Socioeconomic.Social.Vulnerability","0.5059"
"Andrews","Household.Characteristics.Social.Vulnerability","0.5178"
"Andrews","Race.Ethnicity.Social.Vulnerability","0.7747"
"Andrews","Housing.Transport.Social.Vulnerability","0.2451"
"Andrews","Median.Age","32.3"
"Andrews","Percent.Age.0.to.17","30.68"
"Andrews","Percent.Age.Over.65","9.84"
"Andrews","Percent.Asian","0.31"
"Andrews","Percent.Black","2.29"
"Andrews","Percent.Hispanic","56.86"
"Andrews","Percent.White","39.6"
"Andrews","Percent.Households_Limited_English","7.4"
"Andrews","Percent.Veteran","5.15"
