"County","State","FIPS.Code","Population","Economic.Region","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smartphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate","Binge.Drinking.Rate","Smoking.Rate","Depression.Rate","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Accidental.Deaths.by.Benzodiazepines.per.100k","Accidental.Deaths.by.Cannabis.per.100k","Accidental.Deaths.by.Cocaine.per.100k","Accidental.Deaths.by.Heroin.per.100k","Accidental.Deaths.by.Methadone.per.100k","Accidental.Deaths.by.Opioids.per.100k","Accidental.Deaths.by.Other.Narcotics.per.100k","Accidental.Deaths.by.Other.Opioids.per.100k","Accidental.Deaths.by.Psychostimulants.per.100k","Accidental.Deaths.by.Pyschotropics.per.100k","Accidental.Deaths.by.Synthetics.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Opioid.Dispensing.Rate.per.100","HPSA.Primary.Care.Score","HPSA.Primary.Care.FTE.Short","HPSA.Mental.FTE.Short","HPSA.Mental.Score","PCPs.per.100k","Nurse.Practitioners.per.100k","Physician.Assistants.per.100k","Dentists.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","Psychiatrists.per.100k","Mental.Health.Providers.per.100k","Urgent.Care.Orgs.per.100k","Health.Centers.per.100k","Community.Mental.Health.Centers.per.100k","Rural.Health.Clinics.per.100k","Home.Health.Agencies.per.100k","Hospices.per.100k","Nursing.Facilities.per.100k","Nursing.Facility.Beds.per.100k","Skilled.Nursing.Facilities.per.100k","Skilled.Nursing.Facility.Beds.per.100k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Percent.Clinicians.Accepting.Medicaid","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Nursing.Home.Occupancy.Rate","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Anderson","Texas","48001","57917","Upper East","0.5731","0.4466","0.0711","0.5099","0.9486","39.3","19.17","14.47","0.6","20.92","17.89","58.09","2.14","7.54","5","13.11","14.15","22.49","38.58","32.84","22.87","5.72","5","0.44","3.4","45847","46416","33985","42729","50412","14.09","8.38","26.76","15.98","10.85","12.47","110000","829","17.5","39.03","32.16","7.18","4.12","15.56","7.1","5.76","14.54","39.9","13.5","18.9","22.4","20.9","20","5","21","1","4","652.92","56.04","23.52","32.86","5.53","0","","","0","0","0","0","0","","","","","4.5","16.95","36.4","","","1.26","15","55.1","57","19","32.7","6.9","32.7","12","6.9","43.3","2","0","2","7","9","0","19","1787","2","21","3.46","3.46","98.33","75","75","80.56","19.44","0","89.46","6.73","6.33","6.56","6.68","58.75","6.68","4.52","43.67"
"Andrews","Texas","48003","18227","West Texas","0.4743","0.5059","0.5178","0.7747","0.2451","32.3","30.68","9.84","0.31","2.29","56.86","39.6","7.4","5.15","5","7.2","13.21","9.84","56.21","8.78","22.77","12.24","3.13","0.46","3.92","75147","","","61563","82470","11.22","0","0","17.36","3.33","8.59","153200","1095","23.29","33.41","28.37","10.91","4.02","12.72","4.2","2.52","20.14","38.2","11.9","19.1","18.2","21.4","15","2","15","1","1","436.36","51.54","28.51","15.35","","","","","","","0","","0","","","","","","12.06","11.6","12","1.25","0.9","18","36.9","69","0","12.3","4.1","8.2","-","-","16.04","0","0","0","5","11","0","16","1273","0","0","5.3","5.3","95.92","","","37.5","25","37.5","","32.71","1.16","1.16","1.16","94.08","1.16","1.16","33.68"
"Angelina","Texas","48005","87119","Southeast","0.9091","0.8538","0.8814","0.4664","0.9368","37.6","25.48","16.17","1.11","15.14","22.29","60.21","2.37","8.85","5","9.46","10.96","12.7","48.31","32.96","12.67","6.06","5.59","0.44","6.7","49684","145217","32037","51238","53668","17.35","9.09","24.16","25.37","12.9","19.33","110500","826","16.99","30.76","34.07","12.48","5.71","19.04","6.34","5.38","18.58","40.3","14.9","16","21.2","23.2","20","5","19","2","1","455.79","51.81","19.26","13.98","5.04","","0","0","","0","","0","","","","","","4.81","13.76","58.3","","","","","94.5","92","22","34.1","18.7","80.2","18.7","19.8","136.08","1","1","2","0","9","3","13","1080","2","53","1.15","1.15","98.12","66.67","33.33","75","22.06","2.94","63.1","5.41","4.43","4.43","4.43","4.62","4.43","4.75","23.65"
"Aransas","Texas","48007","24220","South Texas","0.7549","0.8024","0.4269","0.3399","0.917","50","20.09","27.08","1.14","0.33","27.99","66.95","2.62","10.54","3","8.75","10.62","12.43","45.29","29.51","19.8","5.4","5.83","0.52","9.32","47924","37885","","33715","55341","22.84","4.36","57.89","35.02","15.7","14.81","183200","826","12.89","29.11","34.83","15.73","7.43","16.07","7.39","8.81","17.73","35","16.8","15.5","18.9","21.8","16","3","16","1","2","438.6","87.41","20.42","38.4","","0","0","","0","0","","0","0","0","0","","","10.62","20.42","17","15","2.17","0.5","12","34.8","46","17","17.4","7","31.3","7","3.5","80.82","0","0","4","8","0","8","8","372","0","0","0","0","97.62","100","100","66.67","33.33","0","72.83","30.47","11.47","11.47","22.4","28.56","20.04","2.29","11.47"
"Archer","Texas","48009","8754","Northwest","0.0277","0.1225","0.1186","0.0119","0.0158","44.2","21.84","20.28","0.17","1.1","8.21","88.2","1.76","7.66","4","11.33","13.75","15.68","34.1","50.34","12.69","2.87","3.33","0.47","3.68","63958","","","41250","66912","11.59","0","2.25","11.77","11.86","8.17","152000","659","9.51","36.55","31.64","14.41","7.9","9.44","6.34","6.13","15.12","35.2","12.4","17.4","18.1","22.5","19","3","22","1","4","","75.72","25.24","27.53","","","","","","","","","","","","","","","","0.5","16","2.47","0.43","15","-","0","0","-","24.2","48.4","-","-","","0","0","0","34","0","0","11","525","0","0","0","0","0","","","50","25","25","","16.98","3.87","16.94","16.94","61.71","16.94","4.23","17.05"
"Armstrong","Texas","48011","1950","High Plains","0.0119","0.004","0.0316","0.0079","0.2727","41.7","23.38","20.92","0","0.72","8.46","88.51","0.56","11.69","3","10","8.75","13.89","28.12","21.27","46.94","3.67","6.53","0.36","0.54","69386","","","68821","72946","7.27","","","8.13","6.66","2.5","156100","938","8.89","23.77","41.63","17.34","8.37","7.05","7.37","4.4","7","33.3","11.9","17.5","15.9","21.9","15","2","22","0","1","","","","","","","","","","","","","","","","","","","","20.3","11","0.54","0.1","12","-","0","0","-","-","51.4","-","-","","0","0","0","51","0","0","51","2769","0","0","0","0","0","100","100","50","50","0","68.18","27.92","30.56","28.09","30.6","30.6","30.59","2.14","30.59"
"Atascosa","Texas","48013","50194","Alamo","0.7075","0.6008","0.6443","0.8379","0.7036","36","27.07","14.77","0.5","1.08","64.73","32.83","7.39","8.71","2","10.61","20.14","14.6","24.21","26.04","39.63","10.12","5.26","0.44","7.21","59251","91198","27632","53030","67107","11.01","0","2.71","12.17","8.29","13.59","106000","863","21.04","39.67","23.98","11.37","3.94","14.84","4.95","5.11","18.67","38.1","14.2","17.5","16.7","20.3","21","4","18","0","2","682.45","51.4","21.12","15.54","4.78","0","","0","","0","","","0","","","0","","3.98","11.56","20","7","0.45","1.19","12","24.3","41","12","13.1","22.4","37.4","7.5","9.3","39.1","2","2","0","22","2","0","12","737","0","0","1.93","1.93","99.43","66.67","100","75","16.67","8.33","74.89","7.21","8.69","8.69","20.72","27.2","8.69","3.65","21.76"
"Austin","Texas","48015","29892","Gulf Coast","0.4545","0.3241","0.6798","0.4308","0.4506","40.9","23.87","19.47","0.55","8.77","27.23","61.63","2.72","5.2","2","9.89","12.5","17.27","31.63","27.89","27.67","12.81","4.17","0.43","5.58","64468","","31395","51482","77296","11.72","0","39.27","16.48","4.99","9","197200","822","12.42","33.44","31.19","16.03","6.92","12.51","7.96","4.67","14.56","36.1","13.9","16.3","17","21.6","16","2","13","1","1","523.08","66.87","26.08","23.41","","","","0","0","0","","","","0","0","","","","11.37","20.3","","","1.47","13","22.7","47","10","48.7","3.2","29.2","3.2","3.2","39.96","7","0","0","17","7","0","20","1566","0","0","0","0","97.92","100","0","58.82","29.41","11.76","64.56","6.44","3.05","6.75","12.31","48","6.75","2.71","6.75"
"Bailey","Texas","48017","6916","High Plains","0.6957","0.4229","0.7233","0.8498","0.7628","33.7","28.44","13.42","0.68","0.29","65.76","31.84","11.48","2.47","6","15.95","17.66","26.95","62.67","11.52","18.12","7.69","10.36","0.43","3.03","55038","","","49224","68453","11.36","100","","13.35","5.53","12.94","75200","543","22.06","40.17","20.39","11.62","5.76","20.89","5.9","4.54","32.34","37.7","13.6","17.1","16.1","19.8","12","2","14","1","1","681.82","105.77","54.31","","","","","","","","","","","","","","","","","23.2","","","","","25.6","60","30","12.8","12.8","51.2","-","-","28.57","0","14","0","58","14","0","43","2473","0","0","0","0","90","0","0","33.33","22.22","44.44","44.59","30.93","1.18","30.92","29.54","65.6","1.18","1.18","63.94"
"Bandera","Texas","48019","22770","Alamo","0.2688","0.3123","0.3834","0.1502","0.3874","53.1","16.71","27.21","0.34","0.75","19.28","76.58","1.79","14.12","2","7.77","9.08","13.53","18.86","17.03","39.48","24.64","1.07","0.44","7.11","60361","","41875","56008","62526","13.83","0","51.3","13.89","14.02","7.63","202000","884","10.27","31.9","35.4","15.3","7.12","12.33","6.18","12.8","17.1","35.2","15.3","15.4","16.9","21.3","16","2","17","0","3","468.75","69.34","22.82","27.21","","0","","0","0","","0","","","0","0","0","","","16.68","9.6","","","1.1","18","23.4","38","25","37.4","51.4","79.5","18.7","-","86.54","0","0","0","13","4","0","13","878","0","0","0","0","96.43","100","100","75","25","0","59.68","17.61","19.13","21.16","26.66","27.48","20.81","8.62","19.13"
