"County.Name","2013","2014","2015","2016","2017"
"Anderson",323.68,437.83,251.97,414.51,652.92
"Andrews",392.75,377.91,526.32,402.68,436.36
"Angelina",330.91,391.82,502.06,435.15,455.79
"Aransas",566.04,547.45,579.71,756.3,438.6
"Archer",NA,NA,769.23,NA,NA
"Armstrong",0,NA,NA,NA,NA
"Atascosa",531.25,481.59,595.93,574.37,682.45
"Austin",547.11,552.49,576.37,579.71,523.08
"Bailey",NA,733.94,802.92,NA,681.82
"Bandera",632.91,569.62,909.09,391.06,468.75
"Bastrop",388.15,490.38,458.02,492.83,632.45
"Baylor",NA,0,NA,NA,0
"Bee",405.06,480.77,606.8,497.24,619.47
"Bell",637.39,685.22,684.23,608.94,656.04
"Bexar",614.72,574.07,639.65,658.67,672.7
"Blanco",NA,NA,NA,NA,NA
"Borden",NA,NA,NA,NA,NA
"Bosque",550,363.64,860.22,398.01,710.66
"Bowie",541.46,410.85,444.8,437.6,604.73
"Brazoria",451.72,554.28,508.92,718.01,573.47
"Brazos",402.43,544.94,544.64,488.07,497.96
"Brewster",608.7,582.52,NA,NA,NA
"Briscoe",NA,NA,NA,NA,NA
"Brooks",NA,NA,512.82,NA,NA
"Brown",645.93,470.59,391.2,452.38,358.06
"Burleson",508.47,333.33,604.65,657.28,518.87
"Burnet",461.22,660.79,651.34,599.25,518.02
"Caldwell",477.22,565.3,516.61,534.76,697.25
"Calhoun",392.16,561.06,376.18,544.22,452.83
"Callahan",625,740.74,748.3,641.03,548.78
"Cameron",456.64,449.47,507.05,509.98,570.43
"Camp",432.69,319.63,639.53,529.41,451.98
"Carson",NA,NA,NA,NA,NA
"Cass",382.51,554.02,466.32,426.83,535.12
"Castro",847.46,NA,480,673.08,588.24
"Chambers",455.53,736.84,742.19,723.33,767.82
"Cherokee",440.99,512.82,519.95,631.14,694.26
"Childress",857.14,731.71,NA,NA,NA
"Clay",594.06,NA,NA,NA,NA
"Cochran",NA,0,NA,NA,NA
"Coke",NA,NA,NA,NA,NA
"Coleman",689.66,NA,833.33,NA,NA
"Collin",565.73,607.18,602.78,647,612.21
"Collingsworth",NA,NA,NA,0,NA
"Colorado",609.76,559.7,528.3,511.81,NA
"Comal",455.55,505.54,528.26,450.45,391.89
"Comanche",460.53,652.17,459.77,NA,NA
"Concho",NA,NA,0,0,NA
"Cooke",531.31,623.89,533.09,358.36,283.55
"Coryell",638.5,555.03,603.45,590.16,627.62
"Cottle",NA,NA,NA,NA,NA
"Crane",740.74,NA,NA,NA,NA
"Crockett",NA,NA,NA,NA,NA
"Crosby",NA,NA,NA,821.92,NA
"Culberson",NA,NA,0,NA,NA
"Dallam",496.45,NA,382.17,411.76,780.14
"Dallas",662.37,692.65,669.93,710.89,704.88
"Dawson",370.37,361.45,536.59,564.97,529.1
"Deaf Smith",415.43,590.06,603.45,538.92,457.32
"Delta",NA,NA,NA,NA,NA
"Denton",594.27,548.46,545.2,590.2,551.46
"DeWitt",411.99,553.63,407.41,478.09,432.9
"Dickens",NA,NA,NA,NA,NA
"Dimmit",358.97,NA,520.23,370.37,NA
"Donley",0,NA,NA,NA,0
"Duval",779.22,673.58,441.99,743.24,547.95
"Eastland",574.16,368.66,552.76,497.74,528.85
"Ector",714.29,591.58,585.09,747.86,654.31
"Edwards",NA,NA,NA,NA,NA
