"County.Name","YearText","Birth_Defects_Per_10k"
"Anderson",2013,323.68
"Andrews",2013,392.75
"Angelina",2013,330.91
"Aransas",2013,566.04
"Archer",2013,NA
"Armstrong",2013,0
"Atascosa",2013,531.25
"Austin",2013,547.11
"Bailey",2013,NA
"Bandera",2013,632.91
"Bastrop",2013,388.15
"Baylor",2013,NA
"Bee",2013,405.06
"Bell",2013,637.39
"Bexar",2013,614.72
"Blanco",2013,NA
"Borden",2013,NA
"Bosque",2013,550
"Bowie",2013,541.46
"Brazoria",2013,451.72
"Brazos",2013,402.43
"Brewster",2013,608.7
"Briscoe",2013,NA
"Brooks",2013,NA
"Brown",2013,645.93
"Burleson",2013,508.47
"Burnet",2013,461.22
"Caldwell",2013,477.22
"Calhoun",2013,392.16
"Callahan",2013,625
"Cameron",2013,456.64
"Camp",2013,432.69
"Carson",2013,NA
"Cass",2013,382.51
"Castro",2013,847.46
"Chambers",2013,455.53
"Cherokee",2013,440.99
"Childress",2013,857.14
"Clay",2013,594.06
"Cochran",2013,NA
"Coke",2013,NA
"Coleman",2013,689.66
"Collin",2013,565.73
"Collingsworth",2013,NA
"Colorado",2013,609.76
"Comal",2013,455.55
"Comanche",2013,460.53
"Concho",2013,NA
"Cooke",2013,531.31
"Coryell",2013,638.5
"Cottle",2013,NA
"Crane",2013,740.74
"Crockett",2013,NA
"Crosby",2013,NA
"Culberson",2013,NA
"Dallam",2013,496.45
"Dallas",2013,662.37
"Dawson",2013,370.37
"Deaf Smith",2013,415.43
"Delta",2013,NA
"Denton",2013,594.27
"DeWitt",2013,411.99
"Dickens",2013,NA
"Dimmit",2013,358.97
"Donley",2013,0
"Duval",2013,779.22
"Eastland",2013,574.16
"Ector",2013,714.29
"Edwards",2013,NA
"El Paso",2013,588.45
"Ellis",2013,650.49
"Erath",2013,412.37
"Falls",2013,591.13
"Fannin",2013,524.69
"Fayette",2013,489.8
"Fisher",2013,NA
"Floyd",2013,NA
"Foard",2013,NA
"Fort Bend",2013,471.66
"Franklin",2013,NA
"Freestone",2013,560.75
"Frio",2013,380.23
"Gaines",2013,355.33
"Galveston",2013,482.32
"Garza",2013,NA
"Gillespie",2013,375
"Glasscock",2013,NA
"Goliad",2013,NA
"Gonzales",2013,533.81
"Gray",2013,408.16
"Grayson",2013,463.88
"Gregg",2013,507.21
"Grimes",2013,676.92
"Guadalupe",2013,515.05
"Hale",2013,368.93
"Hall",2013,NA
"Hamilton",2013,864.2
"Hansford",2013,731.71
"Hardeman",2013,NA
"Hardin",2013,280.9
"Harris",2013,487.9
"Harrison",2013,488.1
"Hartley",2013,NA
"Haskell",2013,NA
"Hays",2013,455.61
"Hemphill",2013,NA
"Henderson",2013,765.71
"Hidalgo",2013,550.61
"Hill",2013,284.97
"Hockley",2013,447.28
"Hood",2013,596.03
"Hopkins",2013,537.38
"Houston",2013,506.33
"Howard",2013,695.07
"Hudspeth",2013,NA
"Hunt",2013,766.36
"Hutchinson",2013,495.05
"Irion",2013,NA
"Jack",2013,NA
"Jackson",2013,680.63
"Jasper",2013,354.77
"Jeff Davis",2013,NA
"Jefferson",2013,320.2
"Jim Hogg",2013,NA
