"County","Race","2019","2018","2017","2016","2015"
"Anderson","Hispanic",NA,NA,0,0,NA
"Anderson","Black",0,NA,NA,0,NA
"Anderson","Other",0,NA,0,0,NA
"Anderson","White",NA,NA,NA,NA,NA
"Andrews","Hispanic",NA,NA,NA,NA,0
"Andrews","Black",0,0,0,0,0
"Andrews","Other",0,0,0,0,0
"Andrews","White",0,NA,0,NA,NA
"Angelina","Hispanic",NA,NA,0,NA,NA
"Angelina","Black",NA,NA,NA,NA,0
"Angelina","Other",0,0,0,NA,0
"Angelina","White",NA,NA,NA,NA,NA
"Aransas","Hispanic",NA,0,NA,NA,0
"Aransas","Black",0,0,NA,NA,0
"Aransas","Other",0,NA,NA,NA,0
"Aransas","White",NA,0,NA,NA,NA
"Atascosa","Hispanic",NA,NA,NA,NA,NA
"Atascosa","Black",0,0,0,0,0
"Atascosa","Other",0,0,0,0,0
"Atascosa","White",0,0,NA,0,NA
"Austin","Hispanic",NA,NA,NA,NA,NA
"Austin","Black",0,NA,0,NA,NA
"Austin","Other",0,NA,0,NA,NA
"Austin","White",NA,NA,0,NA,NA
"Bastrop","Hispanic",NA,NA,NA,NA,NA
"Bastrop","Black",0,NA,NA,0,0
"Bastrop","Other",0,NA,NA,0,0
"Bastrop","White",NA,NA,NA,NA,0
"Bee","Hispanic",NA,NA,NA,NA,NA
"Bee","Black",0,0,0,0,0
"Bee","Other",0,0,0,0,0
"Bee","White",NA,0,0,0,NA
"Bell","Hispanic",NA,NA,NA,12,NA
"Bell","Black",16,11,16,16,15
"Bell","Other",NA,0,NA,NA,NA
"Bell","White",NA,NA,18,10,18
"Bexar","Hispanic",111,110,128,112,117
"Bexar","Black",23,35,14,22,22
"Bexar","Other",NA,NA,NA,NA,NA
"Bexar","White",29,34,31,39,35
"Bowie","Hispanic",NA,0,0,0,NA
"Bowie","Black",NA,NA,NA,NA,11
"Bowie","Other",0,0,0,0,0
"Bowie","White",NA,NA,NA,NA,NA
"Brazoria","Hispanic",10,NA,NA,NA,NA
"Brazoria","Black",NA,NA,NA,NA,NA
"Brazoria","Other",NA,NA,NA,NA,0
"Brazoria","White",NA,10,NA,10,10
"Brazos","Hispanic",NA,NA,NA,NA,NA
"Brazos","Black",NA,NA,NA,NA,NA
"Brazos","Other",NA,0,NA,NA,0
"Brazos","White",10,NA,NA,NA,NA
"Brooks","Hispanic",NA,NA,NA,NA,NA
"Brooks","Black",0,0,NA,0,NA
"Brooks","Other",0,0,NA,0,NA
"Brooks","White",0,0,NA,0,NA
"Brown","Hispanic",NA,0,0,NA,0
"Brown","Black",0,0,0,0,NA
"Brown","Other",0,0,0,0,0
"Brown","White",0,NA,NA,NA,NA
"Burleson","Hispanic",0,NA,NA,0,0
"Burleson","Black",0,NA,NA,0,NA
"Burleson","Other",0,NA,NA,0,0
"Burleson","White",NA,NA,NA,NA,NA
"Caldwell","Hispanic",NA,NA,NA,NA,0
"Caldwell","Black",NA,0,0,0,0
"Caldwell","Other",0,0,0,0,0
"Caldwell","White",NA,0,NA,NA,NA
"Calhoun","Hispanic",0,NA,NA,0,0
"Calhoun","Black",0,NA,0,0,0
"Calhoun","Other",0,NA,0,NA,NA
"Calhoun","White",NA,NA,0,0,NA
"Cameron","Hispanic",35,22,34,36,36
"Cameron","Black",NA,0,0,0,0
"Cameron","Other",0,0,0,0,0
"Cameron","White",NA,NA,0,NA,0
"Cass","Hispanic",0,0,0,NA,0
"Cass","Black",NA,NA,0,NA,NA
"Cass","Other",0,0,NA,NA,0
"Cass","White",NA,0,NA,NA,NA
"Castro","Hispanic",NA,NA,NA,NA,NA
"Castro","Black",0,NA,0,NA,NA
"Castro","Other",0,NA,0,NA,NA
"Castro","White",0,NA,NA,NA,NA
"Chambers","Hispanic",NA,NA,NA,0,NA
"Chambers","Black",0,NA,NA,0,0
"Chambers","Other",0,NA,NA,0,0
"Chambers","White",NA,NA,NA,NA,NA
"Cherokee","Hispanic",NA,NA,NA,NA,NA
"Cherokee","Black",0,NA,0,NA,0
"Cherokee","Other",0,0,NA,0,0
"Cherokee","White",NA,NA,NA,NA,NA
"Clay","Hispanic",0,NA,NA,NA,NA
"Clay","Black",0,NA,NA,NA,NA
"Clay","Other",0,NA,NA,NA,NA
"Clay","White",NA,NA,NA,NA,NA
"Collin","Hispanic",12,11,10,NA,NA
"Collin","Black",11,NA,12,10,NA
"Collin","Other",NA,11,10,10,NA
"Collin","White",16,14,22,22,24
"Colorado","Hispanic",NA,NA,NA,0,0
"Colorado","Black",0,NA,0,NA,NA
"Colorado","Other",0,0,0,0,0
"Colorado","White",0,NA,NA,0,NA
"Comal","Hispanic",NA,NA,NA,NA,NA
"Comal","Black",NA,0,NA,0,NA
"Comal","Other",0,0,0,NA,0
"Comal","White",NA,NA,NA,NA,10
"Comanche","Hispanic",NA,0,NA,NA,NA
"Comanche","Black",0,0,NA,0,0
"Comanche","Other",0,0,NA,0,0
"Comanche","White",0,NA,NA,NA,0
"Cooke","Hispanic",NA,NA,NA,NA,0
"Cooke","Black",0,NA,NA,0,0
"Cooke","Other",0,0,NA,0,0
"Cooke","White",NA,NA,NA,NA,NA
"Coryell","Hispanic",0,NA,NA,NA,0
"Coryell","Black",NA,NA,0,NA,NA
"Coryell","Other",0,0,0,0,NA
"Coryell","White",NA,NA,NA,NA,NA
"Crockett","Hispanic",NA,NA,NA,NA,NA
"Crockett","Black",0,NA,NA,NA,NA
"Crockett","Other",0,NA,NA,NA,NA
"Crockett","White",0,NA,NA,NA,NA
"Dallam","Hispanic",0,NA,NA,NA,0
"Dallam","Black",0,0,0,0,0
"Dallam","Other",0,0,0,0,0
"Dallam","White",NA,NA,NA,0,NA
"Dallas","Hispanic",104,89,108,103,118
"Dallas","Black",77,98,92,90,118
"Dallas","Other",17,14,21,12,10
"Dallas","White",33,26,40,34,27
"Dawson","Hispanic",NA,NA,NA,NA,NA
"Dawson","Black",0,0,0,0,NA
"Dawson","Other",0,0,0,0,NA
"Dawson","White",0,NA,0,0,NA
"Deaf Smith","Hispanic",NA,NA,NA,NA,NA
"Deaf Smith","Black",0,0,NA,0,0
"Deaf Smith","Other",0,0,NA,0,0
"Deaf Smith","White",0,NA,NA,NA,0
"Delta","Hispanic",0,0,NA,NA,0
"Delta","Black",0,0,NA,NA,0
"Delta","Other",0,0,NA,NA,0
"Delta","White",NA,NA,NA,NA,NA
"Denton","Hispanic",NA,10,14,14,NA
"Denton","Black",NA,10,NA,NA,NA
"Denton","Other",NA,NA,NA,NA,0
"Denton","White",17,13,20,25,21
"Dewitt","Hispanic",NA,NA,NA,NA,NA
"Dewitt","Black",0,0,NA,NA,NA
"Dewitt","Other",0,0,NA,NA,0
"Dewitt","White",NA,0,NA,NA,0
"Dickens","Hispanic",NA,NA,NA,NA,NA
"Dickens","Black",0,NA,NA,NA,NA
"Dickens","Other",0,NA,NA,NA,NA
"Dickens","White",0,NA,NA,NA,NA
"Duval","Hispanic",NA,NA,NA,NA,NA
"Duval","Black",0,0,0,NA,0
"Duval","Other",0,0,0,NA,0
"Duval","White",0,0,0,NA,0
"Ector","Hispanic",NA,12,NA,22,11
"Ector","Black",NA,NA,NA,0,0
"Ector","Other",0,NA,NA,0,0
"Ector","White",NA,NA,NA,NA,NA
"El Paso","Hispanic",46,30,51,40,47
"El Paso","Black",NA,NA,NA,NA,NA
"El Paso","Other",NA,0,0,0,NA
"El Paso","White",NA,NA,NA,NA,NA
"Ellis","Hispanic",NA,NA,NA,NA,NA
"Ellis","Black",NA,NA,NA,NA,NA
"Ellis","Other",0,NA,0,0,0
"Ellis","White",10,NA,NA,NA,NA
"Erath","Hispanic",0,0,0,NA,NA
"Erath","Black",0,0,0,0,0
"Erath","Other",0,0,0,0,0
"Erath","White",NA,NA,NA,NA,NA
"Falls","Hispanic",0,0,NA,NA,0
"Falls","Black",0,NA,NA,NA,NA
"Falls","Other",0,0,NA,NA,0
"Falls","White",NA,0,NA,0,0
"Fannin","Hispanic",0,0,0,NA,NA
"Fannin","Black",NA,0,NA,0,NA
"Fannin","Other",0,0,NA,NA,NA
"Fannin","White",0,NA,NA,NA,NA
"Fayette","Hispanic",NA,NA,0,0,0
"Fayette","Black",NA,NA,0,0,NA
"Fayette","Other",0,NA,0,0,0
"Fayette","White",0,NA,NA,NA,0
"Floyd","Hispanic",NA,NA,NA,NA,NA
"Floyd","Black",0,0,NA,NA,NA
"Floyd","Other",0,0,NA,NA,NA
"Floyd","White",0,0,NA,NA,NA
"Fort Bend","Hispanic",NA,NA,12,NA,12
"Fort Bend","Black",18,16,NA,14,14
"Fort Bend","Other",10,NA,NA,10,NA
"Fort Bend","White",NA,NA,NA,16,15
"Freestone","Hispanic",NA,NA,0,NA,NA
"Freestone","Black",0,NA,NA,NA,NA
"Freestone","Other",0,0,0,NA,NA
"Freestone","White",NA,0,0,NA,NA
"Frio","Hispanic",NA,NA,NA,NA,NA
"Frio","Black",0,0,0,0,0
"Frio","Other",0,0,0,0,0
"Frio","White",0,0,0,0,0
"Galveston","Hispanic",NA,NA,NA,NA,NA
"Galveston","Black",NA,NA,NA,NA,NA
"Galveston","Other",0,NA,0,NA,0
"Galveston","White",NA,10,NA,NA,13
"Gillespie","Hispanic",0,0,NA,NA,NA
"Gillespie","Black",0,0,NA,0,NA
"Gillespie","Other",0,0,NA,0,NA
"Gillespie","White",NA,NA,NA,0,NA
"Gray","Hispanic",NA,NA,0,NA,NA
"Gray","Black",0,NA,0,0,NA
"Gray","Other",0,NA,0,0,NA
"Gray","White",NA,NA,NA,NA,NA
"Grayson","Hispanic",NA,NA,NA,NA,0
"Grayson","Black",NA,0,NA,0,NA
"Grayson","Other",NA,NA,0,NA,0
"Grayson","White",NA,NA,NA,NA,NA
"Gregg","Hispanic",0,NA,NA,NA,NA
"Gregg","Black",NA,NA,NA,NA,NA
"Gregg","Other",NA,0,0,0,0
"Gregg","White",NA,NA,NA,NA,NA
"Grimes","Hispanic",NA,0,NA,NA,0
