"County","TDSHS_DEATHS_SUICIDE","Year"
"Anderson",NA,2015
"Andrews",NA,2015
"Angelina",10,2015
"Aransas",NA,2015
"Armstrong",NA,2015
"Atascosa",NA,2015
"Austin",NA,2015
"Bandera",NA,2015
"Bastrop",NA,2015
"Bee",NA,2015
"Bell",30,2015
"Bexar",105,2015
"Blanco",NA,2015
"Bosque",NA,2015
"Bowie",15,2015
"Brazoria",27,2015
"Brazos",15,2015
"Brewster",NA,2015
"Brooks",NA,2015
"Brown",NA,2015
"Burleson",NA,2015
"Burnet",NA,2015
"Caldwell",NA,2015
"Calhoun",NA,2015
"Callahan",NA,2015
"Cameron",10,2015
"Carson",NA,2015
"Cass",NA,2015
"Castro",NA,2015
"Chambers",NA,2015
"Cherokee",10,2015
"Childress",NA,2015
"Clay",NA,2015
"Coke",NA,2015
"Collin",57,2015
"Collingsworth",NA,2015
"Colorado",NA,2015
"Comal",12,2015
"Comanche",NA,2015
"Concho",NA,2015
"Cooke",NA,2015
"Coryell",10,2015
"Crosby",NA,2015
"Dallas",135,2015
"Deaf Smith",NA,2015
"Denton",43,2015
"DeWitt",NA,2015
"Duval",NA,2015
"Eastland",NA,2015
"Ector",14,2015
"El Paso",43,2015
"Ellis",14,2015
"Erath",NA,2015
"Falls",NA,2015
"Fannin",NA,2015
"Fayette",NA,2015
"Foard",NA,2015
"Fort Bend",41,2015
"Franklin",NA,2015
"Freestone",NA,2015
"Gaines",NA,2015
"Galveston",41,2015
"Gillespie",NA,2015
"Goliad",NA,2015
"Gonzales",NA,2015
"Gray",NA,2015
"Grayson",17,2015
"Gregg",16,2015
"Grimes",NA,2015
"Guadalupe",NA,2015
"Hale",NA,2015
"Hamilton",NA,2015
"Hardin",NA,2015
"Harris",274,2015
"Harrison",NA,2015
"Haskell",NA,2015
"Hays",10,2015
"Henderson",18,2015
"Hidalgo",15,2015
"Hill",NA,2015
"Hockley",NA,2015
"Hood",NA,2015
"Hopkins",NA,2015
"Houston",NA,2015
"Howard",NA,2015
"Hunt",13,2015
"Hutchinson",NA,2015
"Jack",NA,2015
"Jasper",NA,2015
"Jefferson",17,2015
"Jim Wells",NA,2015
"Johnson",13,2015
"Jones",NA,2015
"Karnes",NA,2015
"Kaufman",10,2015
"Kendall",NA,2015
"Kerr",11,2015
"Kinney",NA,2015
"Kleberg",NA,2015
"La Salle",NA,2015
"Lamar",NA,2015
"Lamb",NA,2015
"Lampasas",NA,2015
"Lavaca",NA,2015
"Lee",NA,2015
"Leon",NA,2015
"Liberty",NA,2015
"Limestone",NA,2015
"Live Oak",NA,2015
"Llano",NA,2015
"Lubbock",23,2015
"Madison",NA,2015
"Marion",NA,2015
"Mason",NA,2015
"Matagorda",NA,2015
"Maverick",NA,2015
"McCulloch",NA,2015
"McLennan",15,2015
"McMullen",NA,2015
"Medina",NA,2015
"Midland",12,2015
"Milam",NA,2015
"Mitchell",NA,2015
"Montague",NA,2015
"Montgomery",53,2015
"Moore",NA,2015
"Morris",NA,2015
"Nacogdoches",NA,2015
"Navarro",10,2015
"Newton",NA,2015
"Nolan",NA,2015
"Nueces",30,2015
"Ochiltree",NA,2015
"Orange",NA,2015
"Palo Pinto",NA,2015
"Panola",NA,2015
"Parker",23,2015
"Parmer",NA,2015
"Polk",NA,2015
"Potter",10,2015
"Rains",NA,2015
"Randall",20,2015
"Red River",NA,2015
"Refugio",NA,2015
"Rockwall",NA,2015
"Runnels",NA,2015
"Rusk",NA,2015
"Sabine",NA,2015
"San Jacinto",NA,2015
"San Patricio",13,2015
"Shelby",NA,2015
"Smith",29,2015
"Starr",NA,2015
"Stephens",NA,2015
"Sutton",NA,2015
"Tarrant",125,2015
"Taylor",13,2015
"Terry",NA,2015
"Titus",NA,2015
"Tom Green",NA,2015
"Travis",69,2015
"Trinity",NA,2015
"Tyler",NA,2015
"Upshur",NA,2015
"Uvalde",NA,2015
"Van Zandt",NA,2015
"Victoria",NA,2015
"Walker",12,2015
"Waller",NA,2015
"Ward",NA,2015
"Washington",NA,2015
"Webb",NA,2015
"Wharton",NA,2015
"Wichita",10,2015
"Wilbarger",NA,2015
"Williamson",37,2015
"Wilson",NA,2015
"Winkler",NA,2015
"Wise",NA,2015
"Wood",NA,2015
"Yoakum",NA,2015
"Zapata",NA,2015
"Anderson",10,2016
"Andrews",NA,2016
"Angelina",NA,2016
"Aransas",NA,2016
"Archer",NA,2016
"Atascosa",NA,2016
"Austin",NA,2016
"Bastrop",NA,2016
"Bell",37,2016
"Bexar",105,2016
"Blanco",NA,2016
"Borden",NA,2016
"Bosque",NA,2016
"Bowie",12,2016
"Brazoria",21,2016
"Brazos",13,2016
"Brewster",NA,2016
"Brooks",NA,2016
"Brown",NA,2016
"Burleson",NA,2016
"Burnet",NA,2016
"Caldwell",NA,2016
"Callahan",NA,2016
"Cameron",11,2016
"Camp",NA,2016
"Carson",NA,2016
"Cass",NA,2016
"Castro",NA,2016
"Chambers",NA,2016
"Cherokee",NA,2016
"Clay",NA,2016
"Coleman",NA,2016
"Collin",55,2016
"Colorado",NA,2016
"Comal",18,2016
"Comanche",NA,2016
"Cooke",NA,2016
"Coryell",NA,2016
"Crockett",NA,2016
"Crosby",NA,2016
"Dallam",NA,2016
"Dallas",146,2016
"Deaf Smith",NA,2016
"Delta",NA,2016
"Denton",53,2016
"DeWitt",NA,2016
"Dimmit",NA,2016
"Duval",NA,2016
"Eastland",NA,2016
"Ector",12,2016
"El Paso",45,2016
"Ellis",11,2016
