"County","2015","2016","2017","2018","2019","2020"
"Anderson",NA,10,NA,NA,NA,NA
"Andrews",NA,NA,NA,NA,NA,NA
"Angelina",10,NA,NA,NA,NA,10
"Aransas",NA,NA,NA,NA,NA,12
"Archer",NA,NA,NA,NA,NA,NA
"Armstrong",NA,NA,NA,NA,NA,NA
"Atascosa",NA,NA,NA,NA,NA,NA
"Austin",NA,NA,NA,NA,NA,NA
"Bailey",NA,NA,NA,NA,NA,NA
"Bandera",NA,NA,NA,NA,NA,NA
"Bastrop",NA,NA,12,NA,NA,12
"Baylor",NA,NA,NA,NA,NA,NA
"Bee",NA,NA,NA,NA,NA,NA
"Bell",30,37,34,43,40,36
"Bexar",105,105,147,149,131,129
"Blanco",NA,NA,NA,NA,NA,NA
"Borden",NA,NA,NA,NA,NA,NA
"Bosque",NA,NA,NA,NA,NA,NA
"Bowie",15,12,NA,NA,15,10
"Brazoria",27,21,27,29,26,46
"Brazos",15,13,NA,13,13,14
"Brewster",NA,NA,NA,NA,NA,NA
"Briscoe",NA,NA,NA,NA,NA,NA
"Brooks",NA,NA,NA,NA,NA,NA
"Brown",NA,NA,NA,NA,NA,NA
"Burleson",NA,NA,NA,NA,NA,NA
"Burnet",NA,NA,NA,NA,NA,NA
"Caldwell",NA,NA,NA,NA,NA,NA
"Calhoun",NA,NA,NA,NA,NA,NA
"Callahan",NA,NA,NA,NA,NA,NA
"Cameron",10,11,16,17,20,17
"Camp",NA,NA,NA,NA,NA,NA
"Carson",NA,NA,NA,NA,NA,NA
"Cass",NA,NA,NA,NA,NA,NA
"Castro",NA,NA,NA,NA,NA,NA
"Chambers",NA,NA,NA,NA,NA,NA
"Cherokee",10,NA,NA,NA,NA,NA
"Childress",NA,NA,NA,NA,NA,NA
"Clay",NA,NA,NA,NA,NA,NA
"Cochran",NA,NA,NA,NA,NA,NA
"Coke",NA,NA,NA,NA,NA,NA
"Coleman",NA,NA,NA,NA,NA,NA
"Collin",57,55,70,61,64,71
"Collingsworth",NA,NA,NA,NA,NA,NA
"Colorado",NA,NA,NA,NA,NA,NA
