"County","2015","2016","2017","2018","2019","2020"
"Anderson",15,17,17,22,17,22
"Andrews",NA,NA,NA,NA,NA,NA
"Angelina",17,NA,12,15,11,15
"Aransas",NA,NA,NA,NA,10,15
"Archer",NA,NA,NA,NA,NA,NA
"Armstrong",NA,NA,NA,NA,NA,NA
"Atascosa",NA,NA,10,10,NA,10
"Austin",NA,NA,10,NA,NA,NA
"Bailey",NA,NA,NA,NA,NA,NA
"Bandera",NA,NA,NA,NA,NA,NA
"Bastrop",12,10,18,14,12,21
"Baylor",NA,NA,NA,NA,NA,NA
"Bee",NA,NA,NA,NA,NA,10
"Bell",48,53,57,67,71,62
"Bexar",205,229,260,267,245,241
"Blanco",NA,NA,NA,NA,NA,NA
"Borden",NA,NA,NA,NA,NA,NA
"Bosque",NA,NA,NA,NA,NA,NA
"Bowie",21,16,13,18,19,22
"Brazoria",44,35,54,52,42,60
"Brazos",22,20,18,25,22,21
"Brewster",NA,NA,NA,NA,NA,NA
"Briscoe",NA,NA,NA,NA,NA,NA
"Brooks",NA,NA,NA,NA,NA,NA
"Brown",NA,NA,NA,NA,NA,NA
"Burleson",NA,NA,NA,NA,NA,NA
"Burnet",NA,NA,NA,10,10,10
"Caldwell",NA,NA,NA,NA,NA,NA
"Calhoun",NA,NA,NA,NA,NA,NA
"Callahan",NA,NA,NA,NA,NA,NA
"Cameron",21,28,42,39,29,33
"Camp",NA,NA,NA,NA,NA,NA
"Carson",NA,NA,NA,NA,NA,NA
"Cass",NA,NA,NA,13,NA,NA
"Castro",NA,NA,NA,NA,NA,NA
"Chambers",NA,NA,NA,NA,NA,10
"Cherokee",11,NA,10,NA,10,12
"Childress",NA,NA,NA,NA,NA,NA
"Clay",NA,NA,NA,NA,NA,NA
"Cochran",NA,NA,NA,NA,NA,NA
"Coke",NA,NA,NA,NA,NA,NA
"Coleman",NA,NA,NA,NA,NA,NA
"Collin",91,100,120,110,111,121
"Collingsworth",NA,NA,NA,NA,NA,NA
"Colorado",NA,NA,NA,NA,NA,NA
"Comal",19,25,33,10,40,46
"Comanche",NA,NA,NA,NA,NA,NA
"Concho",NA,NA,NA,NA,NA,NA
"Cooke",NA,NA,12,13,NA,10
"Coryell",15,17,18,16,15,12
"Cottle",NA,NA,NA,NA,NA,NA
"Crane",NA,NA,NA,NA,NA,NA
"Crockett",NA,NA,NA,NA,NA,NA
"Crosby",NA,NA,NA,NA,NA,NA
"Culberson",NA,NA,NA,NA,NA,NA
"Dallam",NA,NA,NA,NA,NA,NA
"Dallas",265,262,307,309,286,267
"Dawson",NA,NA,NA,NA,NA,NA
"DeWitt",NA,NA,NA,NA,NA,NA
"Deaf Smith",NA,NA,NA,NA,NA,NA
"Delta",NA,NA,NA,NA,NA,NA
"Denton",78,91,113,86,113,91
"Dickens",NA,NA,NA,NA,NA,NA
"Dimmit",NA,NA,NA,NA,NA,NA
"Donley",NA,NA,NA,NA,NA,NA
"Duval",NA,NA,NA,NA,NA,NA
"Eastland",NA,NA,NA,NA,NA,NA
"Ector",26,22,24,25,21,30
"Edwards",NA,NA,NA,NA,NA,NA
"El Paso",69,84,82,89,100,89
"Ellis",19,13,23,30,30,22
"Erath",NA,NA,NA,NA,NA,NA
"Falls",NA,NA,NA,NA,NA,NA
"Fannin",10,10,11,NA,NA,NA
"Fayette",NA,NA,NA,NA,NA,NA
"Fisher",NA,NA,NA,NA,NA,NA
"Floyd",NA,NA,NA,NA,NA,NA
"Foard",NA,NA,NA,NA,NA,NA
"Fort Bend",75,68,79,96,74,83
"Franklin",NA,NA,NA,NA,NA,NA
"Freestone",NA,NA,NA,NA,NA,NA
"Frio",NA,NA,NA,NA,NA,NA
"Gaines",NA,NA,NA,NA,NA,NA
"Galveston",64,47,59,49,53,59
"Garza",NA,NA,NA,NA,NA,NA
"Gillespie",NA,NA,NA,NA,NA,NA
"Glasscock",NA,NA,NA,NA,NA,NA
"Goliad",NA,NA,NA,NA,NA,NA
"Gonzales",NA,NA,NA,NA,NA,NA
"Gray",NA,NA,NA,NA,NA,NA
"Grayson",29,24,33,21,29,19
"Gregg",23,17,19,18,22,23
"Grimes",NA,NA,NA,NA,NA,NA
"Guadalupe",15,24,15,25,17,35
"Hale",NA,NA,NA,NA,NA,NA
"Hamilton",NA,NA,NA,NA,NA,NA
"Hansford",NA,NA,NA,NA,NA,NA
"Hardeman",NA,NA,NA,NA,NA,NA
"Hardin",11,10,10,15,14,12
"Harris",461,489,486,474,505,518
"Harrison",12,22,NA,NA,14,11
"Haskell",NA,NA,NA,NA,NA,NA
"Hays",19,32,30,35,29,29
"Hemphill",NA,NA,NA,NA,NA,NA
"Henderson",23,16,15,17,21,24
"Hidalgo",47,56,59,44,65,47
"Hill",10,NA,NA,NA,12,NA
"Hockley",NA,NA,NA,NA,NA,NA
"Hood",10,11,NA,21,11,19
"Hopkins",NA,NA,10,14,NA,NA
"Houston",NA,NA,NA,NA,NA,NA
"Howard",NA,10,11,16,11,NA
"Hudspeth",NA,NA,NA,NA,NA,NA
"Hunt",18,19,16,13,10,17
"Hutchinson",NA,NA,NA,NA,NA,NA
"Jack",NA,NA,NA,NA,NA,NA
"Jackson",NA,NA,NA,NA,NA,NA
"Jasper",NA,NA,NA,10,NA,NA
"Jeff Davis",NA,NA,NA,NA,NA,NA
"Jefferson",36,33,35,37,39,32
"Jim Hogg",NA,NA,NA,NA,NA,NA
"Jim Wells",NA,NA,10,NA,NA,NA
"Johnson",18,22,22,31,26,24
"Jones",NA,NA,10,NA,NA,NA
"Karnes",NA,NA,NA,NA,NA,NA
"Kaufman",18,15,17,30,19,19
"Kendall",10,NA,NA,NA,NA,NA
"Kerr",15,13,11,19,14,NA
"Kimble",NA,NA,NA,NA,NA,NA
"Kinney",NA,NA,NA,NA,NA,NA
"Kleberg",NA,NA,NA,NA,NA,NA
"Knox",NA,NA,NA,NA,NA,NA
"La Salle",NA,NA,NA,NA,NA,NA
"Lamar",NA,NA,13,NA,11,NA
"Lamb",NA,NA,NA,NA,NA,NA
"Lampasas",NA,NA,NA,NA,NA,NA
"Lavaca",NA,NA,NA,NA,NA,NA
"Lee",NA,NA,NA,NA,NA,NA
"Leon",NA,NA,NA,NA,NA,NA
"Liberty",15,14,13,18,21,17
"Limestone",NA,NA,NA,NA,NA,NA
"Live Oak",NA,NA,NA,NA,NA,NA
"Llano",NA,NA,NA,NA,NA,NA
"Loving",NA,NA,NA,NA,NA,NA
"Lubbock",43,49,46,54,54,60
"Lynn",NA,NA,NA,NA,NA,NA
"Madison",NA,NA,NA,NA,NA,NA
"Marion",NA,NA,NA,NA,NA,NA
"Martin",NA,NA,NA,NA,NA,NA
"Mason",NA,NA,NA,NA,NA,NA
"Matagorda",NA,NA,NA,NA,NA,NA
"Maverick",NA,NA,NA,NA,NA,NA
"McCulloch",NA,NA,NA,NA,NA,NA
"McLennan",28,29,32,45,41,42
"McMullen",NA,NA,NA,NA,NA,NA
"Medina",NA,NA,NA,NA,10,11
"Menard",NA,NA,NA,NA,NA,NA
"Midland",22,18,14,38,34,30
"Milam",NA,NA,NA,NA,NA,NA
"Mills",NA,NA,NA,NA,NA,NA
"Mitchell",NA,NA,NA,NA,NA,NA
"Montague",NA,NA,NA,NA,NA,NA
"Montgomery",89,91,86,88,109,107
"Moore",NA,NA,NA,NA,NA,NA
"Morris",NA,NA,NA,NA,NA,NA
"Motley",NA,NA,NA,NA,NA,NA
"Nacogdoches",NA,NA,NA,16,12,16
"Navarro",16,NA,10,12,NA,11
"Newton",NA,NA,NA,NA,NA,NA
"Nolan",NA,NA,NA,NA,NA,NA
