"County","TDSHS_DEATHS_SUICIDE","Year"
"Anderson",15,2015
"Angelina",17,2015
"Bastrop",12,2015
"Bell",48,2015
"Bexar",205,2015
"Bowie",21,2015
"Brazoria",44,2015
"Brazos",22,2015
"Cameron",21,2015
"Cherokee",11,2015
"Collin",91,2015
"Comal",19,2015
"Coryell",15,2015
"Dallas",265,2015
"Denton",78,2015
"Ector",26,2015
"El Paso",69,2015
"Ellis",19,2015
"Fannin",10,2015
"Fort Bend",75,2015
"Galveston",64,2015
"Grayson",29,2015
"Gregg",23,2015
"Guadalupe",15,2015
"Hardin",11,2015
"Harris",461,2015
"Harrison",12,2015
"Hays",19,2015
"Henderson",23,2015
"Hidalgo",47,2015
"Hill",10,2015
"Hood",10,2015
"Hunt",18,2015
"Jefferson",36,2015
"Johnson",18,2015
"Kaufman",18,2015
"Kendall",10,2015
"Kerr",15,2015
"Liberty",15,2015
"Lubbock",43,2015
"McLennan",28,2015
"Midland",22,2015
"Montgomery",89,2015
"Navarro",16,2015
"Nueces",51,2015
"Orange",10,2015
"Parker",27,2015
"Polk",12,2015
"Potter",21,2015
"Randall",32,2015
"Rockwall",13,2015
"San Patricio",17,2015
"Smith",39,2015
"Tarrant",226,2015
"Taylor",18,2015
"Tom Green",13,2015
"Travis",156,2015
"Victoria",12,2015
"Walker",19,2015
"Webb",16,2015
"Wichita",16,2015
"Williamson",67,2015
"Anderson",17,2016
"Bastrop",10,2016
"Bell",53,2016
"Bexar",229,2016
"Bowie",16,2016
"Brazoria",35,2016
"Brazos",20,2016
"Cameron",28,2016
"Collin",100,2016
"Comal",25,2016
"Coryell",17,2016
"Dallas",262,2016
"Denton",91,2016
"Ector",22,2016
"El Paso",84,2016
"Ellis",13,2016
"Fannin",10,2016
"Fort Bend",68,2016
"Galveston",47,2016
"Grayson",24,2016
"Gregg",17,2016
"Guadalupe",24,2016
"Hardin",10,2016
"Harris",489,2016
"Harrison",22,2016
"Hays",32,2016
"Henderson",16,2016
"Hidalgo",56,2016
"Hood",11,2016
"Howard",10,2016
"Hunt",19,2016
"Jefferson",33,2016
"Johnson",22,2016
"Kaufman",15,2016
"Kerr",13,2016
"Liberty",14,2016
"Lubbock",49,2016
"McLennan",29,2016
"Midland",18,2016
"Montgomery",91,2016
"Nueces",47,2016
"Orange",13,2016
"Palo Pinto",10,2016
"Parker",29,2016
"Potter",29,2016
"Randall",28,2016
"Rockwall",12,2016
"Rusk",11,2016
"San Patricio",12,2016
"Smith",40,2016
"Tarrant",261,2016
"Taylor",36,2016
"Travis",134,2016
"Van Zandt",11,2016
"Victoria",21,2016
"Walker",13,2016
"Webb",15,2016
"Wichita",24,2016
"Williamson",82,2016
"Wise",14,2016
"Anderson",17,2017
"Angelina",12,2017
"Atascosa",10,2017
"Austin",10,2017
"Bastrop",18,2017
"Bell",57,2017
"Bexar",260,2017
"Bowie",13,2017
"Brazoria",54,2017
"Brazos",18,2017
"Cameron",42,2017
"Cherokee",10,2017
"Collin",120,2017
"Comal",33,2017
"Cooke",12,2017
"Coryell",18,2017
"Dallas",307,2017
"Denton",113,2017
"Ector",24,2017
"El Paso",82,2017
"Ellis",23,2017
"Fannin",11,2017
"Fort Bend",79,2017
"Galveston",59,2017
"Grayson",33,2017
"Gregg",19,2017
"Guadalupe",15,2017
"Hardin",10,2017
"Harris",486,2017
"Hays",30,2017
"Henderson",15,2017
"Hidalgo",59,2017
"Hopkins",10,2017
"Howard",11,2017
"Hunt",16,2017
"Jefferson",35,2017
"Jim Wells",10,2017
"Johnson",22,2017
"Jones",10,2017
"Kaufman",17,2017
"Kerr",11,2017
"Lamar",13,2017
"Liberty",13,2017
"Lubbock",46,2017
"McLennan",32,2017
"Midland",14,2017
"Montgomery",86,2017
"Navarro",10,2017
"Nueces",50,2017
"Orange",17,2017
"Parker",22,2017
"Potter",23,2017
"Randall",30,2017
"Rockwall",17,2017
"Smith",51,2017
"Tarrant",255,2017
"Taylor",32,2017
"Tom Green",26,2017
"Travis",164,2017
"Van Zandt",11,2017
"Victoria",17,2017
"Walker",12,2017
"Webb",14,2017
"Wichita",32,2017
"Williamson",62,2017
"Wise",15,2017
"Wood",15,2017
"Anderson",22,2018
"Angelina",15,2018
"Atascosa",10,2018
"Bastrop",14,2018
"Bell",67,2018
"Bexar",267,2018
"Bowie",18,2018
"Brazoria",52,2018
"Brazos",25,2018
