"County","2015","2016","2017","2018","2019","2020"
"Anderson",15,17,17,22,17,22
"Angelina",17,NA,12,15,11,15
"Aransas",NA,NA,NA,NA,10,15
"Atascosa",NA,NA,10,10,NA,10
"Austin",NA,NA,10,NA,NA,NA
"Bastrop",12,10,18,14,12,21
"Bee",NA,NA,NA,NA,NA,10
"Bell",48,53,57,67,71,62
"Bexar",205,229,260,267,245,241
"Bowie",21,16,13,18,19,22
"Brazoria",44,35,54,52,42,60
"Brazos",22,20,18,25,22,21
"Burnet",NA,NA,NA,10,10,10
"Cameron",21,28,42,39,29,33
"Cass",NA,NA,NA,13,NA,NA
"Chambers",NA,NA,NA,NA,NA,10
"Cherokee",11,NA,10,NA,10,12
"Collin",91,100,120,110,111,121
"Comal",19,25,33,10,40,46
"Cooke",NA,NA,12,13,NA,10
"Coryell",15,17,18,16,15,12
"Dallas",265,262,307,309,286,267
"Denton",78,91,113,86,113,91
"Ector",26,22,24,25,21,30
"El Paso",69,84,82,89,100,89
"Ellis",19,13,23,30,30,22
"Fannin",10,10,11,NA,NA,NA
"Fort Bend",75,68,79,96,74,83
"Galveston",64,47,59,49,53,59
"Grayson",29,24,33,21,29,19
"Gregg",23,17,19,18,22,23
"Guadalupe",15,24,15,25,17,35
"Hardin",11,10,10,15,14,12
"Harris",461,489,486,474,505,518
"Harrison",12,22,NA,NA,14,11
"Hays",19,32,30,35,29,29
"Henderson",23,16,15,17,21,24
"Hidalgo",47,56,59,44,65,47
"Hill",10,NA,NA,NA,12,NA
"Hood",10,11,NA,21,11,19
"Hopkins",NA,NA,10,14,NA,NA
"Howard",NA,10,11,16,11,NA
"Hunt",18,19,16,13,10,17
"Jasper",NA,NA,NA,10,NA,NA
"Jefferson",36,33,35,37,39,32
"Jim Wells",NA,NA,10,NA,NA,NA
"Johnson",18,22,22,31,26,24
"Jones",NA,NA,10,NA,NA,NA
"Kaufman",18,15,17,30,19,19
"Kendall",10,NA,NA,NA,NA,NA
"Kerr",15,13,11,19,14,NA
"Lamar",NA,NA,13,NA,11,NA
"Liberty",15,14,13,18,21,17
"Lubbock",43,49,46,54,54,60
"McLennan",28,29,32,45,41,42
"Medina",NA,NA,NA,NA,10,11
"Midland",22,18,14,38,34,30
"Montgomery",89,91,86,88,109,107
"Nacogdoches",NA,NA,NA,16,12,16
"Navarro",16,NA,10,12,NA,11
"Nueces",51,47,50,56,55,60
"Orange",10,13,17,22,12,11
"Palo Pinto",NA,10,NA,NA,NA,10
"Parker",27,29,22,25,24,38
"Polk",12,NA,NA,17,14,13
"Potter",21,29,23,35,30,28
"Randall",32,28,30,31,31,26
"Rockwall",13,12,17,15,16,NA
"Rusk",NA,11,NA,NA,10,13
"San Patricio",17,12,NA,NA,14,11
"Smith",39,40,51,45,53,41
"Tarrant",226,261,255,293,263,256
"Taylor",18,36,32,22,23,30
"Tom Green",13,NA,26,26,23,16
"Travis",156,134,164,157,167,158
"Van Zandt",NA,11,11,13,NA,NA
"Victoria",12,21,17,11,17,21
"Walker",19,13,12,NA,NA,NA
"Waller",NA,NA,NA,NA,NA,12
"Webb",16,15,14,13,20,22
"Wharton",NA,NA,NA,NA,10,NA
"Wichita",16,24,32,32,19,15
"Williamson",67,82,62,85,85,69
"Wilson",NA,NA,NA,NA,NA,10
"Wise",NA,14,15,11,13,12
"Wood",NA,NA,15,NA,NA,NA
