"county","2019","2020","2021","2022"
"ANDREWS",0.0305216661438418,NA,NA,NA
"ANGELINA",0.28486888400919,0.376663597555872,0.2997683608121,0.518672199170124
"ARANSAS",0.0203477774292279,NA,NA,0.0518672199170125
"ARMSTRONG",0.0915649984315255,NA,NA,NA
"ATASCOSA",0.132260553289981,NA,0.0545033383294727,NA
"AUSTIN",0.183129996863051,NA,NA,NA
"BANDERA",0.0305216661438418,NA,0.0136258345823682,0.103734439834025
"BASTROP",0.0915649984315255,0.175776345526073,0.44965254121815,1.08921161825726
"BEE",0.0203477774292279,NA,NA,0.20746887966805
"BELL",0.498520547016083,0.527329036578221,1.7986101648726,1.60788381742739
"BEXAR",11.1302342537877,11.7770151502469,23.204796293773,36.2551867219917
"BLANCO",0.0203477774292279,NA,0.0272516691647363,NA
"BRAZORIA",2.02460385420817,0.150665439022349,1.38983512740155,0.363070539419087
"BRAZOS",6.0534637851953,0.225998158533523,1.64872598446655,0.20746887966805
"BREWSTER",0.0203477774292279,NA,NA,NA
"BROOKS",0.0508694435730697,NA,NA,NA
"BROWN",0.0101738887146139,0.225998158533523,NA,0.0518672199170125
"CALDWELL",0.223825551721507,NA,NA,NA
"CAMERON",0.661302766449906,0.175776345526073,0.381523368306309,1.55601659751037
"CHAMBERS",0.0508694435730697,NA,0.081755007494209,NA
"CHEROKEE",0.0508694435730697,NA,0.272516691647363,NA
"CHILDRESS",0.162782219433823,NA,NA,NA
"CLAY",0.0203477774292279,0.0251109065037248,NA,NA
"COLLIN",0.834258874598343,2.41064702435758,2.83417359313258,2.9045643153527
"COLORADO",0.142434442004595,NA,0.258890857064995,NA
"COMAL",0.478172769586855,0.0753327195111744,0.163510014988418,0.311203319502075
"CORYELL",0.0915649984315255,NA,NA,NA
"DALLAM",0.0406955548584558,NA,NA,NA
"DALLAS",5.11746602345081,5.07240311375241,12.2223736203842,5.86099585062241
"DEAF SMITH",0.0305216661438418,NA,NA,NA
"DENTON",3.48964382911258,2.3353143048464,2.76604442022074,2.28215767634855
"ECTOR",2.37051607050505,0.225998158533523,0.912930917018667,2.69709543568465
"EL PASO",0.864780540742185,2.25998158533523,2.738792751056,1.50414937759336
"ELLIS",0.0813911097169115,0.502218130074496,0.258890857064995,0.570539419087137
"ERATH",0.0406955548584558,NA,0.190761684153154,NA
"FALLS",0.0813911097169115,0.175776345526073,NA,NA
"FAYETTE",0.0203477774292279,NA,0.0272516691647363,NA
"FORT BEND",0.681650543879134,0.552439943081945,0.613162556206568,1.71161825726141
"FRIO",0.122086664575367,0.0251109065037248,0.0272516691647363,NA
"GAINES",0.0101738887146139,NA,NA,NA
"GALVESTON",2.187386073642,0.326441784548422,1.70322932279602,0.466804979253112
"GONZALES",0.0406955548584558,NA,0.0953808420765772,NA
"GRAY",0.0406955548584558,NA,NA,NA
"GRAYSON",0.0203477774292279,1.00443626014899,0.408775037471045,0.311203319502075
"GREGG",0.651128877735292,0.62777266259312,0.66766589453604,0.311203319502075
