"Economic.Region","Year","Population","Deaths_Suicide","Suicide_Rate"
"Alamo",2015,2074509,128,6.17013471621478
"Alamo",2016,2360314,160,6.77875909730655
"Alamo",2017,2097709,171,8.15175031427143
"Alamo",2018,2196878,180,8.19344542573598
"Alamo",2019,2418694,180,7.44203276644338
"Alamo",2020,2382821,193,8.09964323799396
"Capital",2015,1881600,116,6.16496598639456
"Capital",2016,1938278,136,7.01653735944999
"Capital",2017,2073147,151,7.28361278770873
"Capital",2018,2035741,131,6.43500327399212
"Capital",2019,2094696,153,7.30416251331935
"Capital",2020,2130987,140,6.56972567171926
"Central Texas",2015,873923,70,8.00985899215377
"Central Texas",2016,808386,70,8.65922962545121
"Central Texas",2017,599008,52,8.68101928521823
"Central Texas",2018,835374,80,9.57654894693874
"Central Texas",2019,848758,82,9.66117550585679
"Central Texas",2020,836115,76,9.08965871919533
"Gulf Coast",2015,6545967,448,6.8439086234318
"Gulf Coast",2016,6686665,439,6.56530572415397
"Gulf Coast",2017,6693785,441,6.58820084600865
"Gulf Coast",2018,6850443,459,6.7002966085551
"Gulf Coast",2019,6937026,449,6.47251430223845
"Gulf Coast",2020,6853524,473,6.90155896441013
"High Plains",2015,549977,53,9.63676662842264
"High Plains",2016,555068,56,10.0888539782513
"High Plains",2017,559768,47,8.39633562475883
"High Plains",2018,562029,61,10.8535324689651
"High Plains",2019,565697,67,11.8437962372083
"High Plains",2020,562720,71,12.6172874609042
"Metroplex",2015,7063348,460,6.51249237613664
"Metroplex",2016,7165150,486,6.78283078511964
"Metroplex",2017,7308355,528,7.22460800002189
"Metroplex",2018,7581436,574,7.57112504807796
"Metroplex",2019,7639364,535,7.00320079001341
"Metroplex",2020,7544235,551,7.30359009230227
"Northwest",2015,267094,23,8.61120055111683
"Northwest",2016,267552,39,14.5766056691783
"Northwest",2017,268323,34,12.6712954163452
"Northwest",2018,269101,25,9.2901921583346
"Northwest",2019,138034,12,8.69351029456511
"Northwest",2020,137521,22,15.9975567367893
"South Texas",2015,1686738,68,4.03145005329814
"South Texas",2016,1631952,57,3.49274978675843
"South Texas",2017,1639711,74,4.51299039891786
"South Texas",2018,1646463,67,4.06932922270346
"South Texas",2019,1654164,96,5.8035358041887
"South Texas",2020,1944490,94,4.83417245653102
"Southeast",2015,342941,27,7.87307437722524
"Southeast",2016,340297,27,7.93424567363215
"Southeast",2017,341012,29,8.50409956247874
"Southeast",2018,451824,54,11.951556358228
"Southeast",2019,302918,36,11.8844043602559
"Southeast",2020,340255,26,7.64132782765867
"Upper East",2015,570300,88,15.4304751884973
"Upper East",2016,646151,77,11.9167191569772
"Upper East",2017,394310,59,14.9628464913393
"Upper East",2018,471841,67,14.1996986272918
"Upper East",2019,532678,80,15.0184539252607
"Upper East",2020,649943,94,14.4628067384371
"Upper Rio Grande",2015,831898,43,5.16890291838663
"Upper Rio Grande",2016,834949,45,5.38955073902717
"Upper Rio Grande",2017,837401,39,4.65726694857064
"Upper Rio Grande",2018,836825,47,5.61646700325636
"Upper Rio Grande",2019,839238,47,5.60031838405792
"Upper Rio Grande",2020,836915,43,5.13791723173799
"West Texas",2015,322231,26,8.06874571347884
"West Texas",2016,157858,12,7.60176867817912
"West Texas",2017,117566,17,14.4599629144481
"West Texas",2018,488404,63,12.8991572550593
"West Texas",2019,462255,43,9.30222496241252
"West Texas",2020,451950,50,11.063170704724
