"","County Code","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Anderson County, Texas","001",0.178876668335722,0.140894554299356,0.4387,0.261623511623512,0.128661878661879,0.0718200718200718,0.0315866565866566,0.00489037989037989,0.00474862974862975,0.124735729386892,0.0340112025029016,45847
"Andrews County, Texas","003",0.568607011576233,0.112208853074291,0.4589,0.261604532163743,0.0724597953216374,0.109100877192982,0.0263157894736842,0.00904605263157895,0.00484283625730994,0.0858559036997699,0.0392199349945829,75147
"Angelina County, Texas","005",0.222890529046477,0.173473015572041,0.4423,0.241021436918944,0.0665608484066212,0.12476670562174,0.0438331792572954,0.00757007552632956,0.00566883535957859,0.193318031114512,0.0669612074469444,49684
"Aransas County, Texas","007",0.279892650701899,0.228429807611527,0.5242,0.222109932064455,0.0690023019482342,0.157318511032508,0.0505867160743361,0.0143169951153781,0.00943237325248442,0.148129474639508,0.0932450846797742,47924
"Archer County, Texas","009",0.082133881654101,0.115888710048287,0.4681,0.315568475452196,0.0499031007751938,0.14405684754522,0.0518410852713178,0.0188953488372093,0.00823643410852713,0.0816965556504412,0.036766334440753,63958
"Armstrong County, Texas","011",0.0846153846153846,0.0726884019241048,0.358,0.217488789237668,0.0201793721973094,0.17339312406577,0.0732436472346786,0.00896860986547085,0.00149476831091181,0.025,0.00542888165038002,69386
"Atascosa County, Texas","013",0.647308443240228,0.110080620718919,0.4411,0.344783556524447,0.051946434132669,0.113702896293989,0.0304889442541264,0.00691373403924011,0.00202429149797571,0.135903278896063,0.072114936094785,59251
"Austin County, Texas","015",0.272280208751505,0.117150003379977,0.4275,0.298764342453663,0.0355987055016181,0.160341276846131,0.0493772678238698,0.0122585074041385,0.0075512405609493,0.0899818480421817,0.0558432934926959,64468
"Bailey County, Texas","017",0.657605552342394,0.113585075974124,0.4283,0.303186274509804,0.0985294117647059,0.116176470588235,0.0176470588235294,0.0174019607843137,0.0225490196078431,0.129377431906615,0.0303129074315515,55038
"Bandera County, Texas","019",0.192841458058849,0.138319856244385,0.4352,0.280339041292022,0.0386575797491553,0.15296947482962,0.048679915239677,0.0151766794570758,0.00738789301872745,0.0763481660342647,0.0711067580803134,60361
"Bastrop County, Texas","021",0.387913264777347,0.11271802755277,0.418,0.253382167391,0.052747791952895,0.145906350764054,0.0471926258236366,0.00879714005327352,0.0134585728305061,0.0855843808504948,0.0511963144598009,71820
"Baylor County, Texas","023",0.15252808988764,0.14824485059472,0.4516,0.316580925999209,0.0621290067273447,0.170953700039573,0.035615354174911,0.00316580925999209,0,0.101789019123998,0.0179880079946702,40946
"Bee County, Texas","025",0.592259805575148,0.193680042025296,0.4743,0.208899487087195,0.127013407720687,0.0561504544227481,0.0324844776388014,0.0137676594978854,0.00544407450733375,0.157312625014708,0.0833557407905351,45287
"Bell County, Texas","027",0.253373629463031,0.142063522135398,0.4406,0.209635140249024,0.0477372788274277,0.166808192499746,0.0632758923049943,0.0148786723646198,0.00836233074587191,0.136607632786468,0.0745995539657024,54987
