"","County Code","Population","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Anderson County, Texas","001",58133,0.182564120207111,0.153089143865843,0.4295,0.258973695963894,0.127806116452364,0.0822735713781999,0.0275733997790367,0.00693448673044827,0.00298535530429468,0.163804090550464,0.040241847556745,49736
"Andrews County, Texas","003",18184,0.573581170259569,0.122805080066262,0.4602,0.258187772925764,0.0548580786026201,0.139283114992722,0.0318413391557496,0.0101892285298399,0.00691411935953421,0.104582468465592,0.0291931487665625,80518
"Angelina County, Texas","005",86584,0.227466968493024,0.172872688351073,0.4306,0.249885284670502,0.0661819208640712,0.120309907874766,0.0475274434365183,0.00704175637993717,0.00554163284035156,0.188661680202883,0.0628024219086464,52377
"Aransas County, Texas","007",24149,0.285726117023479,0.225240758652593,0.5371,0.253204603720068,0.0764741177112311,0.165166639393444,0.057655593738068,0.0133093328969618,0.011563846615393,0.161882893226177,0.0815424784093191,51509
"Archer County, Texas","009",8616,0.0844939647168059,0.114993572513731,0.4721,0.329074012612015,0.0517756388981082,0.151676070361766,0.0506140059741122,0.0142714902090939,0.00796548290740126,0.0747552654998517,0.0324449594438007,67083
"Armstrong County, Texas","011",1980,0.0873737373737374,0.0384215991692627,0.3707,0.261302681992337,0.0114942528735632,0.178544061302682,0.0773946360153257,0.010727969348659,0,0.0155367231638418,0.010250569476082,71136
"Atascosa County, Texas","013",48684,0.653356338838222,0.125154220948955,0.4298,0.34852832135143,0.0491311776653019,0.112672877913537,0.0283052322769915,0.00548051194429221,0.0017731068055063,0.141078055223599,0.0631520119225037,63391
"Austin County, Texas","015",30132,0.278541085888756,0.0937384837012965,0.4222,0.296650485436893,0.0406796116504854,0.166893203883495,0.0477184466019417,0.0142718446601942,0.01,0.0922219407144667,0.0549334738506126,68400
"Bailey County, Texas","017",6968,0.66532721010333,0.109471820596046,0.4267,0.291685912240185,0.0503464203233256,0.101847575057737,0.0133949191685912,0.0203233256351039,0.0140877598152425,0.131659836065574,0.0231874591770085,64044
"Bandera County, Texas","019",20839,0.200489466865013,0.119933506087127,0.4381,0.247456349704811,0.039819118201231,0.171209647029268,0.0737972616505464,0.0177113427961311,0.0122472051249843,0.0685911964690445,0.0671022609417133,64495
