fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
48,5,722410,J,25,H,75,J,133,3,N,3,N,N,N,N,N,N,N,N,N,N,N
48,7,722410,J,38,G,149,H,481,6,N,5,N,N,N,N,N,N,N,N,N,N,N
48,19,722410,J,39,J,95,J,405,5,3,N,N,N,N,N,N,N,N,N,N,N,N
48,21,722410,J,73,H,144,G,342,5,N,N,N,N,N,N,N,N,N,N,N,N,N
48,25,722410,H,30,H,47,G,85,4,N,N,N,N,N,N,N,N,N,N,N,N,N
48,27,722410,H,323,G,823,G,2570,33,13,7,7,6,N,N,N,N,N,N,N,N,N
48,29,722410,G,3361,G,14015,G,38133,257,83,76,54,31,11,N,N,N,N,N,N,N,N
48,31,722410,J,13,H,42,H,150,3,N,N,N,N,N,N,N,N,N,N,N,N,N
48,37,722410,J,29,J,145,H,362,3,N,N,N,N,N,N,N,N,N,N,N,N,N
48,39,722410,G,191,G,724,G,2161,20,11,3,4,N,N,N,N,N,N,N,N,N,N
48,41,722410,G,554,G,1596,G,4626,35,5,6,15,8,N,N,N,N,N,N,N,N,N
48,43,722410,H,47,G,192,H,462,5,N,3,N,N,N,N,N,N,N,N,N,N,N
48,51,722410,J,10,G,19,J,132,4,4,N,N,N,N,N,N,N,N,N,N,N,N
48,61,722410,G,370,G,1403,G,4090,40,13,12,13,N,N,N,N,N,N,N,N,N,N
48,85,722410,G,496,G,3047,G,10010,29,4,3,13,8,N,N,N,N,N,N,N,N,N
48,89,722410,J,13,J,57,J,211,3,N,N,N,N,N,N,N,N,N,N,N,N,N
48,91,722410,H,333,G,2252,G,6652,37,13,13,7,3,N,N,N,N,N,N,N,N,N
48,99,722410,J,11,H,34,H,88,3,N,N,N,N,N,N,N,N,N,N,N,N,N
48,113,722410,G,4526,G,23551,G,64978,228,57,45,58,45,16,7,N,N,N,N,N,N,N
48,121,722410,G,793,G,3410,G,10708,59,20,8,18,11,N,N,N,N,N,N,N,N,N
48,135,722410,H,281,H,1312,H,3970,19,5,4,5,4,N,N,N,N,N,N,N,N,N
48,139,722410,J,13,H,69,G,154,4,N,N,N,N,N,N,N,N,N,N,N,N,N
48,141,722410,G,1418,G,5017,G,13045,125,37,36,31,19,N,N,N,N,N,N,N,N,N
48,143,722410,H,34,G,101,H,362,6,3,N,N,N,N,N,N,N,N,N,N,N,N
48,149,722410,G,40,G,101,G,414,7,3,3,N,N,N,N,N,N,N,N,N,N,N
48,157,722410,H,436,G,2016,G,5952,35,15,9,5,5,N,N,N,N,N,N,N,N,N
48,167,722410,G,689,G,3426,G,13111,67,31,21,6,6,3,N,N,N,N,N,N,N,N
48,171,722410,J,101,H,544,H,2230,12,4,3,5,N,N,N,N,N,N,N,N,N,N
