County, Economic.Region
Anderson, Upper East
Andrews, West Texas
Angelina, Southeast
Aransas, South Texas
Archer, Northwest
Armstrong, High Plains
Atascosa, Alamo
Austin, Gulf Coast
Bailey, High Plains
Bandera, Alamo
Bastrop, Capital 
Baylor, Northwest
Bee, South Texas
Bell, Central Texas
Bexar, Alamo
Blanco, Capital 
Borden, West Texas
Bosque, Central Texas
Bowie, Upper East
Brazoria, Gulf Coast
Brazos, Central Texas
Brewster, Upper Rio Grande
Briscoe, High Plains
Brooks, South Texas
Brown, Northwest
Burleson, Central Texas
Burnet, Capital 
Caldwell, Capital 
Calhoun, Alamo
Callahan, Northwest
Cameron, South Texas
Camp, Upper East
Carson, High Plains
Cass, Upper East
Castro, High Plains
Chambers, Gulf Coast
Cherokee, Upper East
Childress, High Plains
Clay, Northwest
Cochran, High Plains
Coke, West Texas
Coleman, Northwest
Collin, Metroplex
Collingsworth, High Plains
Colorado, Gulf Coast
Comal, Alamo
Comanche, Northwest
Concho, West Texas
Cooke, Metroplex
Coryell, Central Texas
Cottle, Northwest
Crane, West Texas
Crockett, West Texas
Crosby, High Plains
Culberson, Upper Rio Grande
Dallam, High Plains
Dallas, Metroplex
Dawson, West Texas
Deaf Smith, High Plains
Delta, Upper East
Denton, Metroplex
DeWitt, Alamo
Dickens, High Plains
Dimmit, South Texas
Donley, High Plains
Duval, South Texas
Eastland, Northwest
Ector, West Texas
Edwards, South Texas
Ellis, Metroplex
El Paso, Upper Rio Grande
Erath, Metroplex
Falls, Central Texas
Fannin, Metroplex
Fayette, Capital 
Fisher, Northwest
Floyd, High Plains
Foard, Northwest
Fort Bend, Gulf Coast
Franklin, Upper East
Freestone, Central Texas
Frio, Alamo
Gaines, West Texas
Galveston, Gulf Coast
Garza, High Plains
Gillespie, Alamo
Glasscock, West Texas
Goliad, Alamo
Gonzales, Alamo
Gray, High Plains
Grayson, Metroplex
Gregg, Upper East
Grimes, Central Texas
Guadalupe, Alamo
Hale, High Plains
Hall, High Plains
Hamilton, Central Texas
Hansford, High Plains
Hardeman, Northwest
Hardin, Southeast
Harris, Gulf Coast
Harrison, Upper East
Hartley, High Plains
Haskell, Northwest
Hays, Capital 
Hemphill, High Plains
Henderson, Upper East
Hidalgo, South Texas
Hill, Central Texas
Hockley, High Plains
Hood, Metroplex
Hopkins, Upper East
Houston, Southeast
Howard, West Texas
Hudspeth, Upper Rio Grande
Hunt, Metroplex
Hutchinson, High Plains
Irion, West Texas
Jack, Northwest
Jackson, Alamo
Jasper, Southeast
Jeff Davis, Upper Rio Grande
Jefferson, Southeast
Jim Hogg, South Texas
Jim Wells, South Texas
Johnson, Metroplex
Jones, Northwest
Karnes, Alamo
Kaufman, Metroplex
Kendall, Alamo
Kenedy, South Texas
Kent, Northwest
Kerr, Alamo
Kimble, West Texas
King, High Plains
Kinney, South Texas
Kleberg, South Texas
Knox, Northwest
Lamar, Upper East
Lamb, High Plains
Lampasas, Central Texas
La Salle, South Texas
Lavaca, Alamo
Lee, Capital 
Leon, Central Texas
Liberty, Gulf Coast
Limestone, Central Texas
Lipscomb, High Plains
Live Oak, South Texas
Llano, Capital 
Loving, West Texas
Lubbock, High Plains
Lynn, High Plains
McCulloch, West Texas
McLennan, Central Texas
McMullen, South Texas
Madison, Central Texas
Marion, Upper East
Martin, West Texas
Mason, West Texas
Matagorda, Gulf Coast
Maverick, South Texas
Medina, Alamo
Menard, West Texas
Midland, West Texas
Milam, Central Texas
Mills, Central Texas
Mitchell, Northwest
Montague, Northwest
Montgomery, Gulf Coast
Moore, High Plains
Morris, Upper East
Motley, High Plains
Nacogdoches, Southeast
Navarro, Metroplex
Newton, Southeast
Nolan, Northwest
Nueces, South Texas
Ochiltree, High Plains
Oldham, High Plains
Orange, Southeast
Palo Pinto, Metroplex
Panola, Upper East
Parker, Metroplex
Parmer, High Plains
Pecos, West Texas
Polk, Southeast
Potter, High Plains
Presidio, Upper Rio Grande
Rains, Upper East
Randall, High Plains
Reagan, West Texas
Real, South Texas
Red River, Upper East
Reeves, West Texas
Refugio, South Texas
Roberts, High Plains
Robertson, Central Texas
Rockwall, Metroplex
Runnels, Northwest
Rusk, Upper East
Sabine, Southeast
San Augustine, Southeast
San Jacinto, Southeast
San Patricio, South Texas
San Saba, Central Texas
Schleicher, West Texas
Scurry, Northwest
Shackelford, Northwest
Shelby, Southeast
Sherman, High Plains
Smith, Upper East
Somervell, Metroplex
Starr, South Texas
Stephens, Northwest
Sterling, West Texas
Stonewall, Northwest
Sutton, West Texas
Swisher, High Plains
Tarrant, Metroplex
Taylor, Northwest
Terrell, West Texas
Terry, High Plains
Throckmorton, Northwest
Titus, Upper East
Tom Green, West Texas
Travis, Capital 
Trinity, Southeast
Tyler, Southeast
Upshur, Upper East
Upton, West Texas
Uvalde, South Texas
Val Verde, South Texas
Van Zandt, Upper East
Victoria, Alamo
Walker, Gulf Coast
Waller, Gulf Coast
Ward, West Texas
Washington, Central Texas
Webb, South Texas
Wharton, Gulf Coast
Wheeler, High Plains
Wichita, Northwest
Wilbarger, Northwest
Willacy, South Texas
Williamson, Capital 
Wilson, Alamo
Winkler, West Texas
Wise, Metroplex
Wood, Upper East
Yoakum, High Plains
Young, Northwest
Zapata, South Texas
Zavala, South Texas
</select>
