County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",17,57805,29.41,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Andrews County, TX",3,18879,15.89,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Angelina County, TX",32,86796,36.87,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Aransas County, TX",6,23814,25.20,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Archer County, TX",0,8730,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Armstrong County, TX",0,1869,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Atascosa County, TX",12,51724,23.20,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Austin County, TX",11,29972,36.70,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bailey County, TX",2,6697,29.86,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bandera County, TX",7,23861,29.34,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bastrop County, TX",23,91601,25.11,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Baylor County, TX",1,3518,28.43,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bee County, TX",4,32513,12.30,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bell County, TX",192,369927,51.90,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bexar County, TX",1546,2026823,76.28,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Blanco County, TX",6,12269,48.90,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Borden County, TX",0,706,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bosque County, TX",5,18603,26.88,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Bowie County, TX",53,93481,56.70,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Brazoria County, TX",194,380518,50.98,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Brazos County, TX",97,232555,41.71,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Brewster County, TX",3,9237,32.48,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Briscoe County, TX",0,1487,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Brooks County, TX",1,6964,14.36,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Brown County, TX",10,37633,26.57,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Burleson County, TX",1,18514,5.40,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Burnet County, TX",31,49653,62.43,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Caldwell County, TX",8,43979,18.19,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Calhoun County, TX",5,21001,23.81,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Callahan County, TX",0,14110,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Cameron County, TX",104,424180,24.52,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Camp County, TX",3,13060,22.97,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Carson County, TX",0,5854,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Cass County, TX",7,29879,23.43,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Castro County, TX",0,7396,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Chambers County, TX",5,45590,10.97,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Cherokee County, TX",16,52875,30.26,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Childress County, TX",2,7143,28.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Clay County, TX",1,10550,9.48,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Cochran County, TX",0,2897,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Coke County, TX",0,3323,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Coleman County, TX",2,8100,24.69,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Collin County, TX",919,1072069,85.72,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Collingsworth County, TX",1,2877,34.76,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Colorado County, TX",5,21610,23.14,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Comal County, TX",119,164812,72.20,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Comanche County, TX",3,13750,21.82,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Concho County, TX",1,2827,35.37,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Cooke County, TX",16,41393,38.65,ADA Masterfile 2019; Census County Pop. Estimates 2020
