Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,148999481R,Aldine,Geographic HPSA,Texas,"Harris County, TX",2.22,14,NA,Withdrawn,Non-Rural,3/29/00,7/1/18
Primary Care,14899948K1,Anderson County North,Geographic HPSA,Texas,"Anderson County, TX",0.99,10,NA,Withdrawn,Rural,9/15/09,6/24/14
Primary Care,148999483N,Baytown Service Area,Geographic HPSA,Texas,"Harris County, TX",0,0,NA,Withdrawn,Non-Rural,3/4/02,11/2/11
Primary Care,1489994801,Beaumont Inner City,Geographic HPSA,Texas,"Jefferson County, TX",0,0,NA,Withdrawn,Non-Rural,7/9/79,5/29/97
Primary Care,148035,Bosque County,Geographic HPSA,Texas,"Bosque County, TX",0.22,11,NA,Withdrawn,Rural,7/10/03,7/1/18
Primary Care,148999484B,Buna Service Area,Geographic HPSA,Texas,"Jasper County, TX",0.3,0,NA,Withdrawn,Rural,5/27/02,3/23/10
Primary Care,148061,Cameron,Geographic HPSA,Texas,"Cameron County, TX",,0,NA,Withdrawn,Partially Rural,6/6/79,8/31/10
Primary Care,1489994882,Casa de Amigos,Geographic HPSA,Texas,"Harris County, TX",-60.85,0,NA,Withdrawn,Non-Rural,6/22/94,11/2/11
Primary Care,1489994809,Cedar Creek,Geographic HPSA,Texas,"Henderson County, TX",,0,NA,Withdrawn,Rural,11/28/78,3/27/84
Primary Care,148077,Clay County,Geographic HPSA,Texas,"Clay County, TX",0.11,7,NA,Withdrawn,Rural,12/15/13,7/1/18
Primary Care,148079,Cochran,Geographic HPSA,Texas,"Cochran County, TX",0,0,NA,Withdrawn,Rural,3/30/93,11/2/11
Primary Care,148085,Collin,Geographic HPSA,Texas,"Collin County, TX",,0,NA,Withdrawn,Non-Rural,6/11/78,3/27/84
Primary Care,148087,Collingsworth,Geographic HPSA,Texas,"Collingsworth County, TX",0.9,0,NA,Withdrawn,Rural,9/29/86,12/15/11
Primary Care,148095,Concho,Geographic HPSA,Texas,"Concho County, TX",0,0,NA,Withdrawn,Rural,9/27/01,11/2/11
Primary Care,148097,Cooke,Geographic HPSA,Texas,"Cooke County, TX",,0,NA,Withdrawn,Rural,6/11/78,3/27/84
Primary Care,148103,Crane County,Geographic HPSA,Texas,"Crane County, TX",0.79,15,NA,Withdrawn,Rural,10/20/80,7/1/18
Primary Care,1482680682,Culberson and Hudspeth Counties,Geographic HPSA,Texas,"Culberson County, TX | Hudspeth County, TX",0.77,20,NA,Withdrawn,Rural,11/12/13,7/6/21
Primary Care,148111,Dallam,Geographic HPSA,Texas,"Dallam County, TX",1.79,0,NA,Withdrawn,Rural,8/30/88,5/28/12
Primary Care,1489994807,Dekalb,Geographic HPSA,Texas,"Bowie County, TX | Red River County, TX",0,0,NA,Withdrawn,Partially Rural,4/11/79,9/14/00
Primary Care,1489994873,Diamond Hill,Geographic HPSA,Texas,"Tarrant County, TX",0,0,NA,Withdrawn,Non-Rural,7/26/93,11/2/11
Primary Care,1489994895,Dove Springs,Geographic HPSA,Texas,"Travis County, TX",3.65,0,NA,Withdrawn,Non-Rural,3/16/95,6/28/12
Primary Care,1489994811,East Austin,Geographic HPSA,Texas,"Henderson County, TX | Travis County, TX",7.7,0,NA,Withdrawn,Partially Rural,8/9/79,6/28/12
Primary Care,148999481T,East Central Houston,Geographic HPSA,Texas,"Harris County, TX",6.59,15,NA,Withdrawn,Non-Rural,6/14/00,7/1/18
Primary Care,1489994828,East Lubbock Service Area,Geographic HPSA,Texas,"Lubbock County, TX",2.64,14,NA,Withdrawn,Non-Rural,6/11/80,7/1/18
Primary Care,148999483T,East Service Area,Geographic HPSA,Texas,"Montgomery County, TX",,0,NA,Withdrawn,Non-Rural,3/14/02,1/28/08
Primary Care,14899948P8,East Service Area,Geographic HPSA,Texas,"Montgomery County, TX",1.86,7,NA,Withdrawn,Non-Rural,5/28/12,7/1/18
Primary Care,14899948OP,El Paso North,Geographic HPSA,Texas,"El Paso County, TX",8.46,16,NA,Withdrawn,Non-Rural,11/11/10,12/22/13
Primary Care,148139,Ellis,Geographic HPSA,Texas,"Ellis County, TX",,0,NA,Withdrawn,Partially Rural,6/11/78,3/27/84
Primary Care,1489994819,Fair Park,Geographic HPSA,Texas,"Dallas County, TX | Presidio County, TX",,0,NA,Withdrawn,Partially Rural,8/27/78,3/14/88
Primary Care,148147,Fannin County,Geographic HPSA,Texas,"Fannin County, TX",1.06,9,NA,Withdrawn,Rural,1/30/99,7/1/18
Primary Care,1482899425,Far Northern El Paso,Geographic HPSA,Texas,"El Paso County, TX",2.36,7,NA,Withdrawn,Non-Rural,9/9/01,7/6/21
Primary Care,148151,Fisher County,Geographic HPSA,Texas,"Fisher County, TX",0.15,11,NA,Withdrawn,Rural,9/29/92,6/26/13
Primary Care,148153,Floyd,Geographic HPSA,Texas,"Floyd County, TX",,0,NA,Withdrawn,Rural,5/30/78,10/1/95
Primary Care,148165,Gaines County,Geographic HPSA,Texas,"Gaines County, TX",0.25,11,NA,Withdrawn,Rural,3/27/84,7/1/18
Primary Care,1481172582,Goliad County,Geographic HPSA,Texas,"Goliad County, TX",1.06,12,NA,Withdrawn,Rural,4/17/85,6/14/20
Primary Care,148177,Gonzales County,Geographic HPSA,Texas,"Gonzales County, TX",0.57,8,NA,Withdrawn,Rural,9/13/09,6/26/13
Primary Care,14899948P9,Grand Prairie,Geographic HPSA,Texas,"Dallas County, TX",3.82,11,NA,Withdrawn,Non-Rural,5/31/12,7/1/18
Primary Care,148179,Gray County,Geographic HPSA,Texas,"Gray County, TX",0.7,12,NA,Withdrawn,Rural,3/23/11,7/1/18
Primary Care,148187,Guadalupe County,Geographic HPSA,Texas,"Guadalupe County, TX",0,4,NA,Withdrawn,Partially Rural,8/30/88,6/24/14
Primary Care,148193,Hamilton,Geographic HPSA,Texas,"Hamilton County, TX",,0,NA,Withdrawn,Rural,8/30/88,1/20/94
Primary Care,148195,Hansford County,Geographic HPSA,Texas,"Hansford County, TX",1.01,13,NA,Withdrawn,Rural,2/15/95,7/1/18
Primary Care,1481787514,Harrison County,Geographic HPSA,Texas,"Harrison County, TX",6.65,10,NA,Withdrawn,Partially Rural,12/7/16,6/14/20
Primary Care,148205,Hartley,Geographic HPSA,Texas,"Hartley County, TX",0,0,NA,Withdrawn,Rural,8/30/88,11/2/11
Primary Care,148207,Haskell County,Geographic HPSA,Texas,"Haskell County, TX",0.52,15,NA,Withdrawn,Rural,2/21/11,7/1/18
Primary Care,1489994812,Hawkins,Geographic HPSA,Texas,"Smith County, TX | Upshur County, TX | Wood County, TX",,0,NA,Withdrawn,Partially Rural,8/14/79,3/27/84
Primary Care,148215,Hidalgo,Geographic HPSA,Texas,"Hidalgo County, TX",0,0,NA,Withdrawn,Partially Rural,6/6/79,11/2/11
Primary Care,1489994813,Highland Bayou,Geographic HPSA,Texas,"Smith County, TX",,0,NA,Withdrawn,Non-Rural,9/27/79,11/29/84
Primary Care,148219,Hockley,Geographic HPSA,Texas,"Hockley County, TX",0,0,NA,Withdrawn,Rural,8/3/81,11/2/11
Primary Care,148233,Hutchinson County,Geographic HPSA,Texas,"Hutchinson County, TX",0,2,NA,Withdrawn,Rural,4/5/09,6/24/14
Primary Care,1486986748,Jack County,Geographic HPSA,Texas,"Jack County, TX",0.71,12,NA,Withdrawn,Rural,6/4/17,7/6/21
Primary Care,148241,Jasper County,Geographic HPSA,Texas,"Jasper County, TX",0,2,NA,Withdrawn,Rural,3/23/10,6/24/14
Primary Care,1489994818,Jeff Davis/Marfa,Geographic HPSA,Texas,"Presidio County, TX",0,0,NA,Withdrawn,Rural,6/13/78,9/14/00
Primary Care,148251,Johnson,Geographic HPSA,Texas,"Johnson County, TX",-10.09,0,NA,Withdrawn,Partially Rural,12/29/94,11/2/11
Primary Care,148267,Kimble County,Geographic HPSA,Texas,"Kimble County, TX",0.3,12,NA,Withdrawn,Rural,8/31/10,6/24/14
Primary Care,148273,Kleberg,Geographic HPSA,Texas,"Kleberg County, TX",,0,NA,Withdrawn,Rural,9/27/79,3/27/84
Primary Care,148275,Knox,Geographic HPSA,Texas,"Knox County, TX",0,0,NA,Withdrawn,Rural,3/15/89,2/19/02
Primary Care,148281,Lampasas County,Geographic HPSA,Texas,"Lampasas County, TX",0.37,9,NA,Withdrawn,Partially Rural,10/18/82,7/1/18
