State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Anderson,4,53,0,6,3,41,3,47,2,34,7,100
Texas - Andrews,1,43,1,40,1,17,2,57,0,3,3,100
Texas - Angelina,6,56,1,13,3,31,4,44,2,19,10,100
Texas - Aransas,1,70,0,10,0,20,0,30,0,20,1,100
Texas - Archer,3,83,0,3,1,15,1,18,0,8,4,100
Texas - Armstrong,1,50,0,0,1,50,1,50,0,40,1,100
Texas - Atascosa,5,59,1,13,3,28,4,41,2,27,9,100
Texas - Austin,6,69,0,3,3,28,3,31,2,22,9,100
Texas - Bailey,0,0,0,0,2,100,2,100,0,0,2,100
Texas - Bandera,3,58,1,20,1,22,2,42,0,8,5,100
Texas - Bastrop,14,60,1,4,9,36,10,40,7,28,24,100
Texas - Baylor,2,50,0,7,1,43,2,50,1,30,3,100
Texas - Bee,3,66,0,2,2,32,2,34,1,28,5,100
Texas - Bell,26,53,3,6,20,41,22,47,15,31,48,100
Texas - Bexar,98,54,11,6,73,40,83,46,51,28,182,100
Texas - Blanco,1,18,0,0,3,83,3,83,2,53,4,100
Texas - Borden,2,80,0,0,0,20,0,20,0,20,2,100
Texas - Bosque,2,37,0,5,4,58,4,63,2,30,6,100
Texas - Bowie,10,61,2,14,4,26,6,39,4,24,16,100
Texas - Brazoria,25,60,2,5,14,35,16,40,10,23,41,100
Texas - Brazos,10,53,2,12,6,35,8,47,3,18,18,100
Texas - Brewster,1,50,0,15,1,35,1,50,1,35,2,100
Texas - Brooks,2,48,0,3,2,50,2,53,1,23,4,100
Texas - Brown,4,56,0,0,3,44,3,44,2,23,7,100
Texas - Burleson,3,50,0,0,3,50,3,50,2,30,6,100
Texas - Burnet,5,53,0,4,4,42,4,47,3,31,9,100
Texas - Caldwell,7,56,0,2,6,42,6,44,4,32,13,100
Texas - Calhoun,2,48,0,5,2,48,2,53,1,13,4,100
Texas - Callahan,4,73,0,3,1,23,2,27,1,22,6,100
Texas - Cameron,11,46,2,7,11,47,12,54,6,24,23,100
Texas - Camp,3,56,0,4,2,40,2,44,1,18,5,100
Texas - Carson,3,36,0,2,6,62,6,64,3,34,9,100
Texas - Cass,8,58,2,18,3,25,6,42,3,20,13,100
Texas - Castro,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Chambers,4,54,1,16,2,30,4,46,2,24,8,100
Texas - Cherokee,6,48,0,1,6,51,6,52,4,35,12,100
Texas - Childress,1,70,0,0,0,30,0,30,0,20,1,100
Texas - Clay,4,72,0,4,1,24,1,28,1,16,5,100
Texas - Coke,1,80,0,0,0,20,0,20,0,0,1,100
Texas - Coleman,2,77,0,0,1,23,1,23,0,13,3,100
Texas - Collin,29,51,4,8,23,41,28,49,12,22,57,100
Texas - Colorado,6,71,0,2,2,27,3,29,1,13,9,100
Texas - Comal,12,62,1,5,7,34,8,38,5,27,20,100
Texas - Comanche,2,80,0,0,0,20,0,20,0,15,2,100
Texas - Concho,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Cooke,3,62,1,20,1,18,2,38,1,14,5,100
Texas - Coryell,8,58,0,2,5,41,6,42,4,32,13,100
Texas - Crane,2,100,0,0,0,0,0,0,0,0,2,100
Texas - Crockett,6,73,1,13,1,15,2,28,1,11,8,100
Texas - Crosby,0,30,0,10,1,60,1,70,0,30,1,100
Texas - Culberson,1,27,0,7,2,67,2,73,2,57,3,100
Texas - Dallam,2,77,0,7,1,17,1,23,0,13,3,100
Texas - Dallas,164,54,18,6,124,41,141,46,84,28,305,100
Texas - Dawson,1,45,0,5,1,50,1,55,1,40,2,100
Texas - Deaf Smith,2,73,0,3,1,23,1,27,0,10,3,100
Texas - Denton,33,59,3,5,20,36,22,41,10,18,55,100
Texas - DeWitt,3,73,0,3,1,25,1,28,1,13,4,100
Texas - Dickens,1,70,0,0,0,30,0,30,0,20,1,100
Texas - Dimmit,3,57,0,2,3,42,3,43,2,32,6,100
Texas - Donley,1,60,0,5,1,35,1,40,1,30,2,100
Texas - Duval,1,70,0,0,0,30,0,30,0,20,1,100
Texas - Eastland,5,53,0,0,5,47,5,47,4,35,10,100
Texas - Ector,21,42,1,2,29,56,30,58,25,48,51,100
Texas - Ellis,22,52,2,5,19,43,21,48,13,30,43,100
Texas - El Paso,36,53,6,8,26,38,32,46,17,25,69,100
Texas - Erath,4,46,0,3,4,51,4,54,3,36,8,100
Texas - Falls,1,17,0,3,5,80,5,83,3,42,6,100
Texas - Fannin,6,69,0,3,3,28,3,31,2,20,9,100
Texas - Fayette,10,80,0,3,2,18,2,20,2,14,12,100
Texas - Fisher,0,20,0,0,1,80,1,80,0,30,1,100
Texas - Floyd,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Fort Bend,15,51,1,4,14,45,15,49,11,36,30,100
Texas - Franklin,1,65,0,0,1,35,1,35,0,15,2,100
Texas - Freestone,8,71,0,2,3,27,3,29,2,21,11,100
Texas - Frio,5,75,0,5,1,20,2,25,1,12,6,100
Texas - Gaines,5,56,0,1,3,43,4,44,2,29,8,100
Texas - Galveston,21,54,4,10,14,36,17,46,9,23,38,100
Texas - Garza,1,70,0,0,1,30,1,30,0,20,2,100
Texas - Gillespie,5,92,0,0,0,8,0,8,0,8,5,100
Texas - Glasscock,1,80,0,0,0,20,0,20,0,20,1,100
Texas - Goliad,3,65,0,0,1,35,1,35,1,28,4,100
Texas - Gonzales,7,61,1,5,4,34,4,39,3,30,11,100
Texas - Gray,4,84,0,0,1,16,1,16,1,14,5,100
Texas - Grayson,15,66,2,7,6,26,7,34,4,18,22,100
Texas - Gregg,16,64,2,8,7,27,9,36,5,19,25,100
Texas - Grimes,6,62,1,6,3,32,3,38,2,18,9,100
Texas - Guadalupe,6,46,2,16,5,39,8,54,4,30,14,100
Texas - Hale,4,88,0,3,0,10,1,13,0,5,4,100
Texas - Hall,1,50,0,5,1,45,1,50,1,35,2,100
Texas - Hamilton,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Hardeman,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Hardin,7,71,0,2,3,27,3,29,2,16,10,100
Texas - Harris,251,55,31,7,173,38,204,45,115,25,457,100
Texas - Harrison,10,49,2,8,9,43,11,51,7,32,21,100
Texas - Hartley,1,47,0,10,1,43,2,53,1,30,3,100
Texas - Haskell,1,30,0,3,2,67,2,70,2,67,3,100
Texas - Hays,16,55,1,3,12,42,13,45,8,26,29,100
Texas - Henderson,6,37,1,7,8,56,9,63,4,29,15,100
Texas - Hidalgo,27,62,1,2,16,37,17,38,10,22,43,100
Texas - Hill,5,42,3,19,5,39,8,58,3,20,13,100
Texas - Hockley,3,90,0,0,0,10,0,10,0,7,3,100
Texas - Hood,6,66,0,3,3,31,3,34,2,21,9,100
