County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Anderson,Total,Infants and fetuses with regular reportable birth defects,2017,38,652.92,462.05,896.19
Andrews,Total,Infants and fetuses with regular reportable birth defects,2017,12,436.36,225.48,762.24
Angelina,Total,Infants and fetuses with regular reportable birth defects,2017,50,455.79,338.29,600.9
Aransas,Total,Infants and fetuses with regular reportable birth defects,2017,10,438.6,210.32,806.59
Archer,Total,Infants and fetuses with regular reportable birth defects,2017,---,---,---,---
Armstrong,Total,Infants and fetuses with regular reportable birth defects,2017,---,---,---,---
Atascosa,Total,Infants and fetuses with regular reportable birth defects,2017,49,682.45,504.88,902.24
Austin,Total,Infants and fetuses with regular reportable birth defects,2017,17,523.08,304.71,837.5
Bailey,Total,Infants and fetuses with regular reportable birth defects,2017,9,681.82,311.77,"1,294.30"
Bandera,Total,Infants and fetuses with regular reportable birth defects,2017,9,468.75,214.34,889.83
Bastrop,Total,Infants and fetuses with regular reportable birth defects,2017,69,632.45,492.08,800.4
Baylor,Total,Infants and fetuses with regular reportable birth defects,2017,0,0,0,"1,117.84"
Bee,Total,Infants and fetuses with regular reportable birth defects,2017,21,619.47,383.46,946.92
Bell,Total,Infants and fetuses with regular reportable birth defects,2017,391,656.04,591.01,721.07
Bexar,Total,Infants and fetuses with regular reportable birth defects,2017,"1,814",672.7,641.74,703.66
Blanco,Total,Infants and fetuses with regular reportable birth defects,2017,---,---,---,---
Borden,Total,Infants and fetuses with regular reportable birth defects,2017,0,---,---,---
Bosque,Total,Infants and fetuses with regular reportable birth defects,2017,14,710.66,388.52,"1,192.37"
Bowie,Total,Infants and fetuses with regular reportable birth defects,2017,69,604.73,470.52,765.33
Brazoria,Total,Infants and fetuses with regular reportable birth defects,2017,265,573.47,504.42,642.52
Brazos,Total,Infants and fetuses with regular reportable birth defects,2017,134,497.96,413.64,582.27
Brewster,Total,Infants and fetuses with regular reportable birth defects,2017,---,---,---,---
Briscoe,Total,Infants and fetuses with regular reportable birth defects,2017,0,---,0,"3,353.53"
Brooks,Total,Infants and fetuses with regular reportable birth defects,2017,11,"1,100.00",549.12,"1,968.20"
Brown,Total,Infants and fetuses with regular reportable birth defects,2017,14,358.06,195.75,600.76
Burleson,Total,Infants and fetuses with regular reportable birth defects,2017,11,518.87,259.02,928.4
Burnet,Total,Infants and fetuses with regular reportable birth defects,2017,23,518.02,328.38,777.28
Caldwell,Total,Infants and fetuses with regular reportable birth defects,2017,38,697.25,493.41,957.03
Calhoun,Total,Infants and fetuses with regular reportable birth defects,2017,12,452.83,233.98,791
Callahan,Total,Infants and fetuses with regular reportable birth defects,2017,9,548.78,250.94,"1,041.76"
Cameron,Total,Infants and fetuses with regular reportable birth defects,2017,358,570.43,511.34,629.52
Camp,Total,Infants and fetuses with regular reportable birth defects,2017,8,451.98,195.13,890.58
Carson,Total,Infants and fetuses with regular reportable birth defects,2017,---,---,---,---
Cass,Total,Infants and fetuses with regular reportable birth defects,2017,16,535.12,305.87,869
Castro,Total,Infants and fetuses with regular reportable birth defects,2017,6,588.24,215.87,"1,280.34"
Chambers,Total,Infants and fetuses with regular reportable birth defects,2017,42,767.82,553.38,"1,037.88"
