County,2015,2016,2017,2018,2019,2020
ANDERSON,*,0,*,0,0,0
ANGELINA,*,*,*,0,*,*
ARANSAS,0,*,0,*,*,0
ARCHER,0,*,0,0,0,*
ATASCOSA,0,*,0,0,0,0
AUSTIN,0,0,0,*,0,*
BANDERA,0,0,*,0,0,0
BASTROP,0,0,0,*,*,0
BEE,0,0,*,0,0,0
BELL,*,0,*,*,*,*
BEXAR,12,14,12,11,10,21
BOSQUE,0,0,*,0,0,0
BOWIE,*,*,0,0,*,0
BRAZORIA,*,*,*,*,*,13
BRAZOS,*,*,*,*,*,*
BROWN,0,0,0,*,*,0
BURNET,0,*,0,0,*,*
CALDWELL,0,*,0,*,0,0
CAMERON,0,*,0,0,*,*
CAMP,0,0,0,*,0,0
CASS,0,0,*,*,0,0
CHAMBERS,0,*,*,0,*,*
CHEROKEE,*,0,*,*,0,0
CLAY,0,*,0,0,0,0
COCHRAN,0,0,0,*,0,0
COLLIN,*,10,*,*,*,*
COLORADO,0,0,0,0,*,0
COMAL,*,0,*,0,*,*
COMANCHE,0,0,0,0,*,0
COOKE,0,0,*,*,*,0
CORYELL,0,0,*,*,*,0
CRANE,0,*,0,0,0,0
DALLAS,22,52,49,36,23,52
DENTON,*,11,*,*,*,11
DEWITT,0,*,0,0,0,0
DIMMIT,0,0,0,0,0,*
ECTOR,0,0,*,*,*,*
ELLIS,*,*,*,*,*,*
EL PASO,*,10,*,14,15,14
FALLS,0,0,0,0,*,0
FANNIN,0,0,0,0,*,0
FAYETTE,0,0,*,*,0,0
FORT BEND,0,13,10,*,11,20
FRANKLIN,*,0,0,0,0,0
FRIO,0,0,*,0,0,0
GALVESTON,*,12,*,*,10,19
GILLESPIE,0,0,0,0,0,*
GRAY,0,0,0,0,0,*
GRAYSON,0,0,*,*,*,*
GREGG,0,0,0,0,*,*
GRIMES,0,0,0,0,*,*
GUADALUPE,0,0,*,*,*,*
HARDIN,*,0,*,*,*,0
HARRIS,140,137,142,131,143,269
HARRISON,*,0,*,0,*,0
HAYS,*,*,*,*,0,0
HENDERSON,*,0,*,*,*,*
HIDALGO,*,*,*,*,0,*
HILL,*,0,0,0,0,*
HOCKLEY,0,0,0,*,0,*
HOOD,0,0,*,0,*,*
HOWARD,0,0,0,*,0,0
HUNT,0,0,*,*,*,*
HUTCHINSON,0,0,0,0,0,*
JACK,0,0,*,0,0,0
JACKSON,*,*,0,0,0,0
JASPER,0,*,0,*,0,0
JEFFERSON,*,*,*,*,*,*
JOHNSON,*,*,*,*,*,*
KAUFMAN,*,*,*,*,*,*
KERR,0,0,0,*,*,*
LAMAR,*,*,*,0,*,0
LAMB,0,0,*,0,0,0
LEON,0,0,0,0,0,*
LIBERTY,*,*,*,*,*,*
LUBBOCK,*,*,*,*,*,0
MCLENNAN,*,*,*,*,*,*
MADISON,0,0,*,0,0,0
MARION,0,0,*,0,0,*
MATAGORDA,0,*,0,0,*,*
MIDLAND,0,*,*,0,0,*
MILAM,*,0,0,0,0,0
MITCHELL,0,0,*,0,0,0
MONTAGUE,*,0,*,*,0,0
MONTGOMERY,*,26,38,18,21,38
MOORE,0,0,0,*,0,0
MORRIS,0,0,0,0,0,*
NACOGDOCHES,0,0,0,*,0,0
NAVARRO,0,0,0,0,*,0
NOLAN,0,0,0,*,0,0
NUECES,*,*,*,*,*,*
ORANGE,*,0,*,0,*,*
PALO PINTO,*,0,0,*,0,*
PANOLA,*,*,0,0,0,0
PARKER,*,0,*,*,*,0
POLK,0,*,0,*,0,*
POTTER,*,*,*,*,*,0
RANDALL,0,*,*,*,*,*
RED RIVER,0,0,0,0,0,*
REFUGIO,0,0,0,*,0,0
ROBERTSON,0,0,*,0,0,0
ROCKWALL,0,0,*,*,*,0
RUSK,0,0,0,0,*,0
SABINE,0,0,0,*,0,0
SAN JACINTO,0,*,*,0,*,*
SAN PATRICIO,*,0,0,*,*,0
SCURRY,0,*,0,0,0,0
SHELBY,0,*,0,0,0,0
SMITH,*,*,0,0,*,*
STARR,0,*,0,0,0,0
TARRANT,16,24,23,19,11,34
TAYLOR,*,*,*,*,*,*
TITUS,0,0,0,0,*,0
TOM GREEN,0,0,*,0,*,*
TRAVIS,43,32,42,34,34,56
TRINITY,0,0,0,*,0,0
TYLER,0,0,0,0,*,0
VAN ZANDT,0,0,0,*,*,*
VICTORIA,*,0,*,0,0,*
WALKER,*,0,*,*,*,*
WALLER,*,0,*,0,0,*
WASHINGTON,0,0,*,*,*,0
WEBB,0,0,0,*,0,*
WHARTON,0,*,0,0,0,*
WHEELER,0,*,0,0,0,0
WICHITA,*,*,0,*,*,*
WILLIAMSON,*,*,*,*,*,*
WILSON,0,0,0,0,*,0
WISE,*,*,*,*,*,*
WOOD,0,*,*,0,0,*
YOUNG,*,0,*,*,0,0
Total,332,424,454,395,407,680
