County,2015,2016,2017,2018,2019,2020
ANDERSON,0,0,0,0,*,*
ANGELINA,0,0,*,0,0,0
ARANSAS,0,0,0,*,0,0
BELL,*,0,0,*,*,*
BEXAR,*,0,*,0,*,*
BRAZORIA,*,0,*,0,0,*
BRAZOS,*,0,0,0,0,*
CALDWELL,0,0,0,0,0,*
CAMERON,0,0,0,*,*,0
COLLIN,*,0,0,0,0,0
CRANE,0,0,*,0,0,0
DALLAS,*,*,17,17,17,12
DENTON,0,0,*,0,0,*
ECTOR,0,0,0,0,*,0
ELLIS,0,0,0,0,*,0
EL PASO,*,0,*,0,0,*
FORT BEND,*,0,0,*,*,0
FRIO,0,0,*,0,0,0
GALVESTON,0,*,*,*,0,0
GRAYSON,0,0,*,0,0,*
GREGG,*,*,*,0,*,0
GUADALUPE,0,0,0,0,*,0
HAMILTON,0,*,0,0,0,0
HARDIN,0,*,0,0,0,0
HARRIS,*,*,*,*,*,*
HAYS,*,0,*,0,0,0
HIDALGO,0,*,*,*,0,*
HOUSTON,0,0,0,*,0,0
JACKSON,0,0,0,0,*,0
JASPER,0,0,*,0,0,0
JEFFERSON,0,*,0,*,*,*
JIM WELLS,0,0,0,*,0,0
JONES,0,0,0,0,0,*
KAUFMAN,0,0,*,0,0,0
KENDALL,0,0,0,0,0,*
LAMAR,0,0,*,0,*,0
LIMESTONE,0,0,0,*,0,0
LUBBOCK,*,*,*,*,0,0
MCLENNAN,0,0,*,*,0,*
MAVERICK,0,0,0,*,0,0
MONTGOMERY,0,*,*,0,*,0
NUECES,*,0,*,0,0,*
ORANGE,*,0,0,*,0,*
POTTER,0,*,*,0,*,0
RANDALL,*,0,0,*,0,0
RUSK,0,0,0,*,0,*
SAN PATRICIO,0,0,*,0,0,*
SMITH,0,0,*,0,*,0
STARR,0,*,0,0,0,*
TARRANT,0,*,*,0,0,*
TOM GREEN,0,*,0,0,0,0
TRAVIS,*,*,*,*,*,*
TYLER,0,0,0,*,0,0
VICTORIA,0,0,*,0,0,0
WALKER,0,0,*,0,*,0
WEBB,*,*,*,0,*,0
WILLIAMSON,0,0,0,0,0,*
Total,21,29,62,52,45,54
