County,2015,2016,2017,2018,2019,2020
ANDERSON,*,0,0,0,0,*
ANGELINA,*,*,*,0,*,0
ARANSAS,0,*,0,0,0,*
ATASCOSA,0,0,0,*,0,0
AUSTIN,0,*,0,*,0,0
BANDERA,0,0,*,0,0,0
BASTROP,0,0,0,*,*,*
BEE,0,*,*,0,*,0
BELL,*,*,*,*,*,*
BEXAR,42,51,50,45,53,47
BOWIE,0,0,*,*,*,0
BRAZORIA,*,*,*,10,*,12
BRAZOS,*,*,*,*,*,*
BREWSTER,0,0,0,0,0,*
BROOKS,0,0,*,0,*,0
BROWN,0,0,*,0,0,0
BURLESON,*,0,0,0,*,0
BURNET,0,*,0,0,*,*
CALDWELL,*,*,*,*,0,0
CAMERON,*,*,*,*,*,*
CAMP,0,*,0,0,0,*
CASS,0,*,*,0,0,0
CHAMBERS,0,0,*,0,*,0
CHEROKEE,0,0,0,0,0,*
COLLIN,*,*,10,*,*,*
COMAL,0,0,0,0,*,0
COOKE,0,*,0,0,*,*
CORYELL,0,0,*,*,*,0
CRANE,0,0,*,0,0,0
CROCKETT,0,0,0,0,0,*
DALLAS,81,90,106,106,107,135
DAWSON,0,0,*,0,0,0
DENTON,*,*,13,*,*,13
DIMMIT,0,0,0,0,0,*
DUVAL,0,0,0,*,*,0
ECTOR,*,*,*,*,*,*
ELLIS,*,*,*,0,0,*
EL PASO,13,11,24,21,21,33
FALLS,0,0,*,*,*,0
FANNIN,0,0,0,0,0,*
FAYETTE,0,0,0,*,0,0
FORT BEND,*,11,10,15,16,22
FRANKLIN,0,0,*,0,0,0
FREESTONE,0,0,0,*,0,0
FRIO,0,*,0,0,0,*
GAINES,0,0,0,0,0,*
GALVESTON,17,*,15,13,17,23
GOLIAD,0,0,0,*,0,0
GONZALES,*,0,0,0,0,0
GRAYSON,0,0,0,*,*,*
GREGG,0,0,*,*,*,*
GRIMES,*,0,0,*,*,*
GUADALUPE,0,0,*,*,*,*
HALE,*,*,*,0,*,0
HARDIN,0,0,*,0,*,0
HARRIS,142,198,209,267,248,350
HARRISON,0,0,0,0,*,0
HAYS,*,*,*,0,*,*
HENDERSON,*,0,*,0,*,*
HIDALGO,*,16,13,13,14,18
HILL,0,0,0,*,*,0
HOOD,0,0,0,*,*,*
HOPKINS,0,0,0,0,0,*
HOWARD,0,0,0,*,0,0
HUNT,0,*,*,*,*,*
JACKSON,*,0,0,*,0,0
JEFFERSON,*,*,*,11,*,12
JIM WELLS,0,0,*,*,0,*
JOHNSON,0,0,*,*,*,*
KAUFMAN,*,*,*,*,*,0
KENDALL,0,0,0,0,0,*
KERR,0,*,*,*,*,*
KLEBERG,0,0,0,0,*,0
LAMAR,0,*,0,0,0,*
LA SALLE,0,*,0,0,*,0
LEE,0,0,*,0,0,*
LEON,0,*,0,0,0,0
LIBERTY,*,*,*,*,0,*
LLANO,0,0,0,*,0,0
LUBBOCK,*,*,*,*,*,*
LYNN,0,*,0,0,0,0
MCLENNAN,*,0,*,*,*,10
MARION,0,0,0,0,*,0
MARTIN,0,0,0,*,0,0
MATAGORDA,0,*,*,*,*,0
MAVERICK,0,*,0,*,0,0
MIDLAND,*,0,0,*,*,*
MILAM,*,0,0,0,0,0
MONTGOMERY,*,*,17,*,13,18
MOORE,0,0,0,*,0,0
MORRIS,0,0,0,*,*,0
NACOGDOCHES,*,*,0,0,0,0
NAVARRO,*,0,*,0,0,*
NEWTON,*,0,0,0,0,*
NOLAN,0,*,0,0,*,0
NUECES,*,*,*,*,*,10
ORANGE,*,*,*,0,0,*
PALO PINTO,0,0,*,0,0,*
PANOLA,0,0,0,0,*,0
PARKER,*,0,*,*,*,*
POLK,0,0,0,0,0,*
POTTER,*,*,*,*,0,*
RAINS,*,0,0,0,0,0
RANDALL,0,0,*,0,*,0
REAGAN,0,*,0,0,0,0
REEVES,*,0,0,*,*,0
ROBERTSON,0,0,0,0,*,*
ROCKWALL,0,0,*,*,0,*
RUSK,0,0,*,0,*,0
SAN JACINTO,0,*,0,0,0,*
SAN PATRICIO,*,0,*,0,0,*
SCURRY,0,0,0,*,0,0
SHELBY,0,0,0,0,0,*
SMITH,*,*,*,*,*,*
STARR,0,0,0,0,*,*
TARRANT,22,35,41,41,43,73
TAYLOR,*,*,*,*,0,*
TOM GREEN,0,0,*,0,*,*
TRAVIS,24,32,30,37,48,58
TRINITY,0,0,0,*,0,0
TYLER,*,0,0,*,*,0
UPSHUR,0,0,*,0,*,0
UPTON,0,0,0,0,*,*
UVALDE,0,*,*,*,*,0
VAL VERDE,*,0,0,0,*,*
VAN ZANDT,0,*,0,*,*,0
VICTORIA,0,0,*,0,*,*
WALKER,0,0,*,*,0,*
WALLER,0,0,*,*,0,*
WARD,*,0,*,0,0,*
WASHINGTON,*,0,0,*,*,*
WEBB,*,18,18,*,17,20
WHARTON,0,*,*,0,*,*
WICHITA,0,0,0,*,0,*
WILLACY,0,0,0,*,0,0
WILLIAMSON,0,*,*,*,*,*
WILSON,0,0,*,0,*,0
WISE,*,*,0,0,0,*
YOAKUM,0,0,0,0,0,*
ZAPATA,0,0,0,0,*,*
ZAVALA,*,0,0,*,0,*
Total,456,567,671,713,739,"1,008"
