County,2015,2016,2017,2018,2019,2020
ANDERSON,0,0,*,0,0,0
ANGELINA,0,*,0,0,0,*
ARANSAS,*,*,0,*,*,0
ATASCOSA,0,*,*,*,0,*
AUSTIN,0,0,0,*,0,0
BANDERA,0,0,0,*,0,0
BASTROP,*,*,*,0,*,*
BELL,*,*,0,*,*,*
BEXAR,74,70,50,64,84,72
BOSQUE,0,0,0,*,0,0
BOWIE,0,0,*,*,0,0
BRAZORIA,*,*,*,*,13,15
BRAZOS,*,0,*,0,*,*
BREWSTER,0,0,0,0,*,*
BROWN,0,0,0,0,*,0
BURNET,0,*,*,0,*,*
CALDWELL,0,*,0,*,0,*
CAMERON,*,*,*,*,*,0
CHAMBERS,0,*,0,0,*,*
COLLIN,20,20,14,19,17,13
COMAL,0,*,*,*,*,*
COOKE,0,*,0,0,0,0
CORYELL,0,0,*,*,*,0
CRANE,0,*,0,0,0,0
DALLAS,94,90,101,88,103,98
DAWSON,*,0,0,0,0,0
DELTA,0,0,*,0,*,0
DENTON,12,18,19,*,19,16
DUVAL,0,*,0,0,0,0
ECTOR,*,*,*,0,*,*
ELLIS,*,*,0,0,*,*
EL PASO,23,27,18,23,29,16
ERATH,0,0,0,0,*,0
FALLS,*,0,0,0,0,0
FANNIN,0,0,0,0,*,0
FAYETTE,0,0,0,*,0,0
FORT BEND,0,10,*,*,10,15
FRANKLIN,0,0,0,0,0,*
FREESTONE,0,0,0,0,*,0
FRIO,0,0,*,0,0,*
GALVESTON,*,*,*,*,14,26
GILLESPIE,*,*,0,0,*,0
GOLIAD,0,0,0,*,0,0
GONZALES,0,0,0,0,0,*
GRAYSON,0,*,*,*,*,*
GREGG,*,*,*,*,*,0
GRIMES,0,0,0,0,*,0
GUADALUPE,*,*,*,*,*,*
HALE,0,0,0,*,0,0
HARDIN,0,*,0,*,*,*
HARRIS,77,94,122,146,170,193
HAYS,*,*,*,*,*,*
HENDERSON,*,*,*,*,0,0
HIDALGO,*,*,*,*,*,*
HILL,0,0,0,0,0,*
HOCKLEY,0,0,0,0,0,*
HOOD,0,0,*,*,*,*
HOPKINS,0,*,*,0,0,*
HOWARD,0,0,0,*,*,*
HUNT,*,0,*,0,0,*
HUTCHINSON,0,*,0,0,*,*
JEFFERSON,*,*,*,*,*,*
JIM WELLS,*,*,0,0,0,*
JOHNSON,*,*,*,*,*,*
JONES,0,0,0,0,0,*
KARNES,*,0,0,0,0,0
KAUFMAN,*,*,*,*,*,*
KENDALL,0,0,0,0,*,0
KERR,*,*,0,*,*,*
LAMAR,0,*,*,*,0,0
LA SALLE,*,0,0,0,0,0
LAVACA,0,0,0,*,0,0
LEE,0,0,*,0,0,0
LEON,0,0,0,0,*,0
LIBERTY,*,*,*,0,*,*
LIMESTONE,0,0,0,0,0,*
LLANO,0,0,0,*,0,0
LUBBOCK,*,*,*,*,*,*
LYNN,0,0,0,0,*,0
MCCULLOCH,0,0,0,0,0,*
MCLENNAN,*,*,*,*,*,*
MARTIN,0,0,0,*,0,0
MATAGORDA,0,0,0,0,*,*
MAVERICK,0,*,0,0,0,*
MENARD,0,0,0,0,0,*
MIDLAND,0,*,0,*,*,*
MILAM,*,0,*,0,0,0
MITCHELL,0,0,*,0,0,*
MONTGOMERY,*,*,21,17,20,24
MOORE,0,0,0,*,0,0
NACOGDOCHES,0,0,0,0,0,*
NAVARRO,*,0,0,0,0,0
NEWTON,0,0,0,0,0,*
NOLAN,*,0,0,0,0,0
NUECES,21,10,*,*,*,12
ORANGE,*,0,*,*,*,*
PARKER,*,*,*,*,*,*
POLK,0,0,0,0,*,0
POTTER,*,0,0,*,*,*
RAINS,*,0,0,0,0,0
RANDALL,0,*,*,*,*,*
REAGAN,0,*,0,0,0,0
REEVES,*,*,0,0,*,*
REFUGIO,*,0,0,0,0,0
ROBERTSON,0,0,0,0,*,0
ROCKWALL,*,*,*,*,*,*
RUSK,0,0,0,*,*,0
SAN JACINTO,0,0,0,0,0,*
SAN PATRICIO,0,*,*,*,*,0
SCURRY,0,0,0,0,0,*
SMITH,*,0,0,*,*,*
STARR,0,0,0,0,0,*
TARRANT,41,38,57,50,43,46
TAYLOR,*,*,*,*,*,*
TERRELL,0,*,0,0,0,0
TOM GREEN,*,0,*,0,0,*
TRAVIS,31,38,34,64,45,51
TRINITY,0,0,0,0,0,*
TYLER,0,*,0,*,0,0
UPTON,*,0,0,0,0,*
UVALDE,0,0,0,*,*,0
VAL VERDE,*,*,*,0,0,*
VAN ZANDT,0,*,0,*,*,0
VICTORIA,*,*,0,*,*,*
WALKER,*,0,0,0,0,0
WALLER,*,0,*,*,*,*
WARD,*,0,0,0,0,0
WASHINGTON,0,0,0,*,*,0
WEBB,13,11,20,13,10,27
WHARTON,0,*,*,0,0,*
WICHITA,0,*,*,*,*,0
WILLIAMSON,*,*,*,*,*,*
WILSON,0,0,0,*,0,0
WINKLER,0,0,0,0,*,0
WISE,*,*,*,*,0,0
ZAPATA,0,*,0,0,0,*
Total,510,522,552,638,721,763
