County,2015,2016,2017,2018,2019,2020
ANDERSON,*,0,*,0,0,0
ANGELINA,*,*,*,0,*,0
ARANSAS,0,0,*,0,*,0
ARCHER,0,0,0,0,0,*
ATASCOSA,0,*,*,0,0,0
AUSTIN,0,0,0,*,*,0
BELL,*,0,*,0,0,0
BEXAR,21,13,10,14,10,19
BOSQUE,0,0,0,0,0,*
BOWIE,*,0,0,0,0,0
BRAZORIA,*,*,*,0,*,*
BRAZOS,*,*,0,0,*,*
BROWN,0,0,*,*,0,*
BURNET,0,0,0,*,0,0
CAMERON,0,0,0,*,0,0
CASS,0,0,*,0,*,0
CHAMBERS,*,0,0,0,0,0
CHEROKEE,0,0,0,*,0,0
COLLIN,*,*,*,*,*,*
COMAL,*,*,0,0,0,0
COOKE,*,0,0,0,*,0
CORYELL,0,0,*,0,0,0
DALLAS,*,*,*,*,*,*
DENTON,*,*,*,*,*,*
ECTOR,0,*,0,*,0,*
ELLIS,0,*,*,*,0,0
EL PASO,*,*,0,*,*,*
ERATH,0,*,0,0,0,0
FANNIN,0,0,0,0,*,0
FORT BEND,0,*,0,0,0,*
FREESTONE,0,0,0,*,0,0
GALVESTON,*,*,*,0,*,*
GILLESPIE,0,0,0,*,0,0
GOLIAD,*,0,0,0,0,0
GRAYSON,0,0,*,0,*,0
GRIMES,0,0,0,0,*,0
GUADALUPE,0,0,*,0,0,0
HAMILTON,0,0,0,*,0,0
HARDIN,*,*,*,*,0,0
HARRIS,32,31,27,16,18,22
HARRISON,0,0,*,*,*,*
HAYS,0,0,*,*,0,0
HENDERSON,0,0,0,*,0,0
HIDALGO,*,0,*,0,0,0
HILL,0,*,0,*,0,0
HOCKLEY,*,0,0,0,0,0
HOOD,0,0,0,0,0,*
HOPKINS,0,0,0,0,*,0
HOUSTON,0,0,*,0,*,0
HOWARD,*,0,0,0,0,0
JACKSON,0,*,0,0,0,0
JEFFERSON,0,*,*,*,*,*
JOHNSON,*,0,*,0,*,*
KAUFMAN,0,0,0,0,*,*
KENDALL,*,0,0,0,0,0
KERR,*,0,*,0,0,0
LAMAR,0,0,0,*,0,0
LEON,0,*,0,0,0,0
LIBERTY,0,*,0,*,*,0
LUBBOCK,*,*,*,*,*,0
MCLENNAN,0,*,*,*,*,0
MATAGORDA,*,0,0,0,0,0
MENARD,0,*,0,0,0,0
MIDLAND,*,0,0,0,0,*
MONTGOMERY,*,*,*,*,*,*
MORRIS,0,0,0,0,0,*
NACOGDOCHES,*,0,0,0,0,0
NUECES,0,*,*,*,0,*
ORANGE,*,0,*,0,0,0
PALO PINTO,0,0,0,*,0,0
PANOLA,0,*,0,0,0,0
PARKER,*,*,0,0,*,*
POLK,0,*,0,0,0,0
POTTER,*,0,*,0,*,0
ROCKWALL,0,0,*,0,0,0
RUSK,0,0,0,0,0,*
SAN PATRICIO,0,*,0,*,0,0
SCURRY,0,*,0,0,0,0
SMITH,*,0,0,*,*,0
SOMERVELL,*,0,0,0,0,0
TARRANT,12,*,10,*,*,10
TAYLOR,*,*,*,*,0,*
TOM GREEN,0,0,0,0,*,*
TRAVIS,*,11,12,*,10,*
TYLER,0,0,0,*,0,0
UPSHUR,0,*,*,0,0,0
VICTORIA,0,*,*,0,0,0
WALKER,*,0,*,0,0,0
WALLER,*,0,0,0,0,*
WEBB,0,*,*,*,0,*
WICHITA,0,*,0,0,*,0
WILLIAMSON,*,*,*,0,*,0
WISE,0,*,*,0,0,0
YOUNG,*,0,0,*,0,0
Total,136,135,119,101,97,108
