County,2015,2016,2017,2018,2019,2020
ANDERSON,*,*,*,0,*,0
ANDREWS,0,0,*,*,0,0
ANGELINA,*,*,*,*,*,*
ARANSAS,*,*,*,*,*,*
ARCHER,0,*,0,0,0,*
ATASCOSA,0,*,*,*,0,*
AUSTIN,0,0,0,*,*,*
BANDERA,0,0,*,*,0,0
BASTROP,*,*,*,*,*,*
BAYLOR,*,0,0,0,0,0
BEE,*,*,*,*,0,0
BELL,12,*,13,12,*,12
BEXAR,109,104,89,97,130,125
BOSQUE,0,0,*,*,0,*
BOWIE,*,*,*,*,*,*
BRAZORIA,*,14,14,21,21,27
BRAZOS,*,*,*,*,*,11
BREWSTER,*,*,0,0,*,*
BROWN,*,*,*,*,*,*
BURLESON,0,*,0,0,0,0
BURNET,*,*,*,*,*,*
CALDWELL,0,*,*,*,0,*
CALHOUN,0,0,0,0,0,*
CALLAHAN,0,0,*,0,*,*
CAMERON,*,*,*,*,10,*
CAMP,*,0,0,*,0,0
CASS,0,0,*,*,*,0
CHAMBERS,*,*,*,0,*,*
CHEROKEE,0,*,*,*,*,0
CHILDRESS,*,*,0,0,0,0
CLAY,0,*,0,0,0,0
COCHRAN,0,0,0,*,0,0
COKE,0,0,0,0,*,0
COLLIN,31,42,31,36,29,48
COLORADO,*,0,*,0,*,0
COMAL,*,*,*,*,*,10
COMANCHE,0,0,0,0,*,0
COOKE,*,*,*,*,*,0
CORYELL,0,*,*,*,*,*
CRANE,0,*,0,0,0,0
DALLAS,143,154,153,137,163,217
DAWSON,*,0,0,0,0,0
DEAF SMITH,0,0,0,0,*,*
DELTA,0,0,*,0,*,0
DENTON,29,33,38,21,30,42
DONLEY,0,*,0,0,0,0
DUVAL,0,*,0,*,0,0
ECTOR,*,*,11,11,*,15
ELLIS,*,*,*,*,*,*
EL PASO,30,51,45,44,61,74
ERATH,0,*,0,*,*,*
FALLS,*,0,0,0,*,0
FANNIN,*,0,*,0,*,*
FAYETTE,0,0,*,*,0,0
FORT BEND,11,27,19,20,24,47
FRANKLIN,*,0,0,0,*,*
FREESTONE,0,0,0,*,*,0
FRIO,0,0,*,0,0,*
GAINES,0,*,0,0,0,0
GALVESTON,20,24,26,29,26,50
GILLESPIE,*,*,0,*,*,*
GOLIAD,*,0,0,*,0,0
GONZALES,0,0,0,0,*,*
