County,2015,2016,2017,2018,2019,2020
ANDERSON,*,*,*,0,0,0
ANGELINA,0,*,*,0,0,0
ARANSAS,*,*,0,0,*,0
BASTROP,0,0,*,0,0,0
BEE,0,0,0,*,0,0
BELL,*,0,0,0,*,*
BEXAR,*,*,*,*,*,*
BOWIE,0,0,0,0,*,0
BRAZORIA,*,*,*,*,0,*
BREWSTER,*,*,0,0,0,0
CALLAHAN,0,0,*,0,0,0
CAMERON,0,0,0,0,*,0
CASS,0,0,0,*,0,0
CHEROKEE,0,*,*,0,0,0
CHILDRESS,*,0,0,0,0,0
COLLIN,*,*,*,*,0,0
COOKE,0,*,0,0,0,0
CORYELL,0,0,0,0,*,0
DALLAS,14,13,*,11,10,*
DENTON,0,*,*,0,0,0
ECTOR,0,*,0,*,*,0
EL PASO,*,*,*,*,*,*
FALLS,0,0,0,0,*,0
FORT BEND,*,*,*,*,0,*
GALVESTON,*,*,*,*,0,0
GRAYSON,*,0,*,0,0,0
GREGG,0,*,0,0,0,*
GUADALUPE,0,*,0,0,0,0
HALE,0,0,0,0,0,*
HAMILTON,0,*,0,0,0,0
HARDIN,0,0,*,0,0,0
HARRIS,*,13,*,*,*,11
HARRISON,*,*,0,0,0,0
HENDERSON,*,0,0,0,0,*
HIDALGO,0,0,0,0,*,*
HILL,0,0,0,0,0,*
HOCKLEY,0,0,0,0,*,*
HOUSTON,0,0,*,0,0,0
HOWARD,0,0,0,0,0,*
HUNT,0,0,0,*,*,0
JACK,0,0,*,0,0,0
JEFFERSON,*,0,0,0,0,*
KAUFMAN,*,0,*,0,*,0
LAMAR,0,*,0,0,0,0
LIBERTY,*,0,0,0,0,0
LIMESTONE,0,*,0,0,0,0
LUBBOCK,*,*,0,0,*,0
MCLENNAN,*,*,*,*,0,*
MATAGORDA,*,*,0,0,0,0
MAVERICK,0,0,0,0,0,*
MENARD,0,*,0,0,0,0
MIDLAND,*,0,0,*,0,0
MILLS,0,0,0,0,*,0
MONTAGUE,*,0,0,*,0,0
MONTGOMERY,*,*,0,0,*,*
NACOGDOCHES,*,*,*,0,0,0
NAVARRO,0,0,0,0,0,*
NUECES,0,*,0,*,*,*
ORANGE,0,0,*,0,0,0
PALO PINTO,0,*,*,0,0,0
PARKER,0,0,*,0,0,0
PECOS,0,0,0,*,0,0
POTTER,0,0,0,0,*,*
RAINS,0,0,*,0,0,0
RANDALL,0,0,*,*,0,0
REEVES,*,0,*,*,0,0
ROCKWALL,*,0,*,0,0,0
SABINE,0,0,*,0,0,0
SAN JACINTO,0,0,*,0,0,0
SAN PATRICIO,*,0,0,0,0,0
SCHLEICHER,0,0,0,0,0,*
SHELBY,0,*,0,0,0,0
SMITH,*,0,0,0,0,0
TARRANT,0,*,*,*,*,*
TAYLOR,*,0,0,0,0,0
TOM GREEN,0,0,0,0,0,*
TRAVIS,*,*,*,0,*,*
UPSHUR,0,*,0,0,0,0
VAL VERDE,0,0,*,0,0,0
VAN ZANDT,*,0,0,0,*,0
VICTORIA,0,0,0,0,0,*
WALKER,0,0,*,0,0,0
WALLER,*,0,0,0,0,0
WEBB,*,*,*,*,0,*
WHARTON,0,0,0,0,*,0
WICHITA,0,0,0,0,*,0
WILLIAMSON,*,0,*,0,*,0
WILSON,0,0,0,0,*,0
WISE,0,0,0,*,0,0
ZAVALA,0,0,0,0,*,0
Total,92,108,83,56,56,63
