County,2015,2016,2017,2018,2019,2020
ANDERSON,*,0,*,*,*,*
ANDREWS,0,0,0,0,0,*
ANGELINA,*,*,*,*,*,*
ARANSAS,*,0,*,*,*,0
ARCHER,0,0,0,0,0,*
ATASCOSA,0,*,*,*,0,*
AUSTIN,0,0,0,0,*,0
BANDERA,0,0,0,*,0,0
BASTROP,0,*,*,*,*,*
BAYLOR,*,0,0,*,0,0
BEE,*,*,*,0,*,*
BELL,*,*,*,*,15,18
BEXAR,34,59,67,82,107,148
BLANCO,*,0,0,0,0,*
BOSQUE,0,0,0,*,*,*
BOWIE,*,*,*,*,*,*
BRAZORIA,*,*,11,12,21,18
BRAZOS,*,0,0,0,*,10
BREWSTER,0,0,0,0,0,*
BROWN,*,0,0,*,*,*
BURLESON,0,0,0,0,*,0
BURNET,0,*,*,*,*,*
CALDWELL,0,*,*,*,0,*
CALHOUN,0,*,*,0,*,*
CALLAHAN,0,*,0,0,*,0
CAMERON,*,0,0,*,*,*
CAMP,*,*,*,0,0,*
CASS,*,*,0,*,0,*
CASTRO,0,0,0,*,0,0
CHAMBERS,0,*,*,0,*,*
CHEROKEE,*,*,*,*,*,*
CHILDRESS,*,0,0,0,*,0
CLAY,0,0,*,*,*,*
COKE,0,*,0,0,0,0
COLLIN,*,15,13,12,17,18
COLLINGSWORTH,0,0,0,0,0,*
COLORADO,0,0,0,*,*,0
COMAL,*,*,*,*,*,*
COMANCHE,0,*,*,0,*,0
COOKE,*,*,*,*,*,*
CORYELL,*,0,*,*,*,*
CROCKETT,0,0,0,0,*,0
DALLAM,*,0,0,0,0,*
DALLAS,57,52,72,87,108,154
DAWSON,*,*,0,0,*,*
DEAF SMITH,0,0,*,0,*,0
DELTA,0,0,*,*,*,0
DENTON,*,12,17,10,21,26
DEWITT,0,0,*,*,0,0
DICKENS,0,0,0,0,0,*
DONLEY,0,0,*,0,0,0
DUVAL,0,0,0,*,0,0
EASTLAND,0,0,0,0,*,0
ECTOR,*,*,*,*,12,10
ELLIS,0,*,*,*,*,*
EL PASO,*,*,11,13,19,29
ERATH,0,*,0,*,0,*
FALLS,0,0,*,0,0,*
FANNIN,0,0,0,0,*,*
FAYETTE,0,0,0,*,*,*
FLOYD,0,0,0,0,0,*
FORT BEND,*,*,*,*,*,20
FRANKLIN,0,0,0,0,0,*
FREESTONE,0,0,0,0,*,0
FRIO,0,0,0,*,0,0
GALVESTON,*,10,10,18,20,35
GARZA,0,0,0,0,*,*
GILLESPIE,0,*,0,0,0,*
GOLIAD,0,*,0,*,0,0
