County,2015,2016,2017,2018,2019,2020
ANDERSON,*,*,*,*,*,*
ANDREWS,0,*,*,0,0,*
ANGELINA,*,*,*,*,*,*
ARANSAS,*,0,*,*,*,0
ARCHER,0,0,0,0,0,*
ATASCOSA,0,*,*,*,0,*
AUSTIN,0,0,0,0,*,0
BANDERA,0,0,0,*,0,0
BASTROP,*,*,*,*,*,*
BAYLOR,*,0,0,*,0,0
BEE,*,*,*,0,*,*
BELL,*,*,*,12,16,19
BEXAR,34,61,68,83,110,149
BLANCO,*,0,0,0,0,*
BOSQUE,0,0,0,*,*,*
BOWIE,*,*,*,*,*,*
BRAZORIA,*,*,12,13,23,20
BRAZOS,*,*,*,*,*,11
BREWSTER,0,0,0,0,0,*
BROWN,*,0,0,*,*,*
BURLESON,0,*,0,0,*,0
BURNET,0,*,*,*,*,*
CALDWELL,0,*,*,*,0,*
CALHOUN,0,*,*,0,*,*
CALLAHAN,0,*,0,0,*,0
CAMERON,*,*,0,*,*,*
CAMP,*,*,*,*,0,*
CASS,*,*,0,*,0,*
CASTRO,0,0,0,*,0,0
CHAMBERS,0,*,*,0,*,*
CHEROKEE,*,*,*,*,*,*
CHILDRESS,*,0,0,0,*,0
CLAY,0,0,*,*,*,*
COKE,0,*,0,0,0,0
COLLIN,*,16,14,13,18,19
COLLINGSWORTH,0,0,0,0,0,*
COLORADO,0,0,0,*,*,0
COMAL,*,*,*,*,*,*
COMANCHE,0,*,*,0,*,0
COOKE,*,*,*,*,*,*
CORYELL,*,*,*,*,*,*
CROCKETT,0,0,0,0,*,0
CROSBY,0,*,*,0,0,0
DALLAM,*,0,0,0,0,*
DALLAS,67,65,89,99,117,164
DAWSON,*,*,0,0,*,*
DEAF SMITH,0,0,*,0,*,0
DELTA,0,0,*,*,*,0
DENTON,11,15,23,13,25,28
DEWITT,0,0,*,*,0,0
DICKENS,0,0,0,0,0,*
DONLEY,0,0,*,0,0,0
DUVAL,0,0,0,*,0,0
EASTLAND,0,0,0,0,*,0
ECTOR,*,*,*,*,13,13
ELLIS,*,*,*,*,*,*
EL PASO,*,*,16,15,25,32
ERATH,0,*,*,*,0,*
FALLS,0,0,*,0,*,*
FANNIN,0,*,*,0,*,*
FAYETTE,0,0,0,*,*,*
FLOYD,0,0,0,0,0,*
FORT BEND,*,*,*,*,*,24
FRANKLIN,0,0,0,0,0,*
FREESTONE,0,0,0,0,*,0
FRIO,0,0,0,*,0,0
GALVESTON,15,10,10,20,24,38
GARZA,0,0,0,0,*,*
GILLESPIE,0,*,0,0,0,*
GOLIAD,0,*,0,*,0,0
GONZALES,*,0,*,*,0,*
GRAY,0,0,0,0,*,*
GRAYSON,*,*,*,*,*,*
GREGG,0,*,*,*,*,*
GRIMES,*,0,*,0,*,*
GUADALUPE,*,*,*,*,*,*
HALE,*,0,*,*,*,*
HAMILTON,0,0,0,*,*,0
HARDIN,*,*,0,*,*,*
HARRIS,129,137,140,160,197,347
HARRISON,*,0,*,*,*,*
HAYS,*,*,*,*,*,*
HENDERSON,*,*,*,*,11,*
HIDALGO,*,*,*,*,*,11
HILL,*,0,*,*,*,*
HOCKLEY,0,0,0,*,*,*
HOOD,*,*,*,0,*,*
HOPKINS,0,*,*,*,0,*
HOUSTON,0,*,0,*,0,0
HOWARD,*,*,*,0,*,*
HUNT,*,*,*,*,*,*
HUTCHINSON,*,*,0,0,*,*
JACK,*,*,*,*,*,*
JACKSON,0,*,0,0,*,0
JASPER,*,*,*,*,*,*
JEFFERSON,*,*,11,*,16,18
JIM WELLS,0,*,0,0,0,*
JOHNSON,*,*,*,10,*,11
JONES,0,*,0,0,0,*
KARNES,0,*,0,*,0,*
KAUFMAN,*,*,*,*,11,*
KENDALL,0,0,*,*,0,*
KERR,*,*,*,*,*,*
KIMBLE,0,0,0,*,0,0
KLEBERG,0,0,*,0,0,0
LAMAR,*,*,0,*,*,*
LAMB,0,0,0,*,0,0
LAMPASAS,*,0,0,0,*,*
LA SALLE,0,0,*,0,0,*
LAVACA,0,0,*,*,*,*
LEE,*,*,*,0,0,*
LEON,*,0,*,0,*,*
LIBERTY,*,*,*,*,*,*
LIMESTONE,0,*,0,*,*,*
LIPSCOMB,0,0,0,*,0,0
LIVE OAK,0,0,*,0,0,0
LLANO,*,*,*,*,0,*
