County,2015,2016,2017,2018,2019,2020
ANGELINA,0,*,0,0,0,*
ARANSAS,0,0,0,0,*,*
ARCHER,0,0,0,0,0,*
ATASCOSA,0,0,0,*,0,0
AUSTIN,0,0,0,*,0,*
BANDERA,0,0,*,0,0,0
BASTROP,*,0,*,*,*,*
BAYLOR,*,0,0,0,0,0
BEE,*,0,*,0,0,0
BELL,*,*,*,*,*,*
BEXAR,*,*,19,*,20,26
BOWIE,0,0,0,0,0,*
BRAZORIA,*,*,*,*,*,*
BRAZOS,*,*,0,*,*,*
BREWSTER,0,0,0,0,*,0
BROWN,*,0,*,*,*,0
BURNET,0,*,*,0,*,*
CALDWELL,0,*,*,0,0,*
CALLAHAN,0,0,0,0,0,*
CAMERON,*,*,*,0,*,*
CAMP,*,0,0,0,0,0
CHAMBERS,0,0,*,0,0,*
CHEROKEE,0,0,0,0,*,0
COKE,0,0,0,0,*,0
COLLIN,*,*,*,*,*,30
COLORADO,0,0,*,0,*,0
COMAL,*,*,0,0,0,*
COOKE,*,*,0,*,*,0
CORYELL,0,*,*,*,*,*
DALLAS,14,22,21,26,32,105
DEAF SMITH,0,0,0,0,*,*
DENTON,*,*,11,*,10,19
ECTOR,*,0,*,*,*,*
ELLIS,0,*,*,0,*,*
EL PASO,*,*,11,*,22,47
ERATH,0,0,0,0,0,*
FANNIN,0,0,0,0,0,*
FAYETTE,0,0,0,*,0,0
FORT BEND,*,*,*,11,11,29
FRANKLIN,*,0,0,0,0,*
GAINES,0,*,0,0,0,0
GALVESTON,*,*,*,11,*,33
GOLIAD,0,0,0,*,0,0
GONZALES,0,0,0,0,*,*
GRAY,0,0,0,0,0,*
GRAYSON,0,0,0,*,*,*
GREGG,0,*,0,0,*,0
GRIMES,0,0,0,0,*,*
GUADALUPE,0,*,*,0,*,*
HALE,*,0,0,*,0,0
HAMILTON,*,0,0,0,0,0
HARDIN,*,*,0,*,*,0
HARRIS,30,42,67,95,100,275
HARRISON,*,*,*,0,0,*
HASKELL,0,0,0,*,0,0
HAYS,*,0,*,*,0,*
HEMPHILL,0,0,0,0,*,0
HENDERSON,*,*,*,0,0,*
HIDALGO,*,*,*,*,*,*
HILL,0,*,0,*,*,0
HOCKLEY,0,0,0,0,*,0
HOOD,0,0,*,*,0,*
HOPKINS,0,0,0,*,*,0
HOUSTON,0,*,0,0,0,*
HOWARD,0,0,0,*,0,0
HUNT,0,0,*,*,0,0
HUTCHINSON,0,0,0,0,0,*
JACKSON,0,0,0,*,*,0
JASPER,0,0,0,0,0,*
JEFFERSON,*,*,*,*,0,13
JOHNSON,*,*,*,*,*,*
KAUFMAN,0,0,0,*,*,*
KENDALL,*,0,0,0,*,0
KERR,0,*,*,0,*,*
KIMBLE,*,0,0,0,0,0
LAMAR,*,*,0,0,0,0
LAMPASAS,0,0,0,0,0,*
LEE,*,0,0,0,0,0
LEON,0,0,*,0,0,*
LIBERTY,0,0,0,0,*,*
LIMESTONE,0,*,0,0,0,0
LIVE OAK,*,0,0,0,0,0
LLANO,0,*,0,0,0,0
LUBBOCK,*,*,*,*,*,*
LYNN,0,0,0,0,*,0
MCLENNAN,*,*,*,*,*,*
MARION,0,*,*,0,0,*
MARTIN,0,0,0,*,0,0
MATAGORDA,0,*,0,0,0,*
MENARD,0,0,0,0,0,*
MIDLAND,0,*,0,*,*,*
MITCHELL,0,0,*,0,0,0
MONTAGUE,0,0,0,0,0,*
MONTGOMERY,*,*,19,17,16,32
MOORE,0,0,0,*,0,0
MORRIS,*,0,0,0,*,0
NACOGDOCHES,0,0,*,*,0,*
NAVARRO,*,0,*,0,*,0
NOLAN,0,0,0,0,*,0
NUECES,*,*,*,*,*,*
OCHILTREE,*,0,0,0,0,0
ORANGE,*,*,*,0,*,*
PALO PINTO,0,0,0,*,0,0
PANOLA,0,0,*,0,0,0
PARKER,0,*,*,*,*,*
POLK,0,0,0,*,*,*
POTTER,0,0,*,*,*,*
RANDALL,*,0,*,0,*,*
RED RIVER,0,*,0,0,0,*
ROBERTSON,*,0,*,0,0,0
ROCKWALL,0,0,*,*,*,*
SABINE,0,0,0,*,0,0
SAN AUGUSTINE,0,0,*,0,0,0
SAN JACINTO,0,0,*,0,*,*
SAN PATRICIO,0,*,*,*,0,0
SAN SABA,0,*,0,0,0,0
SCURRY,0,0,*,0,0,0
SHELBY,0,*,0,0,0,0
SMITH,0,*,*,*,*,*
STARR,0,0,0,*,*,*
TARRANT,11,18,11,*,18,99
TAYLOR,0,*,*,*,*,*
TOM GREEN,0,0,0,0,0,*
TRAVIS,14,15,20,18,29,43
TYLER,0,0,0,0,*,0
UPSHUR,0,*,0,0,*,0
VAL VERDE,0,0,0,0,0,*
VAN ZANDT,*,0,*,*,*,0
VICTORIA,0,*,*,0,0,*
WALKER,0,0,0,*,*,*
WALLER,0,*,*,*,*,*
WARD,0,0,0,0,0,*
WASHINGTON,0,0,*,*,0,*
WEBB,0,0,*,*,*,13
WHARTON,0,0,0,0,*,*
WICHITA,*,0,*,*,*,*
WILLACY,0,0,*,*,0,0
WILLIAMSON,*,*,*,*,*,13
WILSON,0,0,0,0,0,*
WINKLER,0,0,0,0,0,*
WISE,*,0,*,*,*,0
WOOD,0,*,*,*,0,*
YOAKUM,0,0,0,0,0,*
YOUNG,0,0,*,*,0,0
Total,155,212,306,304,381,981
