Area,Age group,Race,Sex,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anderson,All,All,All,Cases,8,9,10,--,--,9,5,6,5,--
Anderson,All,All,All,Rate,13.68,15.41,17.22,-0.01,-0.01,15.61,8.69,10.31,8.62,-0.01
Anderson,All,All,Female,Cases,--,6,--,--,--,--,--,--,--,--
Anderson,All,All,Female,Rate,-0.01,26.31,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,All,Male,Cases,6,--,7,--,--,8,--,--,--,--
Anderson,All,All,Male,Rate,16.88,-0.01,19.81,-0.01,-0.01,22.68,-0.01,-0.01,-0.01,-0.01
Anderson,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Black,All,Cases,--,6,5,--,--,--,--,--,--,--
