,Hispanic,Non-Hispanic Black,Non-Hispanic Other,Non-Hispanic White
Anderson,0,---,0,---
Andrews,---,0,0,0
Angelina,0,---,0,---
Atascosa,---,0,0,---
Austin,---,0,0,0
Bandera,0,0,0,---
Bastrop,---,---,---,---
Bee,---,0,0,0
Bell,---,16,---,18
Bexar,128,14,---,31
Bosque,0,0,0,---
Bowie,0,---,0,---
Brazoria,---,---,---,---
Brazos,---,---,---,---
Brewster,---,0,0,0
Brown,0,0,0,---
Burnet,0,0,0,---
Caldwell,---,0,0,---
Calhoun,---,0,0,0
Callahan,0,0,0,---
Cameron,34,0,0,0
Cass,0,0,---,---
Castro,---,0,0,---
Chambers,---,---,---,---
Cherokee,---,0,---,---
Childress,0,0,---,0
Cochran,---,0,0,0
Collin,10,12,10,22
Colorado,---,0,0,---
Comal,---,---,0,---
Coryell,---,0,0,---
Crosby,---,0,0,0
Dallam,---,0,0,---
Dallas,108,92,21,40
Dawson,---,0,0,0
Denton,14,---,---,20
Duval,---,0,0,0
Eastland,0,0,0,---
Ector,---,---,---,---
El Paso,51,---,0,---
Ellis,---,---,0,---
Erath,0,0,0,---
Fannin,0,---,---,---
Fayette,0,0,0,---
Fort Bend,12,---,---,---
Franklin,0,0,0,---
Freestone,0,---,0,0
Frio,---,0,0,0
Gaines,0,0,0,---
Galveston,---,---,0,---
Gonzales,---,0,0,0
Gray,0,0,0,---
Grayson,---,---,0,---
Gregg,---,---,0,---
Grimes,---,0,0,---
Guadalupe,---,---,---,---
Hale,---,0,0,---
Hansford,---,0,0,0
Hardin,0,---,0,---
Harris,184,166,20,60
Harrison,---,---,0,---
Hays,---,---,0,---
Henderson,0,---,---,---
Hidalgo,60,0,---,---
Hockley,---,0,0,---
Hood,0,0,0,---
Hopkins,---,0,0,0
Houston,0,0,0,---
Howard,---,0,0,---
Hunt,---,---,0,---
Hutchinson,---,---,0,0
Jack,0,0,0,---
Jasper,---,---,0,---
Jefferson,---,17,0,---
Jim Wells,---,0,0,---
Johnson,---,0,0,---
Jones,---,0,0,---
Karnes,---,0,0,0
Kaufman,0,---,0,---
Kendall,---,0,0,---
Kerr,---,0,---,---
La Salle,---,0,0,0
Lamar,0,0,0,---
Lampasas,---,0,0,0
Lavaca,0,0,0,---
Leon,0,0,0,---
Liberty,---,---,0,---
Limestone,0,0,0,---
Lipscomb,0,0,0,---
Live Oak,---,0,0,0
Lubbock,---,---,0,---
Martin,---,0,0,0
Matagorda,0,0,0,---
Maverick,---,0,---,0
Mclennan,---,---,---,---
Medina,---,0,---,---
Menard,---,0,0,0
Midland,---,---,0,---
Milam,0,---,0,---
Mitchell,0,0,0,---
Montague,0,0,0,---
Montgomery,---,0,---,15
Moore,0,---,0,0
Morris,---,---,---,0
Nacogdoches,---,0,0,0
Navarro,---,---,0,---
Newton,0,0,0,---
Nueces,10,---,---,---
Ochiltree,0,0,0,---
Orange,---,---,0,---
Palo Pinto,0,0,0,---
Panola,---,0,---,0
Parker,---,---,0,---
Parmer,---,0,0,0
Polk,---,0,0,---
Potter,---,---,0,---
Rains,0,0,0,---
Randall,---,---,---,---
Red River,0,---,0,---
Reeves,0,0,0,---
Robertson,---,---,0,---
Rockwall,---,0,0,---
Rusk,---,---,0,---
San Augustine,0,---,0,0
San Jacinto,---,0,0,---
San Patricio,---,0,0,---
Shelby,---,0,0,---
Sherman,0,0,0,---
Smith,---,14,0,---
Somervell,0,0,0,---
Starr,---,0,0,0
Stephens,---,0,0,---
Swisher,0,---,0,0
Tarrant,64,49,13,55
Taylor,---,---,0,---
Terrell,---,0,0,0
Titus,---,0,0,---
Tom Green,---,---,0,---
Travis,32,---,---,18
Tyler,0,---,0,---
Upshur,---,---,0,---
Uvalde,---,0,0,0
Val Verde,---,0,0,0
Van Zandt,---,0,0,---
Victoria,---,0,0,0
Walker,0,0,0,---
Waller,---,0,0,0
Ward,0,0,0,---
Washington,0,---,0,0
Webb,28,0,0,0
Wharton,---,0,0,0
Wheeler,0,0,0,---
Wichita,---,---,---,---
Wilbarger,0,0,0,---
Willacy,---,0,0,0
Williamson,---,---,---,15
Wilson,---,0,0,0
Winkler,0,0,0,---
Wise,0,---,---,---
Wood,0,0,0,---
