COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
COLLIN ,Dentist,"1,099,759",966,"1,138.50",87.8,1
KENDALL ,Dentist,"49,720",42,"1,183.80",84.5,2
ROCKWALL ,Dentist,"107,826",91,"1,184.90",84.4,3
GREGG ,Dentist,"126,321",97,"1,302.30",76.8,4
BURNET ,Dentist,"49,329",37,"1,333.20",75,5
COMAL ,Dentist,"157,195",117,"1,343.50",74.4,6
WILLIAMSON ,Dentist,"630,580",438,"1,439.70",69.5,7
GILLESPIE ,Dentist,"26,535",18,"1,474.20",67.8,8
TRAVIS ,Dentist,"1,342,801",903,"1,487.00",67.2,9
FORT BEND ,Dentist,"903,484",582,"1,552.40",64.4,10
YOUNG ,Dentist,"18,760",12,"1,563.30",64,11
MILLS ,Dentist,"4,847",3,"1,615.70",61.9,12
DALLAS ,Dentist,"2,808,441","1,710","1,642.40",60.9,13
BOWIE ,Dentist,"92,441",55,"1,680.70",59.5,14
HARRIS ,Dentist,"5,164,809","2,921","1,768.20",56.6,15
SMITH ,Dentist,"239,994",134,"1,791.00",55.8,16
TARRANT ,Dentist,"2,214,148","1,212","1,826.90",54.7,17
DENTON ,Dentist,"954,471",522,"1,828.50",54.7,18
BEXAR ,Dentist,"2,174,191","1,182","1,839.40",54.4,19
BRAZORIA ,Dentist,"389,844",207,"1,883.30",53.1,20
TAYLOR ,Dentist,"140,957",74,"1,904.80",52.5,21
HARDEMAN ,Dentist,"3,845",2,"1,922.50",52,22
MONTGOMERY ,Dentist,"652,082",337,"1,935.00",51.7,23
TITUS ,Dentist,"33,005",17,"1,941.50",51.5,24
KERR ,Dentist,"52,830",26,"2,031.90",49.2,25
RANDALL ,Dentist,"142,506",70,"2,035.80",49.1,26
HAMILTON ,Dentist,"8,200",4,"2,050.00",48.8,27
AUSTIN ,Dentist,"30,805",15,"2,053.70",48.7,28
GRAYSON ,Dentist,"133,761",64,"2,090.00",47.8,29
BRAZOS ,Dentist,"237,611",113,"2,102.80",47.6,30
LUBBOCK ,Dentist,"326,611",154,"2,120.90",47.2,31
KIMBLE ,Dentist,"4,277",2,"2,138.50",46.8,32
HOOD ,Dentist,"60,158",28,"2,148.50",46.5,33
BELL ,Dentist,"362,136",165,"2,194.80",45.6,34
BOSQUE ,Dentist,"17,682",8,"2,210.30",45.2,35
WASHINGTON ,Dentist,"35,421",16,"2,213.80",45.2,36
WICHITA ,Dentist,"133,297",60,"2,221.60",45,37
NACOGDOCHES ,Dentist,"64,248",28,"2,294.60",43.6,38
JEFFERSON ,Dentist,"259,733",113,"2,298.50",43.5,39
CHILDRESS ,Dentist,"7,045",3,"2,348.30",42.6,40
POTTER ,Dentist,"122,799",52,"2,361.50",42.3,41
