COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
KERR ,Licensed Chemical Dependency Counselor,"52,830",56,943.4,106,1
SHACKELFORD ,Licensed Chemical Dependency Counselor,"3,423",3,"1,141.00",87.6,2
STEPHENS ,Licensed Chemical Dependency Counselor,"9,568",8,"1,196.00",83.6,3
BROWN ,Licensed Chemical Dependency Counselor,"38,984",31,"1,257.50",79.5,4
DONLEY ,Licensed Chemical Dependency Counselor,"3,357",2,"1,678.50",59.6,5
BANDERA ,Licensed Chemical Dependency Counselor,"21,389",11,"1,944.50",51.4,6
RUSK ,Licensed Chemical Dependency Counselor,"52,648",27,"1,949.90",51.3,7
EDWARDS ,Licensed Chemical Dependency Counselor,"1,965",1,"1,965.00",50.9,8
KLEBERG ,Licensed Chemical Dependency Counselor,"30,857",14,"2,204.10",45.4,9
OLDHAM ,Licensed Chemical Dependency Counselor,"2,217",1,"2,217.00",45.1,10
EASTLAND ,Licensed Chemical Dependency Counselor,"18,087",8,"2,260.90",44.2,11
DUVAL ,Licensed Chemical Dependency Counselor,"11,727",5,"2,345.40",42.6,12
LAMPASAS ,Licensed Chemical Dependency Counselor,"21,331",9,"2,370.10",42.2,13
KENDALL ,Licensed Chemical Dependency Counselor,"49,720",20,"2,486.00",40.2,14
BASTROP ,Licensed Chemical Dependency Counselor,"88,616",35,"2,531.90",39.5,15
WEBB ,Licensed Chemical Dependency Counselor,"281,099",105,"2,677.10",37.4,16
JIM WELLS ,Licensed Chemical Dependency Counselor,"43,229",16,"2,701.80",37,17
TAYLOR ,Licensed Chemical Dependency Counselor,"140,957",51,"2,763.90",36.2,18
COLEMAN ,Licensed Chemical Dependency Counselor,"8,406",3,"2,802.00",35.7,19
ERATH ,Licensed Chemical Dependency Counselor,"42,363",15,"2,824.20",35.4,20
FLOYD ,Licensed Chemical Dependency Counselor,"5,687",2,"2,843.50",35.2,21
MCCULLOCH ,Licensed Chemical Dependency Counselor,"8,738",3,"2,912.70",34.3,22
LUBBOCK ,Licensed Chemical Dependency Counselor,"326,611",110,"2,969.20",33.7,23
GREGG ,Licensed Chemical Dependency Counselor,"126,321",42,"3,007.60",33.2,24
SMITH ,Licensed Chemical Dependency Counselor,"239,994",79,"3,037.90",32.9,25
TOM GREEN ,Licensed Chemical Dependency Counselor,"126,243",41,"3,079.10",32.5,26
COMANCHE ,Licensed Chemical Dependency Counselor,"12,878",4,"3,219.50",31.1,27
NUECES ,Licensed Chemical Dependency Counselor,"393,190",120,"3,276.60",30.5,28
HAYS ,Licensed Chemical Dependency Counselor,"253,894",75,"3,385.30",29.5,29
COCHRAN ,Licensed Chemical Dependency Counselor,"3,402",1,"3,402.00",29.4,30
GARZA ,Licensed Chemical Dependency Counselor,"6,850",2,"3,425.00",29.2,31
CASTRO ,Licensed Chemical Dependency Counselor,"6,938",2,"3,469.00",28.8,32
GRAYSON ,Licensed Chemical Dependency Counselor,"133,761",38,"3,520.00",28.4,33
TRINITY ,Licensed Chemical Dependency Counselor,"14,122",4,"3,530.50",28.3,34
HARDIN ,Licensed Chemical Dependency Counselor,"56,792",16,"3,549.50",28.2,35
COLORADO ,Licensed Chemical Dependency Counselor,"21,353",6,"3,558.80",28.1,36
BROOKS ,Licensed Chemical Dependency Counselor,"7,153",2,"3,576.50",28,37
CORYELL ,Licensed Chemical Dependency Counselor,"79,108",22,"3,595.80",27.8,38
FRANKLIN ,Licensed Chemical Dependency Counselor,"10,977",3,"3,659.00",27.3,39
KAUFMAN ,Licensed Chemical Dependency Counselor,"130,210",35,"3,720.30",26.9,40
HOOD ,Licensed Chemical Dependency Counselor,"60,158",16,"3,759.90",26.6,41
BURNET ,Licensed Chemical Dependency Counselor,"49,329",13,"3,794.50",26.4,42
CALDWELL ,Licensed Chemical Dependency Counselor,"45,617",12,"3,801.40",26.3,43
WOOD ,Licensed Chemical Dependency Counselor,"45,896",12,"3,824.70",26.1,44
TRAVIS ,Licensed Chemical Dependency Counselor,"1,342,801",351,"3,825.60",26.1,45
BELL ,Licensed Chemical Dependency Counselor,"362,136",93,"3,893.90",25.7,46
MASON ,Licensed Chemical Dependency Counselor,"3,905",1,"3,905.00",25.6,47
VAN ZANDT ,Licensed Chemical Dependency Counselor,"56,056",14,"4,004.00",25,48
UVALDE ,Licensed Chemical Dependency Counselor,"28,411",7,"4,058.70",24.6,49
HAMILTON ,Licensed Chemical Dependency Counselor,"8,200",2,"4,100.00",24.4,50
MORRIS ,Licensed Chemical Dependency Counselor,"12,328",3,"4,109.30",24.3,51
ARCHER ,Licensed Chemical Dependency Counselor,"8,264",2,"4,132.00",24.2,52
MCLENNAN ,Licensed Chemical Dependency Counselor,"256,604",62,"4,138.80",24.2,53
GALVESTON ,Licensed Chemical Dependency Counselor,"369,095",89,"4,147.10",24.1,54
WILLIAMSON ,Licensed Chemical Dependency Counselor,"630,580",148,"4,260.70",23.5,55
BEXAR ,Licensed Chemical Dependency Counselor,"2,174,191",491,"4,428.10",22.6,56
ATASCOSA ,Licensed Chemical Dependency Counselor,"53,493",12,"4,457.80",22.4,57
CALLAHAN ,Licensed Chemical Dependency Counselor,"13,478",3,"4,492.70",22.3,58
BREWSTER ,Licensed Chemical Dependency Counselor,"9,067",2,"4,533.50",22.1,59
JEFFERSON ,Licensed Chemical Dependency Counselor,"259,733",56,"4,638.10",21.6,60
PARKER ,Licensed Chemical Dependency Counselor,"139,853",30,"4,661.80",21.5,61
MEDINA ,Licensed Chemical Dependency Counselor,"51,621",11,"4,692.80",21.3,62
ZAPATA ,Licensed Chemical Dependency Counselor,"14,430",3,"4,810.00",20.8,63
MILLS ,Licensed Chemical Dependency Counselor,"4,847",1,"4,847.00",20.6,64
BOWIE ,Licensed Chemical Dependency Counselor,"92,441",19,"4,865.30",20.6,65
MIDLAND ,Licensed Chemical Dependency Counselor,"200,890",41,"4,899.80",20.4,66
CHAMBERS ,Licensed Chemical Dependency Counselor,"44,194",9,"4,910.40",20.4,67
COMAL ,Licensed Chemical Dependency Counselor,"157,195",32,"4,912.30",20.4,68
JONES ,Licensed Chemical Dependency Counselor,"19,666",4,"4,916.50",20.3,69
COOKE ,Licensed Chemical Dependency Counselor,"39,967",8,"4,995.90",20,70
VICTORIA ,Licensed Chemical Dependency Counselor,"100,022",20,"5,001.10",20,71
WALKER ,Licensed Chemical Dependency Counselor,"75,503",15,"5,033.50",19.9,72
BRAZORIA ,Licensed Chemical Dependency Counselor,"389,844",77,"5,062.90",19.8,73
HENDERSON ,Licensed Chemical Dependency Counselor,"81,548",16,"5,096.80",19.6,74
WICHITA ,Licensed Chemical Dependency Counselor,"133,297",26,"5,126.80",19.5,75
KARNES ,Licensed Chemical Dependency Counselor,"15,560",3,"5,186.70",19.3,76
NOLAN ,Licensed Chemical Dependency Counselor,"15,734",3,"5,244.70",19.1,77
GUADALUPE ,Licensed Chemical Dependency Counselor,"179,600",34,"5,282.40",18.9,78
GILLESPIE ,Licensed Chemical Dependency Counselor,"26,535",5,"5,307.00",18.8,79
NAVARRO ,Licensed Chemical Dependency Counselor,"47,962",9,"5,329.10",18.8,80
ANGELINA ,Licensed Chemical Dependency Counselor,"91,022",17,"5,354.20",18.7,81
GONZALES ,Licensed Chemical Dependency Counselor,"21,636",4,"5,409.00",18.5,82
