County,2020 Total Population,2020 LCSW Total,Ratio of 2020 Population to LCSW,"Ratio of LCSWs to 100,000 Population",Rank
Anderson,"58,199",3,"19,399.70",5.2,125
Andrews,"22,269",0,-,0,146
Angelina,"90,437",12,"7,536.40",13.3,85
Aransas,"27,699",4,"6,924.80",14.4,75
Archer,"8,344",0,-,0,146
Armstrong,"1,948",0,-,0,146
Atascosa,"51,831",2,"25,915.50",3.9,136
Austin,"30,402",0,-,0,146
Bailey,"7,692",0,-,0,146
Bandera,"21,246",3,"7,082.00",14.1,79
Bastrop,"86,105",24,"3,587.70",27.9,24
Baylor,"3,624",0,-,0,146
Bee,"34,445",1,"34,445.00",2.9,143
Bell,"353,629",204,"1,733.50",57.7,6
Bexar,"2,093,502",730,"2,867.80",34.9,19
Blanco,"11,504",2,"5,752.00",17.4,51
Borden,685,0,-,0,146
Bosque,"17,765",1,"17,765.00",5.6,120
Bowie,"92,570",16,"5,785.60",17.3,53
Brazoria,"375,869",65,"5,782.60",17.3,52
Brazos,"229,410",24,"9,558.80",10.5,99
Brewster,"9,133",1,"9,133.00",10.9,97
Briscoe,"1,568",0,-,0,146
Brooks,"7,175",0,-,0,146
Brown,"38,923",7,"5,560.40",18,48
Burleson,"17,718",0,-,0,146
Burnet,"48,196",10,"4,819.60",20.7,41
Caldwell,"44,284",13,"3,406.50",29.4,22
Calhoun,"22,840",2,"11,420.00",8.8,109
Callahan,"13,456",2,"6,728.00",14.9,72
Cameron,"427,881",52,"8,228.50",12.2,91
Camp,"13,322",0,-,0,146
Carson,"5,799",0,-,0,146
Cass,"30,327",4,"7,581.80",13.2,86
Castro,"7,103",0,-,0,146
Chambers,"42,320",2,"21,160.00",4.7,129
Cherokee,"52,178",9,"5,797.60",17.2,54
Childress,"7,062",1,"7,062.00",14.2,78
Clay,"9,787",0,-,0,146
Cochran,"3,348",0,-,0,146
Coke,"3,215",0,-,0,146
Coleman,"8,478",0,-,0,146
Collin,"1,039,369",276,"3,765.80",26.6,29
Collingsworth,"3,210",0,-,0,146
Colorado,"21,273",1,"21,273.00",4.7,130
Comal,"147,330",52,"2,833.30",35.3,16
Comanche,"13,075",1,"13,075.00",7.6,111
Concho,"4,147",0,-,0,146
Cooke,"39,727",3,"13,242.30",7.6,112
Coryell,"78,317",34,"2,303.40",43.4,9
Cottle,"1,510",0,-,0,146
Crane,"6,209",0,-,0,146
Crockett,"4,040",0,-,0,146
Crosby,"6,464",0,-,0,146
Culberson,"2,245",1,"2,245.00",44.5,8
Dallam,"7,237",0,-,0,146
Dallas,"2,734,111",972,"2,812.90",35.6,15
Dawson,"13,592",2,"6,796.00",14.7,73
De Witt,"21,737",3,"7,245.70",13.8,81
Deaf Smith,"18,143",1,"18,143.00",5.5,121
Delta,"5,367",0,-,0,146
Denton,"897,953",211,"4,255.70",23.5,34
Dickens,"2,174",0,-,0,146
Dimmit,"11,743",0,-,0,146
Donley,"3,410",0,-,0,146
Duval,"11,796",0,-,0,146
Eastland,"18,205",0,-,0,146
Ector,"184,841",9,"20,537.90",4.9,127
Edwards,"1,991",0,-,0,146
El Paso,"876,120",190,"4,611.20",21.7,37
Ellis,"177,721",28,"6,347.20",15.8,65
Erath,"41,526",5,"8,305.20",12,93
Falls,"16,603",4,"4,150.80",24.1,31
Fannin,"34,597",15,"2,306.50",43.4,10
