COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
LOVING ,Licensed Clinical Social Worker,93,1,93,"1,075.30",1
KENT ,Licensed Clinical Social Worker,800,1,800,125,2
TRAVIS ,Licensed Clinical Social Worker,"1,342,801","1,533",875.9,114.2,3
OLDHAM ,Licensed Clinical Social Worker,"2,217",2,"1,108.50",90.2,4
THROCKMORTON ,Licensed Clinical Social Worker,"1,506",1,"1,506.00",66.4,5
MCLENNAN ,Licensed Clinical Social Worker,"256,604",156,"1,644.90",60.8,6
BELL ,Licensed Clinical Social Worker,"362,136",204,"1,775.20",56.3,7
FANNIN ,Licensed Clinical Social Worker,"34,720",19,"1,827.40",54.7,8
WILLIAMSON ,Licensed Clinical Social Worker,"630,580",322,"1,958.30",51.1,9
HAYS ,Licensed Clinical Social Worker,"253,894",128,"1,983.50",50.4,10
JEFF DAVIS ,Licensed Clinical Social Worker,"2,076",1,"2,076.00",48.2,11
CORYELL ,Licensed Clinical Social Worker,"79,108",37,"2,138.10",46.8,12
WILBARGER ,Licensed Clinical Social Worker,"12,913",6,"2,152.20",46.5,13
MENARD ,Licensed Clinical Social Worker,"2,185",1,"2,185.00",45.8,14
FRIO ,Licensed Clinical Social Worker,"20,640",9,"2,293.30",43.6,15
KERR ,Licensed Clinical Social Worker,"52,830",23,"2,297.00",43.5,16
COMAL ,Licensed Clinical Social Worker,"157,195",65,"2,418.40",41.3,17
ROCKWALL ,Licensed Clinical Social Worker,"107,826",43,"2,507.60",39.9,18
TARRANT ,Licensed Clinical Social Worker,"2,214,148",835,"2,651.70",37.7,19
GILLESPIE ,Licensed Clinical Social Worker,"26,535",10,"2,653.50",37.7,20
BEXAR ,Licensed Clinical Social Worker,"2,174,191",812,"2,677.60",37.3,21
POTTER ,Licensed Clinical Social Worker,"122,799",45,"2,728.90",36.6,22
DALLAS ,Licensed Clinical Social Worker,"2,808,441",991,"2,833.90",35.3,23
COLLIN ,Licensed Clinical Social Worker,"1,099,759",380,"2,894.10",34.6,24
BLANCO ,Licensed Clinical Social Worker,"11,694",4,"2,923.50",34.2,25
HARRIS ,Licensed Clinical Social Worker,"5,164,809","1,765","2,926.20",34.2,26
KAUFMAN ,Licensed Clinical Social Worker,"130,210",43,"3,028.10",33,27
NACOGDOCHES ,Licensed Clinical Social Worker,"64,248",21,"3,059.40",32.7,28
HASKELL ,Licensed Clinical Social Worker,"6,289",2,"3,144.50",31.8,29
TAYLOR ,Licensed Clinical Social Worker,"140,957",42,"3,356.10",29.8,30
TOM GREEN ,Licensed Clinical Social Worker,"126,243",37,"3,412.00",29.3,31
GREGG ,Licensed Clinical Social Worker,"126,321",37,"3,414.10",29.3,32
KINNEY ,Licensed Clinical Social Worker,"3,453",1,"3,453.00",29,33
WILSON ,Licensed Clinical Social Worker,"53,799",15,"3,586.60",27.9,34
GUADALUPE ,Licensed Clinical Social Worker,"179,600",50,"3,592.00",27.8,35
FORT BEND ,Licensed Clinical Social Worker,"903,484",250,"3,613.90",27.7,36
WISE ,Licensed Clinical Social Worker,"67,160",18,"3,731.10",26.8,37
ELLIS ,Licensed Clinical Social Worker,"183,842",49,"3,751.90",26.7,38
CALDWELL ,Licensed Clinical Social Worker,"45,617",12,"3,801.40",26.3,39
GRAYSON ,Licensed Clinical Social Worker,"133,761",35,"3,821.70",26.2,40
KENDALL ,Licensed Clinical Social Worker,"49,720",13,"3,824.60",26.1,41
HARDEMAN ,Licensed Clinical Social Worker,"3,845",1,"3,845.00",26,42
MASON ,Licensed Clinical Social Worker,"3,905",1,"3,905.00",25.6,43
JOHNSON ,Licensed Clinical Social Worker,"176,087",45,"3,913.00",25.6,44
DENTON ,Licensed Clinical Social Worker,"954,471",242,"3,944.10",25.4,45
RANDALL ,Licensed Clinical Social Worker,"142,506",36,"3,958.50",25.3,46
KNOX ,Licensed Clinical Social Worker,"3,987",1,"3,987.00",25.1,47
EL PASO ,Licensed Clinical Social Worker,"890,020",222,"4,009.10",24.9,48
