COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
BAYLOR ,Primary Care Physician,"3,617",6,602.8,165.9,1
CHILDRESS ,Primary Care Physician,"7,045",10,704.5,141.9,2
HARTLEY ,Primary Care Physician,"6,092",8,761.5,131.3,3
GILLESPIE ,Primary Care Physician,"26,535",33,804.1,124.4,4
HEMPHILL ,Primary Care Physician,"4,892",6,815.3,122.6,5
POTTER ,Primary Care Physician,"122,799",147,835.4,119.7,6
GREGG ,Primary Care Physician,"126,321",151,836.6,119.5,7
SMITH ,Primary Care Physician,"239,994",282,851,117.5,8
BOWIE ,Primary Care Physician,"92,441",104,888.9,112.5,9
BREWSTER ,Primary Care Physician,"9,067",10,906.7,110.3,10
HAMILTON ,Primary Care Physician,"8,200",9,911.1,109.8,11
FLOYD ,Primary Care Physician,"5,687",6,947.8,105.5,12
TRAVIS ,Primary Care Physician,"1,342,801","1,413",950.3,105.2,13
JACK ,Primary Care Physician,"8,820",9,980,102,14
COLLIN ,Primary Care Physician,"1,099,759","1,121",981.1,101.9,15
EDWARDS ,Primary Care Physician,"1,965",2,982.5,101.8,16
KERR ,Primary Care Physician,"52,830",53,996.8,100.3,17
MCLENNAN ,Primary Care Physician,"256,604",243,"1,056.00",94.7,18
ROCKWALL ,Primary Care Physician,"107,826",102,"1,057.10",94.6,19
ANGELINA ,Primary Care Physician,"91,022",86,"1,058.40",94.5,20
WICHITA ,Primary Care Physician,"133,297",125,"1,066.40",93.8,21
TOM GREEN ,Primary Care Physician,"126,243",118,"1,069.90",93.5,22
MONTGOMERY ,Primary Care Physician,"652,082",609,"1,070.70",93.4,23
NUECES ,Primary Care Physician,"393,190",367,"1,071.40",93.3,24
BURNET ,Primary Care Physician,"49,329",46,"1,072.40",93.3,25
DALLAS ,Primary Care Physician,"2,808,441","2,616","1,073.60",93.1,26
KENDALL ,Primary Care Physician,"49,720",46,"1,080.90",92.5,27
BRAZOS ,Primary Care Physician,"237,611",219,"1,085.00",92.2,28
CULBERSON ,Primary Care Physician,"2,212",2,"1,106.00",90.4,29
LYNN ,Primary Care Physician,"5,534",5,"1,106.80",90.4,30
HARRIS ,Primary Care Physician,"5,164,809","4,607","1,121.10",89.2,31
NACOGDOCHES ,Primary Care Physician,"64,248",57,"1,127.20",88.7,32
GRAYSON ,Primary Care Physician,"133,761",118,"1,133.60",88.2,33
TITUS ,Primary Care Physician,"33,005",29,"1,138.10",87.9,34
TAYLOR ,Primary Care Physician,"140,957",123,"1,146.00",87.3,35
