COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
WILBARGER ,Psychiatrist,"12,913",6,"2,152.20",46.5,1
KERR ,Psychiatrist,"52,830",18,"2,935.00",34.1,2
CHEROKEE ,Psychiatrist,"52,350",16,"3,271.90",30.6,3
HOWARD ,Psychiatrist,"42,702",13,"3,284.80",30.4,4
ANGELINA ,Psychiatrist,"91,022",18,"5,056.80",19.8,5
TRAVIS ,Psychiatrist,"1,342,801",264,"5,086.40",19.7,6
KAUFMAN ,Psychiatrist,"130,210",23,"5,661.30",17.7,7
HARTLEY ,Psychiatrist,"6,092",1,"6,092.00",16.4,8
WICHITA ,Psychiatrist,"133,297",20,"6,664.90",15,9
COLLIN ,Psychiatrist,"1,099,759",154,"7,141.30",14,10
POTTER ,Psychiatrist,"122,799",16,"7,674.90",13,11
KENDALL ,Psychiatrist,"49,720",6,"8,286.70",12.1,12
BELL ,Psychiatrist,"362,136",43,"8,421.80",11.9,13
HARRIS ,Psychiatrist,"5,164,809",594,"8,695.00",11.5,14
DALLAS ,Psychiatrist,"2,808,441",304,"9,238.30",10.8,15
BEXAR ,Psychiatrist,"2,174,191",222,"9,793.70",10.2,16
MCLENNAN ,Psychiatrist,"256,604",25,"10,264.20",9.7,17
ATASCOSA ,Psychiatrist,"53,493",5,"10,698.60",9.3,18
HUNT ,Psychiatrist,"97,277",9,"10,808.60",9.3,19
JEFFERSON ,Psychiatrist,"259,733",24,"10,822.20",9.2,20
WILLIAMSON ,Psychiatrist,"630,580",53,"11,897.70",8.4,21
SMITH ,Psychiatrist,"239,994",19,"12,631.30",7.9,22
GREGG ,Psychiatrist,"126,321",10,"12,632.10",7.9,23
HAYS ,Psychiatrist,"253,894",20,"12,694.70",7.9,24
CALLAHAN ,Psychiatrist,"13,478",1,"13,478.00",7.4,25
FORT BEND ,Psychiatrist,"903,484",63,"14,341.00",7,26
ANDERSON ,Psychiatrist,"58,094",4,"14,523.50",6.9,27
TARRANT ,Psychiatrist,"2,214,148",149,"14,860.10",6.7,28
MONTGOMERY ,Psychiatrist,"652,082",43,"15,164.70",6.6,29
GALVESTON ,Psychiatrist,"369,095",24,"15,379.00",6.5,30
TAYLOR ,Psychiatrist,"140,957",9,"15,661.90",6.4,31
TOM GREEN ,Psychiatrist,"126,243",8,"15,780.40",6.3,32
LAMAR ,Psychiatrist,"49,957",3,"16,652.30",6,33
LUBBOCK ,Psychiatrist,"326,611",19,"17,190.10",5.8,34
DENTON ,Psychiatrist,"954,471",55,"17,354.00",5.8,35
COMAL ,Psychiatrist,"157,195",9,"17,466.10",5.7,36
WASHINGTON ,Psychiatrist,"35,421",2,"17,710.50",5.6,37
BOWIE ,Psychiatrist,"92,441",5,"18,488.20",5.4,38
NUECES ,Psychiatrist,"393,190",21,"18,723.30",5.3,39
GRAYSON ,Psychiatrist,"133,761",7,"19,108.70",5.2,40
EL PASO ,Psychiatrist,"890,020",46,"19,348.30",5.2,41
FRIO ,Psychiatrist,"20,640",1,"20,640.00",4.8,42
UPSHUR ,Psychiatrist,"42,145",2,"21,072.50",4.7,43
CAMERON ,Psychiatrist,"431,026",19,"22,685.60",4.4,44
LIMESTONE ,Psychiatrist,"23,574",1,"23,574.00",4.2,45
MIDLAND ,Psychiatrist,"200,890",8,"25,111.30",4,46
WALLER ,Psychiatrist,"52,280",2,"26,140.00",3.8,47
FAYETTE ,Psychiatrist,"26,452",1,"26,452.00",3.8,48
GILLESPIE ,Psychiatrist,"26,535",1,"26,535.00",3.8,49
UVALDE ,Psychiatrist,"28,411",1,"28,411.00",3.5,50
ARANSAS ,Psychiatrist,"28,757",1,"28,757.00",3.5,51
GRIMES ,Psychiatrist,"29,344",1,"29,344.00",3.4,52
HOOD ,Psychiatrist,"60,158",2,"30,079.00",3.3,53
CASS ,Psychiatrist,"30,203",1,"30,203.00",3.3,54
AUSTIN ,Psychiatrist,"30,805",1,"30,805.00",3.2,55
KLEBERG ,Psychiatrist,"30,857",1,"30,857.00",3.2,56
NACOGDOCHES ,Psychiatrist,"64,248",2,"32,124.00",3.1,57
BRAZORIA ,Psychiatrist,"389,844",12,"32,487.00",3.1,58
HALE ,Psychiatrist,"32,583",1,"32,583.00",3.1,59
TITUS ,Psychiatrist,"33,005",1,"33,005.00",3,60
VICTORIA ,Psychiatrist,"100,022",3,"33,340.70",3,61
WISE ,Psychiatrist,"67,160",2,"33,580.00",3,62
BRAZOS ,Psychiatrist,"237,611",7,"33,944.40",2.9,63
HIDALGO ,Psychiatrist,"888,655",25,"35,546.20",2.8,64
ROCKWALL ,Psychiatrist,"107,826",3,"35,942.00",2.8,65
SAN PATRICIO ,Psychiatrist,"72,760",2,"36,380.00",2.7,66
WALKER ,Psychiatrist,"75,503",2,"37,751.50",2.6,67
BROWN ,Psychiatrist,"38,984",1,"38,984.00",2.6,68
WEBB ,Psychiatrist,"281,099",7,"40,157.00",2.5,69
HENDERSON ,Psychiatrist,"81,548",2,"40,774.00",2.5,70
JIM WELLS ,Psychiatrist,"43,229",1,"43,229.00",2.3,71
JOHNSON ,Psychiatrist,"176,087",4,"44,021.80",2.3,72
BASTROP ,Psychiatrist,"88,616",2,"44,308.00",2.3,73
GUADALUPE ,Psychiatrist,"179,600",4,"44,900.00",2.2,74
PARKER ,Psychiatrist,"139,853",3,"46,617.70",2.1,75
VAL VERDE ,Psychiatrist,"48,098",1,"48,098.00",2.1,76
BURNET ,Psychiatrist,"49,329",1,"49,329.00",2,77
WILSON ,Psychiatrist,"53,799",1,"53,799.00",1.9,78
MAVERICK ,Psychiatrist,"61,027",1,"61,027.00",1.6,79
ECTOR ,Psychiatrist,"196,837",3,"65,612.30",1.5,80
HARRISON ,Psychiatrist,"68,736",1,"68,736.00",1.5,81
LIBERTY ,Psychiatrist,"87,353",1,"87,353.00",1.1,82
ELLIS ,Psychiatrist,"183,842",2,"91,921.00",1.1,83
ZAVALA ,Psychiatrist,"12,879",0,-,-,0
ZAPATA ,Psychiatrist,"14,430",0,-,-,0
YOUNG ,Psychiatrist,"18,760",0,-,-,0
YOAKUM ,Psychiatrist,"9,579",0,-,-,0
WOOD ,Psychiatrist,"45,896",0,-,-,0
WINKLER ,Psychiatrist,"9,854",0,-,-,0
WILLACY ,Psychiatrist,"22,089",0,-,-,0
WHEELER ,Psychiatrist,"5,841",0,-,-,0
WHARTON ,Psychiatrist,"42,045",0,-,-,0
WARD ,Psychiatrist,"14,383",0,-,-,0
VAN ZANDT ,Psychiatrist,"56,056",0,-,-,0
UPTON ,Psychiatrist,"4,127",0,-,-,0
TYLER ,Psychiatrist,"21,278",0,-,-,0
TRINITY ,Psychiatrist,"14,122",0,-,-,0
THROCKMORTON ,Psychiatrist,"1,506",0,-,-,0
TERRY ,Psychiatrist,"13,161",0,-,-,0
TERRELL ,Psychiatrist,"1,058",0,-,-,0
SWISHER ,Psychiatrist,"7,328",0,-,-,0
SUTTON ,Psychiatrist,"4,431",0,-,-,0
STONEWALL ,Psychiatrist,"1,525",0,-,-,0
STERLING ,Psychiatrist,"1,269",0,-,-,0
STEPHENS ,Psychiatrist,"9,568",0,-,-,0
STARR ,Psychiatrist,"65,276",0,-,-,0
SOMERVELL ,Psychiatrist,"9,482",0,-,-,0
SHERMAN ,Psychiatrist,"3,326",0,-,-,0
SHELBY ,Psychiatrist,"25,493",0,-,-,0
SHACKELFORD ,Psychiatrist,"3,423",0,-,-,0
SCURRY ,Psychiatrist,"18,701",0,-,-,0
SCHLEICHER ,Psychiatrist,"3,336",0,-,-,0
SAN SABA ,Psychiatrist,"5,845",0,-,-,0
SAN JACINTO ,Psychiatrist,"29,330",0,-,-,0
SAN AUGUSTINE ,Psychiatrist,"8,314",0,-,-,0
SABINE ,Psychiatrist,"9,752",0,-,-,0
RUSK ,Psychiatrist,"52,648",0,-,-,0
RUNNELS ,Psychiatrist,"11,137",0,-,-,0
ROBERTSON ,Psychiatrist,"16,936",0,-,-,0
ROBERTS ,Psychiatrist,994,0,-,-,0
REFUGIO ,Psychiatrist,"7,603",0,-,-,0
REEVES ,Psychiatrist,"16,150",0,-,-,0
RED RIVER ,Psychiatrist,"12,515",0,-,-,0
REAL ,Psychiatrist,"3,421",0,-,-,0
REAGAN ,Psychiatrist,"4,425",0,-,-,0
RANDALL ,Psychiatrist,"142,506",0,-,-,0
RAINS ,Psychiatrist,"11,455",0,-,-,0
PRESIDIO ,Psychiatrist,"5,609",0,-,-,0
POLK ,Psychiatrist,"49,862",0,-,-,0
PECOS ,Psychiatrist,"16,658",0,-,-,0
PARMER ,Psychiatrist,"9,004",0,-,-,0
PANOLA ,Psychiatrist,"24,714",0,-,-,0
PALO PINTO ,Psychiatrist,"27,777",0,-,-,0
ORANGE ,Psychiatrist,"86,913",0,-,-,0
OLDHAM ,Psychiatrist,"2,217",0,-,-,0
OCHILTREE ,Psychiatrist,"11,553",0,-,-,0
NOLAN ,Psychiatrist,"15,734",0,-,-,0
NEWTON ,Psychiatrist,"13,598",0,-,-,0
NAVARRO ,Psychiatrist,"47,962",0,-,-,0
MOTLEY ,Psychiatrist,"1,162",0,-,-,0
MORRIS ,Psychiatrist,"12,328",0,-,-,0
MOORE ,Psychiatrist,"21,510",0,-,-,0
MONTAGUE ,Psychiatrist,"19,099",0,-,-,0
MITCHELL ,Psychiatrist,"9,943",0,-,-,0
MILLS ,Psychiatrist,"4,847",0,-,-,0
MILAM ,Psychiatrist,"24,627",0,-,-,0
MENARD ,Psychiatrist,"2,185",0,-,-,0
MEDINA ,Psychiatrist,"51,621",0,-,-,0
MCMULLEN ,Psychiatrist,787,0,-,-,0
MCCULLOCH ,Psychiatrist,"8,738",0,-,-,0
MATAGORDA ,Psychiatrist,"37,032",0,-,-,0
MASON ,Psychiatrist,"3,905",0,-,-,0
MARTIN ,Psychiatrist,"6,349",0,-,-,0
MARION ,Psychiatrist,"10,199",0,-,-,0
MADISON ,Psychiatrist,"14,754",0,-,-,0
LYNN ,Psychiatrist,"5,534",0,-,-,0
LOVING ,Psychiatrist,93,0,-,-,0
LLANO ,Psychiatrist,"19,503",0,-,-,0
LIVE OAK ,Psychiatrist,"12,132",0,-,-,0
LIPSCOMB ,Psychiatrist,"3,733",0,-,-,0
LEON ,Psychiatrist,"17,905",0,-,-,0
LEE ,Psychiatrist,"17,787",0,-,-,0
LAVACA ,Psychiatrist,"21,191",0,-,-,0
LAMPASAS ,Psychiatrist,"21,331",0,-,-,0
LAMB ,Psychiatrist,"12,556",0,-,-,0
LA SALLE ,Psychiatrist,"8,651",0,-,-,0
KNOX ,Psychiatrist,"3,987",0,-,-,0
KINNEY ,Psychiatrist,"3,453",0,-,-,0
KING ,Psychiatrist,317,0,-,-,0
KIMBLE ,Psychiatrist,"4,277",0,-,-,0
KENT ,Psychiatrist,800,0,-,-,0
KENEDY ,Psychiatrist,487,0,-,-,0
KARNES ,Psychiatrist,"15,560",0,-,-,0
JONES ,Psychiatrist,"19,666",0,-,-,0
JIM HOGG ,Psychiatrist,"5,026",0,-,-,0
JEFF DAVIS ,Psychiatrist,"2,076",0,-,-,0
JASPER ,Psychiatrist,"35,374",0,-,-,0
JACKSON ,Psychiatrist,"16,293",0,-,-,0
JACK ,Psychiatrist,"8,820",0,-,-,0
IRION ,Psychiatrist,"1,506",0,-,-,0
HUTCHINSON ,Psychiatrist,"21,396",0,-,-,0
HUDSPETH ,Psychiatrist,"3,406",0,-,-,0
HOUSTON ,Psychiatrist,"22,433",0,-,-,0
HOPKINS ,Psychiatrist,"37,334",0,-,-,0
HOCKLEY ,Psychiatrist,"24,959",0,-,-,0
HILL ,Psychiatrist,"35,683",0,-,-,0
HEMPHILL ,Psychiatrist,"4,892",0,-,-,0
HASKELL ,Psychiatrist,"6,289",0,-,-,0
HARDIN ,Psychiatrist,"56,792",0,-,-,0
HARDEMAN ,Psychiatrist,"3,845",0,-,-,0
HANSFORD ,Psychiatrist,"5,890",0,-,-,0
HAMILTON ,Psychiatrist,"8,200",0,-,-,0
HALL ,Psychiatrist,"3,302",0,-,-,0
GRAY ,Psychiatrist,"24,695",0,-,-,0
GONZALES ,Psychiatrist,"21,636",0,-,-,0
GOLIAD ,Psychiatrist,"7,825",0,-,-,0
GLASSCOCK ,Psychiatrist,"1,394",0,-,-,0
GARZA ,Psychiatrist,"6,850",0,-,-,0
GAINES ,Psychiatrist,"23,150",0,-,-,0
FREESTONE ,Psychiatrist,"19,860",0,-,-,0
FRANKLIN ,Psychiatrist,"10,977",0,-,-,0
FOARD ,Psychiatrist,"1,232",0,-,-,0
FLOYD ,Psychiatrist,"5,687",0,-,-,0
FISHER ,Psychiatrist,"3,979",0,-,-,0
FANNIN ,Psychiatrist,"34,720",0,-,-,0
FALLS ,Psychiatrist,"16,390",0,-,-,0
ERATH ,Psychiatrist,"42,363",0,-,-,0
EDWARDS ,Psychiatrist,"1,965",0,-,-,0
EASTLAND ,Psychiatrist,"18,087",0,-,-,0
DUVAL ,Psychiatrist,"11,727",0,-,-,0
DONLEY ,Psychiatrist,"3,357",0,-,-,0
DIMMIT ,Psychiatrist,"12,197",0,-,-,0
DICKENS ,Psychiatrist,"2,126",0,-,-,0
DELTA ,Psychiatrist,"5,375",0,-,-,0
DEAF SMITH ,Psychiatrist,"17,955",0,-,-,0
DE WITT ,Psychiatrist,"22,078",0,-,-,0
DAWSON ,Psychiatrist,"13,543",0,-,-,0
DALLAM ,Psychiatrist,"7,353",0,-,-,0
CULBERSON ,Psychiatrist,"2,212",0,-,-,0
CROSBY ,Psychiatrist,"6,547",0,-,-,0
CROCKETT ,Psychiatrist,"4,088",0,-,-,0
CRANE ,Psychiatrist,"6,667",0,-,-,0
COTTLE ,Psychiatrist,"1,510",0,-,-,0
CORYELL ,Psychiatrist,"79,108",0,-,-,0
COOKE ,Psychiatrist,"39,967",0,-,-,0
CONCHO ,Psychiatrist,"4,153",0,-,-,0
COMANCHE ,Psychiatrist,"12,878",0,-,-,0
COLORADO ,Psychiatrist,"21,353",0,-,-,0
COLLINGSWORTH ,Psychiatrist,"3,255",0,-,-,0
COLEMAN ,Psychiatrist,"8,406",0,-,-,0
COKE ,Psychiatrist,"3,201",0,-,-,0
COCHRAN ,Psychiatrist,"3,402",0,-,-,0
CLAY ,Psychiatrist,"9,584",0,-,-,0
CHILDRESS ,Psychiatrist,"7,045",0,-,-,0
CHAMBERS ,Psychiatrist,"44,194",0,-,-,0
