,,All Deaths
Anderson,Texas,22
Andrews,Texas,---
Angelina,Texas,15
Aransas,Texas,15
Archer,Texas,---
Atascosa,Texas,10
Austin,Texas,---
Bailey,Texas,---
Bandera,Texas,---
Bastrop,Texas,21
Baylor,Texas,---
Bee,Texas,10
Bell,Texas,62
Bexar,Texas,241
Blanco,Texas,---
Bosque,Texas,---
Bowie,Texas,22
Brazoria,Texas,60
Brazos,Texas,21
Brewster,Texas,---
Briscoe,Texas,---
Brown,Texas,---
Burleson,Texas,---
Burnet,Texas,10
Caldwell,Texas,---
Calhoun,Texas,---
Callahan,Texas,---
Cameron,Texas,33
Camp,Texas,---
Carson,Texas,---
Cass,Texas,---
Castro,Texas,---
Chambers,Texas,10
Cherokee,Texas,12
Childress,Texas,---
Clay,Texas,---
Cochran,Texas,---
Coleman,Texas,---
Collin,Texas,121
Colorado,Texas,---
Comal,Texas,46
Comanche,Texas,---
Cooke,Texas,10
Coryell,Texas,12
Crane,Texas,---
Crockett,Texas,---
Dallam,Texas,---
Dallas,Texas,267
Dawson,Texas,---
Deaf Smith,Texas,---
Denton,Texas,91
DeWitt,Texas,---
Donley,Texas,---
Duval,Texas,---
Eastland,Texas,---
Ector,Texas,30
Edwards,Texas,---
El Paso,Texas,89
Ellis,Texas,22
Erath,Texas,---
Falls,Texas,---
Fannin,Texas,---
Fayette,Texas,---
Fisher,Texas,---
Foard,Texas,---
Fort Bend,Texas,83
Franklin,Texas,---
Freestone,Texas,---
Frio,Texas,---
Gaines,Texas,---
Galveston,Texas,59
Garza,Texas,---
Gillespie,Texas,---
Glasscock,Texas,---
Goliad,Texas,---
Gonzales,Texas,---
Gray,Texas,---
Grayson,Texas,19
Gregg,Texas,23
Grimes,Texas,---
Guadalupe,Texas,35
Hale,Texas,---
Hamilton,Texas,---
Hardeman,Texas,---
Hardin,Texas,12
Harris,Texas,518
Harrison,Texas,11
Haskell,Texas,---
Hays,Texas,29
Henderson,Texas,24
Hidalgo,Texas,47
Hill,Texas,---
Hockley,Texas,---
Hood,Texas,19
Hopkins,Texas,---
Houston,Texas,---
Howard,Texas,---
Hudspeth,Texas,---
Hunt,Texas,17
Hutchinson,Texas,---
Jackson,Texas,---
Jasper,Texas,---
Jeff Davis,Texas,---
Jefferson,Texas,32
Jim Hogg,Texas,---
Jim Wells,Texas,---
Johnson,Texas,24
Jones,Texas,---
Karnes,Texas,---
Kaufman,Texas,19
Kendall,Texas,---
Kerr,Texas,---
Kinney,Texas,---
Kleberg,Texas,---
Knox,Texas,---
La Salle,Texas,---
Lamar,Texas,---
Lamb,Texas,---
Lampasas,Texas,---
Lavaca,Texas,---
Lee,Texas,---
Leon,Texas,---
Liberty,Texas,17
Limestone,Texas,---
Live Oak,Texas,---
Llano,Texas,---
Lubbock,Texas,60
Lynn,Texas,---
Madison,Texas,---
Marion,Texas,---
Mason,Texas,---
Matagorda,Texas,---
Maverick,Texas,---
McCulloch,Texas,---
McLennan,Texas,42
Medina,Texas,11
Midland,Texas,30
Milam,Texas,---
Mitchell,Texas,---
Montague,Texas,---
Montgomery,Texas,107
Moore,Texas,---
Morris,Texas,---
Nacogdoches,Texas,16
Navarro,Texas,11
Newton,Texas,---
Nolan,Texas,---
Nueces,Texas,60
Ochiltree,Texas,---
Oldham,Texas,---
Orange,Texas,11
Palo Pinto,Texas,10
Panola,Texas,---
Parker,Texas,38
Parmer,Texas,---
Pecos,Texas,---
Polk,Texas,13
Potter,Texas,28
Rains,Texas,---
Randall,Texas,26
Reagan,Texas,---
Real,Texas,---
Red River,Texas,---
Reeves,Texas,---
Roberts,Texas,---
Robertson,Texas,---
Rockwall,Texas,---
Runnels,Texas,---
Rusk,Texas,13
Sabine,Texas,---
San Jacinto,Texas,---
San Patricio,Texas,11
Scurry,Texas,---
Shackelford,Texas,---
Shelby,Texas,---
Sherman,Texas,---
Smith,Texas,41
Starr,Texas,---
Stephens,Texas,---
Stonewall,Texas,---
Swisher,Texas,---
Tarrant,Texas,256
Taylor,Texas,30
Terry,Texas,---
Titus,Texas,---
Tom Green,Texas,16
Travis,Texas,158
Tyler,Texas,---
Upshur,Texas,---
Uvalde,Texas,---
Val Verde,Texas,---
Van Zandt,Texas,---
Victoria,Texas,21
Walker,Texas,---
Waller,Texas,12
Ward,Texas,---
Washington,Texas,---
Webb,Texas,22
Wharton,Texas,---
Wichita,Texas,15
Wilbarger,Texas,---
Willacy,Texas,---
Williamson,Texas,69
Wilson,Texas,10
Winkler,Texas,---
Wise,Texas,12
Wood,Texas,---
Yoakum,Texas,---
Young,Texas,---
Zapata,Texas,---
Zavala,Texas,---
