,,All Deaths
Anderson,Texas,---
Andrews,Texas,---
Angelina,Texas,---
Aransas,Texas,---
Atascosa,Texas,---
Austin,Texas,---
Bandera,Texas,---
Bastrop,Texas,12
Baylor,Texas,---
Bee,Texas,---
Bell,Texas,34
Bexar,Texas,147
Blanco,Texas,---
Bosque,Texas,---
Bowie,Texas,---
Brazoria,Texas,27
Brazos,Texas,---
Brewster,Texas,---
Brown,Texas,---
Burleson,Texas,---
Burnet,Texas,---
Caldwell,Texas,---
Calhoun,Texas,---
Callahan,Texas,---
Cameron,Texas,16
Camp,Texas,---
Carson,Texas,---
Cass,Texas,---
Castro,Texas,---
Chambers,Texas,---
Cherokee,Texas,---
Childress,Texas,---
Coleman,Texas,---
Collin,Texas,70
Colorado,Texas,---
Comal,Texas,24
Comanche,Texas,---
Cooke,Texas,---
Coryell,Texas,---
Crane,Texas,---
Culberson,Texas,---
Dallam,Texas,---
Dallas,Texas,160
Dawson,Texas,---
Denton,Texas,74
DeWitt,Texas,---
Duval,Texas,---
Eastland,Texas,---
Ector,Texas,---
Edwards,Texas,---
El Paso,Texas,39
Ellis,Texas,14
Erath,Texas,---
Falls,Texas,---
Fannin,Texas,---
Fayette,Texas,---
Fort Bend,Texas,48
Franklin,Texas,---
Freestone,Texas,---
Frio,Texas,---
Galveston,Texas,39
Garza,Texas,---
Gillespie,Texas,---
Goliad,Texas,---
Gonzales,Texas,---
Gray,Texas,---
Grayson,Texas,19
Gregg,Texas,12
Grimes,Texas,---
Guadalupe,Texas,---
Hale,Texas,---
Hansford,Texas,---
Hardin,Texas,---
Harris,Texas,277
Harrison,Texas,---
Haskell,Texas,---
Hays,Texas,17
Hemphill,Texas,---
Henderson,Texas,---
Hidalgo,Texas,26
Hill,Texas,---
Hockley,Texas,---
Hood,Texas,---
Hopkins,Texas,---
Houston,Texas,---
Howard,Texas,---
Hunt,Texas,---
Hutchinson,Texas,---
Jack,Texas,---
Jackson,Texas,---
Jasper,Texas,---
Jefferson,Texas,19
Jim Wells,Texas,---
Johnson,Texas,16
Jones,Texas,---
Kaufman,Texas,10
Kendall,Texas,---
Kerr,Texas,---
Lamar,Texas,---
Lamb,Texas,---
Lampasas,Texas,---
Lavaca,Texas,---
Lee,Texas,---
Leon,Texas,---
Liberty,Texas,---
Limestone,Texas,---
Live Oak,Texas,---
Llano,Texas,---
Lubbock,Texas,18
Marion,Texas,---
Mason,Texas,---
Matagorda,Texas,---
Maverick,Texas,---
McCulloch,Texas,---
McLennan,Texas,18
Medina,Texas,---
Midland,Texas,---
Milam,Texas,---
Mills,Texas,---
Montague,Texas,---
Montgomery,Texas,50
Moore,Texas,---
Morris,Texas,---
Nacogdoches,Texas,---
Navarro,Texas,---
Newton,Texas,---
Nolan,Texas,---
Nueces,Texas,32
Ochiltree,Texas,---
Orange,Texas,10
Palo Pinto,Texas,---
Panola,Texas,---
Parker,Texas,10
Pecos,Texas,---
Polk,Texas,---
Potter,Texas,11
Rains,Texas,---
Randall,Texas,18
Red River,Texas,---
Refugio,Texas,---
Robertson,Texas,---
Rockwall,Texas,11
Runnels,Texas,---
Rusk,Texas,---
Sabine,Texas,---
San Augustine,Texas,---
San Jacinto,Texas,---
San Patricio,Texas,---
Scurry,Texas,---
Shelby,Texas,---
Smith,Texas,35
Somervell,Texas,---
Starr,Texas,---
Stephens,Texas,---
Swisher,Texas,---
Tarrant,Texas,144
Taylor,Texas,19
Titus,Texas,---
Tom Green,Texas,17
Travis,Texas,80
Trinity,Texas,---
Tyler,Texas,---
Upshur,Texas,---
Uvalde,Texas,---
Val Verde,Texas,---
Van Zandt,Texas,---
Victoria,Texas,---
Walker,Texas,---
Waller,Texas,---
Washington,Texas,---
Webb,Texas,---
Wharton,Texas,---
Wheeler,Texas,---
Wichita,Texas,15
Wilbarger,Texas,---
Willacy,Texas,---
Williamson,Texas,42
Wilson,Texas,---
Winkler,Texas,---
Wise,Texas,---
Wood,Texas,12
Young,Texas,---
Zavala,Texas,---
