"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total.Traffic.Fatalities","Total.Traffic.Fatalities.BAC.gt.08","Percent.Traffic.Fatalities.BAC.gt.08","Traffic_Fatalities_per_100k","I_35","percent_comp","County Code","Name.y","UNC2020_Count_Papers","desert","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income","Zero_Papers","One_Or_Fewer_Papers"
48001,"Anderson",20.9,27.6,1.5184,0.1687,21.1656,5.7975,3.3282,58057,182,112,3.2,58199,7,12,"3",5.2,"29",49.8,14,24.1,"13",22.3,"35",60.1,"Micropolitan Statistical Area","Central",37300,"Palestine, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,36.4,NA,5.62307931355961,30.9357047080994,48,1,0,1,77,0,0,7,82.4756439114074,1.71824258148765,0,1.71824258148765,132.304678774549,0,0,12.0276980704136,4,6.9,14,3,20,24.0553961408272,"Non I-35 Corridor",0.966666666666667,"001","Anderson","2",FALSE,0.178876668335722,0.140894554299356,0.4387,0.261623511623512,0.128661878661879,0.0718200718200718,0.0315866565866566,0.00489037989037989,0.00474862974862975,0.124735729386892,0.0340112025029016,45847,FALSE,FALSE
48003,"Andrews",9.2,12,1.4892,0,14.3708,1.7126,1.787,18128,22,30,3.7,22269,1,4.5,"0",0,"3",13.5,1,4.5,"1",4.5,"9",40.4,"Micropolitan Statistical Area","Central",11380,"Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,11.6,NA,3.61633530360022,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,13,85.3204005568279,"Non I-35 Corridor",0.966666666666667,"003","Andrews","1",TRUE,0.568607011576233,0.112208853074291,0.4589,0.261604532163743,0.0724597953216374,0.109100877192982,0.0263157894736842,0.00904605263157895,0.00484283625730994,0.0858559036997699,0.0392199349945829,75147,FALSE,TRUE
48005,"Angelina",17,25.1,2.2809,0.6254,17.7872,2.9983,3.5869,87092,244,225,4.6,90437,18,19.9,"12",13.3,"61",67.5,58,64.1,"27",29.9,"84",92.9,"Micropolitan Statistical Area","Central",31260,"Lufkin, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,58.3,3.47242317263731,6.48069911453209,17.5960138440132,55,1,0,4,5,0,0,4,60.8158165352676,1.10574211882305,0,4.42296847529219,5.52871059411524,0,0,4.42296847529219,12,13.3,19,6,29,21.0091002576379,"Non I-35 Corridor",0.983333333333333,"005","Angelina","1",TRUE,0.222890529046477,0.173473015572041,0.4423,0.241021436918944,0.0665608484066212,0.12476670562174,0.0438331792572954,0.00757007552632956,0.00566883535957859,0.193318031114512,0.0669612074469444,49684,FALSE,TRUE
48007,"Aransas",17.1,30.8,2.5957,NA,18.1161,6.1547,2.2746,23792,195,173,5.3,27699,2,7.2,"4",14.4,"15",54.2,4,14.4,"1",3.6,"8",28.9,"Micropolitan Statistical Area","Central",40530,"Rockport, TX","Micropolitan Statistical Area-Central",2,"TX",3,2,17,25.1783466219052,10.7553503986572,23.7079069018364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6,8,3,34,28.8819090941911,"Non I-35 Corridor",0.966666666666667,"007","Aransas","1",TRUE,0.279892650701899,0.228429807611527,0.5242,0.222109932064455,0.0690023019482342,0.157318511032508,0.0505867160743361,0.0143169951153781,0.00943237325248442,0.148129474639508,0.0932450846797742,47924,FALSE,TRUE
48009,"Archer",6.9,11.2,1.3928,NA,21.3092,4.805,1.6017,8786,18.93,13.11,3.1,8344,3,36,"0",0,"7",83.9,6,71.9,"4",47.9,"0",0,"Metropolitan Statistical Area","Outlying",48660,"Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.5,NA,6.58878504672897,21.9790354371071,5,0,0,0,0,0,0,0,59.9232981783317,0,0,0,0,0,0,0,0,0,5,1,26,59.9232981783317,"Non I-35 Corridor",0.95,"009","Archer","1",TRUE,0.082133881654101,0.115888710048287,0.4681,0.315568475452196,0.0499031007751938,0.14405684754522,0.0518410852713178,0.0188953488372093,0.00823643410852713,0.0816965556504412,0.036766334440753,63958,FALSE,TRUE
48011,"Armstrong",9.3,12.4,NA,0,16.2651,NA,4.2169,1892,3,2,2.4,1948,0,0,"0",0,"1",51.3,1,51.3,"0",0,"0",0,"Metropolitan Statistical Area","Outlying",11100,"Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,20.3,NA,7.03463203463203,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33,154.004106776181,"Non I-35 Corridor",0.933333333333333,"011","Armstrong","1",TRUE,0.0846153846153846,0.0726884019241048,0.358,0.217488789237668,0.0201793721973094,0.17339312406577,0.0732436472346786,0.00896860986547085,0.00149476831091181,0.025,0.00542888165038002,69386,FALSE,TRUE
48013,"Atascosa",14.9,22,2.3009,NA,17.5026,3.2834,3.7746,50310,114,98,4.2,51831,8,15.4,"2",3.9,"13",25.1,2,3.9,"7",13.5,"18",34.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20,NA,6.55356158510443,23.8479003310204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.8,9,2,24,17.3641257162702,"Non I-35 Corridor",0.95,"013","Atascosa","1",TRUE,0.647308443240228,0.110080620718919,0.4411,0.344783556524447,0.051946434132669,0.113702896293989,0.0304889442541264,0.00691373403924011,0.00202429149797571,0.135903278896063,0.072114936094785,59251,FALSE,TRUE
48015,"Austin",11.4,18,1.4181,NA,14.6619,1.7979,1.8992,29989,50,47,3.8,30402,1,3.3,"0",0,"11",36.2,1,3.3,"2",6.6,"8",26.3,"Metropolitan Statistical Area","Outlying",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,20.3,NA,5.35353200517121,19.623938202858,5,0,0,0,0,0,0,0,16.4462864285244,0,0,0,0,0,0,0,0,0,8,3,43,26.3140582856391,"Non I-35 Corridor",0.95,"015","Austin","4",FALSE,0.272280208751505,0.117150003379977,0.4275,0.298764342453663,0.0355987055016181,0.160341276846131,0.0493772678238698,0.0122585074041385,0.0075512405609493,0.0899818480421817,0.0558432934926959,64468,FALSE,FALSE
48017,"Bailey",14.4,23.3,1.3953,0,15.6977,1.2791,2.093,7027,41,30,3.5,7692,1,13,"0",0,"4",52,0,0,"0",0,"2",26,NA,NA,NA,NA,NA,7,"TX",6,9,23.2,NA,4.34530706836616,27.2771567106247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,27,78.003120124805,"Non I-35 Corridor",0.883333333333333,"017","Bailey","1",TRUE,0.657605552342394,0.113585075974124,0.4283,0.303186274509804,0.0985294117647059,0.116176470588235,0.0176470588235294,0.0174019607843137,0.0225490196078431,0.129377431906615,0.0303129074315515,55038,FALSE,TRUE
48019,"Bandera",11,21.3,1.6646,NA,17.604,3.3291,1.5637,22824,54,58,3.3,21246,8,37.7,"3",14.1,"16",75.3,0,0,"4",18.8,"8",37.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,9.6,23.9796652438732,13.279938612057,23.8479003310204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,32,42.3609149957639,"Non I-35 Corridor",0.966666666666667,"019","Bandera","1",TRUE,0.192841458058849,0.138319856244385,0.4352,0.280339041292022,0.0386575797491553,0.15296947482962,0.048679915239677,0.0151766794570758,0.00738789301872745,0.0763481660342647,0.0711067580803134,60361,FALSE,TRUE
48021,"Bastrop",10.8,16.4,2.3939,NA,18.6427,3.6247,2.4277,86976,304,271,3.1,86105,32,37.2,"24",27.9,"55",63.9,8,9.3,"18",20.9,"25",29,"Metropolitan Statistical Area","Outlying",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,13.3,5.14318630678078,5.93523699802502,27.741950750351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,45,13,28,52.2617734161779,"I-35 Corridor",0.966666666666667,"021","Bastrop","3",FALSE,0.387913264777347,0.11271802755277,0.418,0.253382167391,0.052747791952895,0.145906350764054,0.0471926258236366,0.00879714005327352,0.0134585728305061,0.0855843808504948,0.0511963144598009,71820,FALSE,FALSE
