"Name of City","Name of Paper","TPA Member","County Seat","Address","Address2","PO Address","PO Address2","Website","Main Phone","Main Fax","Email","circulation","County","Pub Day","founded","Page Size","Column Width","Congressional District","Representative District","State Senator District","publisher","editor","Ad Director","fips","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total.Traffic.Fatalities","Total.Traffic.Fatalities.BAC.gt.08","Percent.Traffic.Fatalities.BAC.gt.08","Traffic_Fatalities_per_100k","I_35","percent_comp","County Code","Name.y","UNC2020_Count_Papers","desert","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income","Zero_Papers","One_Or_Fewer_Papers"
"Abilene","Abilene Reporter-News","*","*","101 Cypress St.","Abilene, TX 79601","101 Cypress St.","Abilene, TX 79601","www.reporternews.com","325-673-4271",NA,"abilenereporternews@gannett.com",5604,"Taylor","Daily",1881,"6x20.75","1.5625","19","71","28",NA,"Greg Jaklewicz",NA,48441,12.2,16.9,2.1353,0.455,19.8483,3.4213,4.0279,137640,547,416,3.1,139457,55,39.4,35,25.1,200,143.4,68,48.8,92,66,122,87.5,"Metropolitan Statistical Area","Central",10180,"Abilene, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,72.7,11.8708452041785,8.69923467962684,17.41743683815,334,0,0,42,389,0,0,40,239.500347777451,0,0,30.1168101995597,278.939027800684,0,0,28.6826763805331,10,7.2,17,4,21,12.1901374617266,"Non I-35 Corridor",0.983333333333333,"441","Taylor",2,FALSE,0.247991215887028,0.139638713019893,0.4507,0.245512607436251,0.0599743577567786,0.171886129445843,0.0715845956598129,0.0155396742485398,0.00924782753217152,0.129395190094452,0.0302020974929108,55568,FALSE,FALSE
"Albany","Albany News","*","*","49 S. Main","Albany, TX 76430","PO Box 2139","Albany, TX 76430-8006","www.thealbanynews.net","325-762-2201","325-762-3201","news@thealbanynews.net",845,"Shackelford","Thursday",1875,"6 col. x 21”","1.5625","19","68","10","Donnie Lucas","Melinda Lucas","Ginger Bartee",48417,12.5,15.8,NA,0,22.3301,2.5243,2.3301,3253,16,11,2.5,3405,1,29.4,0,0,2,58.7,0,0,0,0,1,29.4,NA,NA,NA,NA,NA,8,"TX",6,7,2.9,NA,7.37520128824477,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Non I-35 Corridor",0.8,"417","Shackelford",1,TRUE,0.116985718626557,0.113323124042879,0.4545,0.171757414785303,0.0332005312084993,0.231961044710049,0.0761398849048252,0.00664010624169987,0.0115095174856131,0.0870519385515728,0.0848822800495663,48212,FALSE,TRUE
"Aledo","The Community News","*",NA,"1015 Champions Drive","Aledo, TX 76008","PO Box 1031","Aledo, TX 76008-1031","www.community-news.com","817-441-7661","817-441-5419","news@community-news.com",1719,"Parker","Friday",1995,"6 col. x 21”","1.833","12","60","10","Randy Keck","Randy Keck","Randy Keck",48367,8,9.8,1.7363,NA,19.2668,3.5823,2.6464,138371,425,363,3,135621,25,18.4,14,10.3,91,67.1,18,13.3,47,34.7,68,50.1,"Metropolitan Statistical Area","Outlying",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,27.4,4.7226457610881,6.79656191388593,16.9883906841278,103,0,1,0,0,0,0,0,75.9469403705916,0,0.737348935636811,0,0,0,0,0,4,2.9,43,13,30,31.7060042323829,"Non I-35 Corridor",0.966666666666667,"367","Parker",3,FALSE,0.127557838017436,0.082389296933926,0.4286,0.223565439924618,0.0574680643745115,0.17290745360902,0.0758424259296934,0.0115642834962684,0.00667087835016222,0.0574725178851858,0.0474525988045059,84189,FALSE,FALSE
"Alice","Alice Echo-News Journal","*","*","405 E. Main","Alice, TX 78332-4968","PO Box 1610","Alice, TX 78333-1610","www.alicetx.com","361-664-6588","361-668-1030","newsclerk@aliceechonews.com",779,"Jim Wells","Sunday / Wednesday",1894,"6x16","1.646","34","43","20",NA,"Melissa Cantu Trevino","Sal Hernandez",48249,20.1,32.9,2.5824,0.3022,22.7747,4.6978,4.4505,40822,61,55,6.9,42890,15,35,1,2.3,25,58.3,13,30.3,6,14,22,51.3,"Micropolitan Statistical Area","Central",10860,"Alice, TX","Micropolitan Statistical Area-Central",4,"TX",5,5,44,12.8564449358463,5.19914633205626,22.7710723876953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,7,1,9,16.3208207041268,"Non I-35 Corridor",0.983333333333333,"249","Jim Wells",1,TRUE,0.803510148053731,0.215876089060987,0.4684,0.295383305599628,0.0568089470221741,0.125653032003405,0.0299137030300685,0.00398591385782284,0.00212840060369181,0.175874342308883,0.0367712472569836,45857,FALSE,TRUE
"Alpine","Alpine Avalanche","*","*","118 N. 5th St.","Alpine, TX  79830-4602","PO Box 719","Alpine, TX 79831-0719","www.alpineavalanche.com","432-837-3334",NA,"publisher@alpineavalanche.com",1615,"Brewster","Thursday",1891,"6 col. x 21”","1.52","23","74","29","J.T. Maroney","Gail Yovanovich","J.T. Maroney",48043,14,16.6,2.2777,NA,12.05,NA,1.543,9267,41,47,3.2,9133,1,10.9,1,10.9,13,142.3,1,10.9,1,10.9,12,131.4,NA,NA,NA,NA,NA,7,"TX",6,11,20.2,52.3779593547035,8.50618059920386,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,10.9493047191503,"Non I-35 Corridor",0.833333333333333,"043","Brewster",1,TRUE,0.451522045282201,0.156052017339113,0.4664,0.154014598540146,0.0293430656934307,0.272116788321168,0.0970802919708029,0.0144525547445255,0.0239416058394161,0.116029822926375,0.0419421487603306,45296,FALSE,TRUE
"Alvin","Alvin Sun","*",NA,"570 Dula St.","Alvin, TX 77511-2942","570 Dula St.","Alvin, TX 77511-2942","www.alvinsun.net","281-331-4421","281-331-4424","publisher@alvinsun.net",326,"Brazoria","Sunday",1892,"6 col. x 21”","1.833","14, 22","29","11",NA,NA,"Hazel W. Perez",48039,8.3,10,1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,4.8,375869,66,17.6,65,17.3,210,55.9,31,8.2,86,22.9,217,57.7,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,27.9,5.37589609468028,5.26703419876301,18.9304128289223,7,1,0,0,4,1,0,0,1.86235097866544,0.266050139809348,0,0,1.06420055923739,0.266050139809348,0,0,16,4.3,68,18,27,18.0914095070357,"Non I-35 Corridor",0.983333333333333,"039","Brazoria",6,FALSE,0.309985817606816,0.0792397792291004,0.4185,0.192505489305712,0.0577611934103427,0.199258684309925,0.0769872531887782,0.018632509141925,0.015988510852015,0.0784158989885976,0.0475682285587238,83325,FALSE,FALSE
"Amarillo","Amarillo Globe-News","*","*","600 S Tyler St","Amarillo, TX 79101-3424","PO Box 2091","Amarillo, TX 79166-0001","www.amarillo.com","806-376-4488","806-373-0810","editor@amarillo.com",8271,"Potter","Daily",1926,"6 col. x 21”","1.556","13","86, 87","31",NA,"Jill Nevels-Haun","Shoni Wiseman",48375,20.8,29.2,2.4616,0.2372,18.981,3.2385,2.9686,119648,612,461,3,122706,32,26.1,43,35,139,113.3,63,51.3,53,43.2,141,114.9,"Metropolitan Statistical Area","Central",11100,"Amarillo, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,102.8,25.3111157983548,5.5861632566969,28.6839157342911,713,0,0,22,0,0,0,0,581.063680667612,0,0,17.9290336250876,0,0,0,0,15,12.2,37,12,32,30.1533747331019,"Non I-35 Corridor",0.983333333333333,"375","Potter",1,TRUE,0.388157839135248,0.200529361625768,0.4817,0.242117596932254,0.0828717511717086,0.106372496804431,0.0314763527907968,0.0092937792927141,0.00665743502343417,0.15601610664968,0.0344556052778151,43652,FALSE,TRUE
"Anahuac","The Progress","*","*","306 Willcox Street","Anahuac, TX 77514","PO Box 100","Anahuac, TX 77514-0100","www.theanahuacprogress.com","409-267-6131",NA,"theprogress@theanahuacprogress.com",621,"Chambers","Wednesday",1901,"6 col. x 20.5”","1.69","36","23","4","Jennifer Richardson","Dayna Haynes","Dayna Haynes",48071,9.3,11,1.1181,NA,17.0298,4.6732,1.9209,42454,98,40,5.9,42320,9,21.3,2,4.7,13,30.7,1,2.4,2,4.7,6,14.2,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,8.2,NA,4.80556569538984,24.7739434242249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,35,18.9035916824197,"Non I-35 Corridor",0.95,"071","Chambers",2,FALSE,0.231847971623875,0.14377677324687,0.4417,0.223515457039069,0.042108384609682,0.148899102972793,0.0517087997627697,0.0196456371858551,0.00455927051671732,0.0687648955558671,0.070643494598403,95989,FALSE,FALSE
"Andrews","Andrews County News","*","*","210 E. Broadway","Andrews, TX 79714-6507","210 E. Broadway","Andrews, TX 79714-6507","www.andrewscountynews.com","432-523-2085","432-523-9492","publisher@andrewscountynews.com",995,"Andrews","Sunday / Thursday",1934,"6 col. x 21”","1.667","19","88","31","Blake Roberts","Sam Kaufman","Marice Escobar",48003,9.2,12,1.4892,0,14.3708,1.7126,1.787,18128,22,30,3.7,22269,1,4.5,0,0,3,13.5,1,4.5,1,4.5,9,40.4,"Micropolitan Statistical Area","Central",11380,"Andrews, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,11.6,NA,3.61633530360022,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,13,85.3204005568279,"Non I-35 Corridor",0.966666666666667,"003","Andrews",1,TRUE,0.568607011576233,0.112208853074291,0.4589,0.261604532163743,0.0724597953216374,0.109100877192982,0.0263157894736842,0.00904605263157895,0.00484283625730994,0.0858559036997699,0.0392199349945829,75147,FALSE,TRUE
"Anson","Western Observer","*","*","1120 West Court Plaza","Anson, TX  79501-4315","1120 West Court Plaza","Anson, TX 79501-4315",NA,"325-823-3253","325-480-4237","ansonwesternobserver@gmail.com",1927,"Jones","Wednesday",1883,"6 col. x 21”","1.833","19","71","28","Tiffany Waddell","Tiffany Waddell",NA,48253,19.5,21.2,1.7008,NA,16.0052,2.0933,2.9655,19817,35,22,4,19735,3,15.2,0,0,5,25.3,3,15.2,2,10.1,4,20.3,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,10.8,NA,5.8892335859228,27.9468238353729,3,0,0,0,0,0,0,0,15.2014187990879,0,0,0,0,0,0,0,0,0,8,3,36,40.5371167975678,"Non I-35 Corridor",0.95,"253","Jones",4,FALSE,0.277900774881755,0.114512204693509,0.4142,0.20940891015704,0.172137224506302,0.0919997304037204,0.0226460874839927,0.00181977488710656,0.00202197209678506,0.138328019837053,0.0598585162343552,52471,FALSE,FALSE
